匿名用户,复发期，失眠，闲着也是闲着，上来答题吧。抑郁症导致的自杀行为，并不仅仅是简单的，大家常说的「想不开，轻生求解脱」，其实是多种力量综合起来的，自然而然的结果。先从心理角度讲吧，大部分人，容易把抑郁情绪和病症搞混了。人在经历低谷的时候，比如失恋、失业、家庭变故等等，产生抑郁等负面情绪是很正常的，至于楼上某答案写的「夜深人静没人陪伴会加剧」，这个不能作为病症的判断标准，只是基本每个人都会有的孤独情绪而已。而中度以上抑郁、焦虑患者，虽然根据个体的情况有所出入，但是大多数人的共性，是一种「虚无」的状态。厌世、对一切失去兴趣、没有快乐、也没什么不快乐、失去了感知感受的能力、自我否定、自我厌恶、自我封闭。大致如此。表面上大多人和常人并无异常，但是是有着深深的疏离感的。很多人因为这是心理疾病，言必谈社交，但是，其实到这一步，和社交的关系并不大，因为痛苦的根源并不在于病人个体与社会、与人群的关系（其实根本不在乎），痛苦的根源在于，已经失去了目标，觉得一切毫无意义，连痛苦的感觉都没有，而这种失去痛苦的感觉，让生存在这世界上的每一分钟都变得煎熬、漫长。活着也是无，死亡也是无，没有本质的区别。抑郁情绪是有「因」的。比如一次考试考砸心情不好，失恋心情不好，失业压力大等等。能找到导致一切的根源。而抑郁症是没有「因」的，很多人和医生交流，治疗，花费时间精力，每一分钟都在克服想死的冲动，就是在找这个因，我猜也许找到了，会有所帮助吧。如果周边的人群施予压力，给出一些他们能想到的「最积极向上」「刺激性疗法」的劝说慰藉，效果就更明显了。基本上，除了和几个病友会交流一下用药、近况以外，和其他喜欢说「你这不是病是缺爱」「开心点，想开点儿啊，有啥事过不去」「你看我比你惨多了，我不也过来了，顽强点」的热心群众，只会越来越远。最遗憾的是，我父母也是那种用「你痛苦，我们还痛苦呢」方式来爱我的人呢。再经过一段时间、特别是反复治疗又复发之后，基本上，死亡会是大脑里唯一剩下的念头。然后到生理角度。抑郁症本身也分很多类型，伴随而来的生理反应各不相同，包括但不限于长期失眠，肌肉抽搐，消化道疾病（胃酸倒流，呕吐等），体重急剧下降，脱发，哦，还有幻听，幻觉等。单独看这样的字可能感觉也没什么对吧。但是长期没有正常的睡眠，吃药也只能勉强睡上3、4个小时的痛苦，其实挺难形容的。大脑空白，发抖，坐立不安，哭泣就是家常便饭了。没有得病经历，没有从业经历的人这样来想象一下吧，就类似你遭到一个重大打击，比如深爱的女友提出分手，或者忽然接到挚友事故消息的那一瞬间，心脏骤停，被痛苦吞噬。而患者没有这样的「因」，却经常性陷入到这样的体验里，无法化解。说得再通俗一点，真的想对有些说「去跑跑步啊」「乐观点嘛」「死都不怕还怕活着」的朋友说，连荷尔蒙带来的情绪变化都很难克服不是吗？女人经期、怀孕期间的情绪波动，食欲变化，都是一个道理的。到了这个地步，想到自杀，实施自杀，真的是再自然不过的一条解脱之路了。因为还背负责任感，家人没有选择自杀的人，也很容易陷入滥用药物，酒精的路上。有病友会突发性不可控地选择自杀，比如你转了个身忽然他就跳楼了。也有病友是「预谋性」地花上几个月时间，先将自己和人隔离开，来计划、安排，最后实施。过程中当然有来自于潜意识的求救信号。可是，这么忙的社会，人人都有压力，又有谁会真的关心，注意到你呢，而且一心求死的人，都会小心翼翼掩饰倾向的。因为死亡不是达成诉求的手段，不是要挟，不是为了让谁付出代价。是目的，是终点。=============================================在知乎上分享这种经历的病友，大部分都是匿名的。刚才睡不着，在微博上看到一个关于「周边去世的朋友qq签名停留在哪一句话」的帖子，想起了我一个病友，他生前与我非常投缘，在他去世之前不久，还曾经打电话给我互相调侃鼓励。是的，同样作为病友，我都没有意识到这是他的求救信号，何况对病痛一无所知，疲于生活的人呢。（其实即使知道了，我也做不了什么），在他去世以后，两年后偶然有一天，看到他的头像忽然亮起来，忍不住去打了个招呼，是他的妹妹。我犹豫再三，（担心对家人造成二次伤害）还是将我保存的，他曾经在BBS上发布的一些零碎日志，文章打包发给了她。还好，他妹妹非常感激，对我说，这是她挂哥哥q两年以来最大的收获。看到她哥哥善良，挣扎的真实心情，虽然很痛苦，但是也有安慰。再加上刚才看到那个帖子。虽然我算是很配合很积极的患者，但是悲观地说，因为各种原因，我不愿意再给自己人为地制造亲人，比如结婚生子。和很多人一样，尽孝，不能让父母承受意外之痛是我唯一还在坚持的理由了。如果父母不在了，就真的毫无牵挂了。如果有一天，我也扛不住，希望留些什么吧。ps，中度患者非重度，个人情况仅供参考。重度患者的情况我不太了解。,659,216
卮言,更新： 2017 4 28写答案的时候，大概是去年夏季。过了将近一年我收到了无数的私信，关切的，鼓励的，同病相怜的，我很感激大家，也祝福所有此刻依旧沉于深渊的人早日解脱出来。我收到了许多想要帮助恋人的私信，便想干脆来这里写写经验吧。写这个答案时，我有女朋友。但是当我今日写下这些字句的时候，她已经离开了我，是我在反复折磨她之后，却又想给自己立牌坊一样推开了她。我看着大家发来信问我，如何陪伴恋人走出去，如何帮她，自己可以做什么？心里十分难受，我的姑娘当年也一定这样想过。可惜啊，我真的没有好的经验分享给你们。如果一定要说一些的话，大概就是-保持你们的生命活力，至少要比你们的爱人更强大而坚定。她们也许会看不见光明，但是你们要时刻把光亮描绘给她们看。我是一个很怕影响到恋人的人，时时刻刻怕把自己所爱的人拉下水和自己一同沉溺。我十分恐惧有一天，我的爱人会和我有相同的情感体验，所以我看到她们暴躁，挣扎，压抑，绝望，我都会用十倍的感受怪罪自己，认为是自己的负面影响过大，加深了自责。希望你们一定要强大起来-给她们信心和鼓励。不管你们是否真的那么想，希望你们一定要告诉你的爱人，你相信她，并且接纳她任何样子，歇斯底里或者无理取闹。希望你们能一直陪在她们身边这些 我的前女友都做到了，大概她是我遇见的唯一一个真心的，努力的想把我拉出来的好姑娘。我辜负了她期望和她施于我的爱，时常想着如果自己健康就好了。以上以下为原答案-绝望感 无力感 空虚 孤独和没有欲望对自己内心的感受过于敏感和恐惧 半夜里莫名的心悸都会让自己不停的想是为什么 对别人脸色的变化 对自己行为的反应集迟钝又敏感 我是不是做错了什么 我是不是惹她生气了 是不是我又被厌恶了 她为什么要对我好 是不是想从我这里获得什么 快乐或者是其他的？可是我给不了啊 我自己都不快乐 于是开始不停的猜忌别人 怀疑自己 极其极其讨厌自己-没有什么想要的东西 看见以前会为之高兴雀跃的东西 心里没有任何感受 不会高兴 也不会惊讶 更不会心动 去吃点心吧 没兴趣 去看电影吧 不去 去散步吧 不想出门 害怕别人问我你想要什么 你想做什么 你到底要干嘛 到底怎样你才能高兴因为没有啊 我没有高兴的感觉啊-每天晚上入夜 睡不着觉 一宿一宿的睁着眼睛看天光 能清晰的感觉到大脑在飞速的运转 各种画面在脑子里过 各种想法各种没有意义的东西在脑子里循环播放 根本没有办法入睡 勉强的睡眠里 全部都是梦 你们知道一晚上做四五个清晰的梦的感觉么 清晰到醒来以后就像是真实的记忆 于是我开始分不清现实和梦 可是梦里面都是我最害怕发生的事情啊 背叛 亲人离世 我的猫离我而去 山崩地裂大雨倾盆洪水来临 可怕的是梦魇醒来的时候 惊醒一身汗 心脏被揪的紧紧的疼这样想想 还是失眠好-对于痛觉不敏感 走神 发呆 不想动 和别人互相掐 下手没轻重 因为别人怎么掐我都不会痛 躺在床上发呆 猫过来挠我的腿 缓过神的时候腿上一道一道出血的爪印 但是根本不记得痛 身上总是莫名其妙出现的淤青 不知道什么时候撞得 也没有感觉-每天晚上失眠的时候 就去想这样下去还有什么意思 太累了 都活到这个份儿上了 还算是个人么连人都不是了 你跟我谈什么责任和义务 谈什么一切都会好 谈什么未来和改变 所以就自私吧 一边自私 一边极端厌恶自己的自私看完了《人间失格》才知道 其实就是失去了做人的资格 因为根本看不到未来有什么希望 甚至说 如果第二天没有计划与安排 都会不想醒来 不想面对空旷的日子 没有事情做的一天有什么意义？看没有用的电视有什么意义？和朋友见面互相玩手机有什么意义？-觉得对不起身边所有希望自己好起来的人 帮助自己一步一步向前走的人 努力陪自己玩 听自己哭 试图理解自己的人 尤其对不起父母 我是眼睁睁看着她们对我的期望 从小时候希望我出人头地 到现在希望我能好好活着  以前不能拿第一名就会被责骂 现在连考试都不让我去考 怕我承受不了 每天只确认我会吃饭会睡觉就好所以 每天都在想 我还算是个人么旁观者可以很轻易的说出 你这样做对得起你父母你朋友么 但是实际上这样子生活下去 本身对父母就是一种极大的折磨与摧残 你眼睁睁看着父母被自己消耗到虚脱 自己又控制不住无能为力 这种感觉真的太难受了 就像是生活在父母常年冷暴力的家庭里的孩子 希望爸妈离婚吧 别再借口为我好 咱们都解脱好不好-可能对我来说 自杀不是一件很大的事情 甚至不具有仪式感 就是在一天 我想了一晚上 觉得好像我这辈子最好的运气和日子已经用光了 过完了 还有什么想做没做的 都在脑子里想一遍 全当自己过完了 确认了以后都不会更好了 以后只会比现在更差  想了一晚上找不到理由劝阻自己然后不告诉任何人偷偷开始攒药 然后吃掉 就这样 没别的原因我不想一辈子离不开药物 不吃药就睡不了 不吃药白天就不想动 不想不停换药不停换医生 不想经历每换一种新药的时候 强烈的副作用 吃不下饭 恶心 头晕 不想动 反胃 昏睡 醒不过来 思维迟缓可能是大脑真的少分泌了一些什么 我不知道但是很难被鸡汤和暖文打动 却很容易因为一件小事否定所有东西 怀疑所有人 就像有表演型人格一样 有力气有心情的时候在人前表现得元气满满 心里嫌弃着自己 又害怕被人揭穿什么都不想做 什么也不想要 但是十多年来的习惯又让自己不能堕落放纵其实真的挺痛苦的 直到现在我也不知道自己多久才能好 真的想过回正常人的生活啊 就一天就好了现在还是依旧每天挣扎着逼自己早上规律的去上课 喝牛奶 吃面包 按时吃药 按时上床躺着难受的不得了的时候就去跑步 每天都跑每天都跑所以我还在努力希望自己变回去谢谢自己之前那么多年的习惯 让我没办法轻易放弃但是自杀真的太有诱惑力了医生总说我活的太认真了太较真了 什么事都要有一个所以然这不好 我也觉得不好 强迫症一样觉得 如果我找不到生活的目的和想要的东西 找不到高兴和快乐的感觉 那不如去死好难控制住啊 其实写这么多 真的真的只希望 大家都好好生活 还有别再指责我了 如果能感受到一点点正常的人的感觉的话 我都不会想去死啊这个世界其实挺好的 我还有喜欢的东西 喜欢的人 我舍不得好多东西啊 我还要陪我的猫度过不被其他猫欺负的晚年 能不能看在我很努力很努力的份儿上 让我早一点走出来--------更新大家都评论和私信我都看了 可能不能一一回复 有的说谢谢也实在太苍白了 知道很多人和我有相同的感受 还蛮惊讶的 但是也很难过 发私信和留言的姑娘们 真的真的要看医生呀 不能放弃见医生 不能中途停药 要听医生的话要找一个自己可以信任的医生 可以一个一个试 愚蠢的 无聊的黑暗的甚至肮脏的想法都可以和他说 一个好的医生不会觉得你傻也不会嫌弃你我之前的医生 我不是很信任她 因为她总会把我的一些想法告诉我的父母 于是我拒绝见她 也拒绝服药 让本来可以稳定治疗的阶段变得波澜起伏的没什么好处 我也觉得药没什么用处 我也不知道医生告诉我的 药物是长期作用的 是维持血液浓度的这类话是不是骗我  但是如果我听话 妈妈会很高兴那真好 所以我就按照她的话吃药不想动就不动 睡不着就看书 不愿意说话就安静的带着 学着带着自己的情绪生活吧既然它不走 我就得习惯它谢谢你们呀 你们真是温柔的人,455,135
利季萌,【那年冬天，救过一个自杀的人。】晚自习放学路过一片灌木丛，里面传来一阵一阵哀嚎，起初以为是喝多了，那时的冬天很冷，如果在外冻一夜的话是会死的。我站在灌木丛外跟他说话，喊他出来，十点左右的学校附近，学生已经快走光了，路过这片灌木丛的人也都绕着走，生怕黑暗里会窜出什么猛兽。我当时其实很怕，报了警，警察来了没有管就走了。然后我打了120，等到救护车来，看着担架把他抬走，是一个中年男子的模样。然后我一个人回了家。后来的事是附近的一家超市老板告诉我的。第二天我照常上学，惯例买水，超市老板问我“昨天那个人是你救的吗”，我点点头，她接着说“那个人不是喝多了，是喝了农药自杀，然后又在树丛里喝酒”“那抢救过来了吗”“抢救过来了，去医院洗了胃，挂上了水，但凌晨三点多的时候他醒过来，自己拔了针，在医院用窗帘上吊自杀了，已经死了”， 我半天没说出话，老板接着说“我想了想还是应该告诉你，毕竟人是你救的”。后来她还在感慨什么“想走的人留不住”，她说什么我已经听不清了，也不记得是怎么从超市走出去的，那是我第一次为陌生人流泪，是从我手中经过的生命，我不知道他叫什么，经历过什么，我只知道他一心求死。甚至我到现在偶尔都会想，我是不是不该救他，我让他经历了两次痛苦，不知道他走的时候有没有怪我。后来在大三寒假的冬天，街头，远远就看着一个人躺在雪里挣扎，走近时候看到酒瓶子，闻到浑身酒气，他跟我说话，我看不清他的模样，他说话的内容我也听不清，却可以清晰感知他的痛苦。他躺在雪里准备入睡，那天雪很大，风也很大，我没犹豫还是报了警，等到警察来了我才走，不同的是，这次警察没有不管，他们把他带上了警车，后来的事情，我就不清楚了。同样的情况和场景，我还是做了同样的选择。 可后来，自己对生命没有太大渴望时候我才明白，你能救一个人的生命，却救不了他的生活。医生也一样，能救回生命，救不了贫穷，救得了疾病，救不了生活。也想被拉一把，也不想，就反复挣扎。大概一两年前，经历过一次抑郁症的朋友自杀，是个早晨，我无数遍打电话发短信都联系不上对方，我满城市寻找他整整一天。直到后来我收到那个朋友的短信说“那我再坚持一段时间试试吧”，我蹲在地上大哭，脑子空白。我对生和死都没有太大渴望。前两天和一个年长我几岁的朋友坐在车里聊天时候感慨，都认识七年了，他也结婚了，我仔细回想这七年似乎是空白的，毫无记忆的，就这样走过来了。从我的十七岁，到如今，或者说从我的一岁，到如今，我竟觉得空白。那天我问“人为什么要结婚”，他说“到这个年纪了该做这个事”，我问“人为什么要生孩子”“人为什么要寻找城市”“人为什么要与另一个人生活”，唯独没问“人为什么要活着”，如果像他说的“到了一定的年纪就要做相应的事情”的话，那么活到一定年纪，便该奔赴死亡了。我从前常劝人好好活着，如今觉得愚蠢，我也不觉得死就是解脱，我没有大智慧，参悟不透生死，不鼓吹生，也不赞扬死，这仅仅就是一种选择而已。就像，如果我还能再重新选择或者再遇到同样的事情，我还是会选择救他。就像如果有一天我真的渴望衰老和死亡的时候，无论我有多渴望，我总会燃起一点点被救起的念头，只要有这小小的念头，刚好有人对我伸出了手，尽管他只能救我的命而不能救我的生活，但当我在对这个世界继续“试试看”的时候，说不定就可以自救或者遇到能拯救我的人。,659,71
丁若水,自杀观念是抑郁发作时的一个症状。汝等纷纷以正常人的观点立场来替那个人群作出”合理”的解释，其实不全如此。不是”太痛苦了，死了解脱吧”，就是“想死，想死，想死，想死”。研究发现合并睡眠障碍抑郁患者更易出现自杀观念，睡眠障碍常作为抑郁症的首发症状得到确诊，所以关心自己吧，睡眠障碍不要仅仅自己搞点安眠药吃，主动就医，积极配合治疗，抑郁发作可以通过药物控制症状，维持服药可降低复发可能。,143,75
卯尔,当你绝望地发现自己【永远是一个人】，无论生理心理、工作生活、醒了睡着。 ,656,100
匿名用户,活着到底为了什么？活着就是为了来受罪的！活的太辛苦了活的太累了我太累了，求求你们求求你们放过我让我回去想过如果你的脑海里都是这样的句型与逻辑吗？,324,110
水白,取匿了。我想好好活着。————————————————对我而言，心理上的折磨远远大于生理。生理上，手抖，就像得了帕金森的老人，严重的时候甚至连张纸片都拿不住，失眠，一点点看太阳落下去又升起来，大把大把的掉头发，最初莫名其妙的嚎啕大哭，如今已经哭不出来，整日的耳鸣，感觉耳朵里住了个交响乐团，记忆力明显下降，无法长时间读书写作。前几天躺在床上，突然全身撕裂似的痛，好像全身的神经都被拉扯到极点，下一刻就要崩坏，很冷，不住地哆嗦，快要窒息，想要喊叫却发不出声响。心理上仅负罪感一项的折磨便远远大于以上所讲，觉得自己很差劲，对不起所有人，怕朋友发觉我的异常离开我，整日活在阳光的背面，像下水道里的老鼠佝偻着生活，我看不到明天看不到未来，自己是个废物，人生的所有意义都被强迫默认指向死亡，若非心里还有什么牵挂，我大概早已不在人世。我不是一个愿意倾诉的人，每个人都活的很辛苦，我没有理由自私地将我的不快加到别人身上，我会强忍向别人诉说的冲动，久而久之，我似乎已经不会向别人启齿我真正的想法了。在这里我想用我的教训告诉所有人，你没有你想象的那么坚强，你可以自私一点的，可以将自己的不快向朋友倾诉的，真的真的不要逞强。我已经来不及了，可我真诚地希望你们都能好好活下去。也会自残，用刀在手臂上划出很深的伤口，后来觉得这样太明显，改用针管放血，用那种一次性医用针管，用绳子绑住手臂上端，找到静脉，斜扎进去，能看到针管在皮肤下的轮廓，看着血一点点被吸进管里，感受生命随着血液一点点流出体外，血色很美，像上天的赏赐，也像是惩罚，流不出的眼泪由鲜血代替。也看过医生，也吃着药，但不要以为吃了药就万事大吉。药是有副作用的，在初次接触更为明显，全身血液都在燃烧，烧痛了五脏六腑，身子发飘，脚下软绵绵的，脑子一片空白，头痛欲裂，所以有很多抑郁症患者在初次接触的时候熬不过去而选择放弃治疗。不过我大概也撑不了多久了，我所有的开朗乐观都是装的，我的心里已经感受不到任何的情绪，只有铺天盖地的麻木。世界是很美好，可是跟我有什么关系?撑不下去的时候我会记得说再见。,299,209
李晔,不匿了，前抑郁症患者，没啥丢脸的。更早的时候，我也完全不理解抑郁症为什么会自杀。直到5年前我彻底地来了一次抑郁症。抑郁症患者自杀是很正常的，因为活着实在太痛苦。我简单地说，为什么抑郁症患者会自杀。抑郁症给我的感觉就是大脑不分泌让自己感到快乐的事情了。这还不是最可怕的，最可怕的是长期失眠。人饿了就想吃饭，困了就想睡觉，这是最基本的。抑郁症会简单粗暴地把人的睡眠剥夺掉。一天不睡觉，会感觉精神不好，困，累，难受。如果两天不睡觉呢？干什么都累，浑身难受。三天呢？疲劳已经开始侵蚀身体每一个细胞，肉体已经不受意识控制，反应变慢，没走一部都是煎熬，就想躺着，可是躺着还是睡不着，死活睡不着。抑郁症患者失眠可能是四天，五天，十天……当我抑郁症最严重的时候，我走到北京的天桥上，有如行尸走肉，真的想跳下去，太难受了……后来慢慢有所好转，可能还是不太严重，渐渐能睡着了，活下去的勇气又有了。后来去安定医院治疗，看了心理医生，帮助很大，很后悔为什么没早点去看心理医生，自己就不会遭那么多罪了。抑郁症是病，不是心情不好，不是散散心，想开了就好了，这是病，非常严重，致死率很高，跟癌症，心脏病是一样的，要去看医生，看专业的心理医生，该咨询咨询，该吃药吃药……这个病能治……从此以后，我真的很担心失眠，很担心抑郁症复发。不过还不错，自从康复了之后睡得都还行，有时候一天睡不着，第二天还是能好好休息。祝每位抑郁症患者能走出阴霾，正视自己的疾病，去正规医院积极治疗。不是什么大事，就当是一场感冒，找到合适的医生，很快就能治好的。,402,155
米稀稀,想自杀不一定是因为精神压力过大。有些人选择自杀，并不单单是因为心理学的因素，还有形而上的困惑。自我实现的意志和执行力之间往往会产生龃龉，导致心理预期实现的不可能。他们这样，或许和思虑深重有关，但已积重难返，有人说是看书看傻了。那种自杀的冲动就像想吃东西一样不可遏制，忽然看到天桥下来来往往的车流，感觉下去一了百了，会感觉有些愉悦。抑郁呢，.情绪一旦坏起来，是没有来由的。不是文艺青年式的“诶呀呀，我很难过”。莫名其妙地开心不起来，但也不会大恸。如果能够抒发出来，那是好事呢。但大多时候并不想哭，只是觉得乏味。孤独并不是一件糟糕的事情。如果能够接受这种设定，会意识到每个人的独立是美好的基础。一旦取消这种差别，世界会变得无聊。所以也意识到孤独无法更改，因为终其一生，你要丢下身边的每一个同行者走到你精疲力竭为止，此后的事情与自己无关。并非失望，或者说觉得所谓悲剧构成了诗性本身。所以你能诚挚地祝福他人，也能平静地诅咒自己，很多人并不理解海子诗歌当中的这种双重性。其实一个人有多热情洋溢地喜爱这个世界，就能多痛恨自己。所以我说他的痛苦来自于自身被野蛮地劈开之后弥漫的疼痛。他消耗自己的能量去温暖别人。对于轻慢自杀者行为的言论感到愤怒，因为他们往往忽视那个人的挣扎，而肆意宣泄恶意。他们像看待一条狗一样嘲笑取乐。一个人之所以选择这样的做法，是为了维护自己尊严的最后的一点尝试。有些人并不懂有些东西比生命重要。他们是人，请原谅他们并愿他们安息......It&#39;s better to burn out than to fade away.,613,93
老八,为什么抑郁会导致自杀？我举个例子，先说说我为什么抑郁。因为出生时我就是个畸形，脊椎裂。腰上长了个大瘤子。6岁切掉瘤子后，本以为这样就好了吧？后遗症是大小便失禁！从小学到初中，我经常穿着湿漉漉发臭的裤子，被顽皮的同学追得满校园跑！在我逃跑的时候，屎球还会从裤腿里滚出来！他们甚至为我编了绕口令和儿歌。两条裤子（根据两只老虎改编）丢屎球（根据丢手帕改编）MDZZ......夏天，我偶尔不拉裤子的时候，他们会趁我不在教室的时候，在我的椅子上涂上一层薄薄的屎，很难发现。当我坐在椅子上，上完一节课后，我屁股上就粘满了屎。大小便失禁导致我从小学到初中，只上了一半的课。这还不足以让我抑郁我16岁的时候，大小便失禁的情况渐渐好转了。这时，父亲却出了车祸，家里欠下巨款，我经常要熬夜在医院照顾父亲，还要坚持学习。从植物人到苏醒，用了3年。苏醒后，父亲生活不能自理，一直需要照顾到现在，已经十多年了。倒霉透顶，抑郁得要死。那时，我经常盯着刮胡刀片发呆，一刀解千愁，我死了以后，思维会消失，进入无梦的长眠。过去的痛苦记忆，未来的苦难人生都将消失，永远的消失。这就是抑郁症为什么会导致自杀，因为自杀是解脱。甚至，对我来说，或许是唯一的解脱方法。现实生活让我感到窒息，头晕。我像那从窝中坠地的雏鸟，羽翼未丰，断翅难展。那我为什么没自杀呢？因为6岁的时候父母为了给我看病，花光了所有积蓄。因为16岁的时候，母亲拉着我跪在医生面前，求医生不要停止治疗，救救我父亲，医药费马上就能凑齐。这就是我不自杀的原因：我有责任孝顺父母！我要报恩！不是不想死，不敢死，而是不能死。这时，矛盾就出现了，求生不得，求死不能。解决这种矛盾的方法很简单。以局外人的角度看自己。把自己当成别人。比如，我现在就在天上，看着英俊的老八，他正在用手机在知乎上写文章。老八的痛苦和我无关。推荐给各位病友一本短篇小说《局外人》。进阶读物：南怀瑾的《金刚经说什么》。风雨过后是彩虹，熬过痛苦便是幸福。现在，我在北京买了房子和车，我是心理学硕士、top10海龟硕士，北大高材生…………的上司。如果我年轻时自杀了，这一切都没法得到了。,404,254
