肥叔,1，长期且经常性的疲劳。2，发现自己处处时时受挫。3，注意力长久的被被内心的不适感抓住，而无法集中到不适感意外的事件和感受上。4，可能伴随长期的失眠。5，可能会相信，自己已经无法再让自己脱离不快乐不舒适的生活状态。其中，长期这两个字，是关键。意识到自己长期处于这些状态，记得主动去打破它们。20181114更新。看到很多朋友留言，特别有感触做了公众号为大家提供了简单的自助帮助如下，希望能和你一起获得成长。关注公众号后回复“心理健康自评“获得SCL-90自我测试。回复“焦虑自测”获得焦虑程度自我测试。回复“抑郁自测”获得抑郁情绪自我测试。回复“书籍”获得帮助人生成长的心理学图书。对了，用“百家心理”做关键词可以找到我的这个公众号。,1970,299
壹心理,谢邀，看到这个问题的时候，我想到了时下一个很流行的说法：现代人的崩溃，都是默不作声的崩溃。“看起来很正常，会说笑、会打闹、会社交，表面平静，实际上心里的糟心事已经积累到了一定程度，不太想活，也不敢去死。””我开始慢慢不爱与人说话，因为说话很累，开始慢慢不爱与人交际，因为交际很累，更多的时候我选择在床上躺着睡觉，虽然不管我睡多少个小时也仍然睡不醒。但即便如此，我也要辗转反侧很久才能入睡。“”刚生完孩子，没由来的就想哭，控制不住自己的情绪，对老公大吼大叫，想一走了之，我不止一次的想，为什么我要生孩子？“长时间的情绪低落、自责，悲伤，甚至失眠，暴饮暴食，让我们以为只是暂时“心情不好”“压力过大”。然而却不知道，抑郁症早已悄悄潜伏在身边。抑郁的人，有哪些隐藏的信号？&gt;  睡眠、饮食习惯的突变睡眠紊乱是抑郁症的重要前兆、也是抑郁中的一个重要症状，这主要包括比平时睡太多、或是睡太少。暴饮暴食。大量进食，可以让抑郁者觉得自己 “内在很满”，从而填补内心的“空虚”。沉迷酒精，有的人甚至平时是不碰酒精的，但突然会开始 “想要尝试”，这都是危险的信号。&gt;  疲劳，无法集中注意力，兴趣缺乏“感觉身体被掏空”，也可能感觉身体很重，走几步路、做件再简单的小事都没精力。对一切事情都失去兴趣，哪怕是以前自己非常喜欢做的事情。不再期待社交活动、也不再享受性生活。总之，感受快乐的能力似乎消失了。&gt;  攻击性与暴力和家人、朋友在交流和互动过程中，明显变得更容易生气、愤怒；忍让能力明显下降；语言和行为上也有攻击性、甚至到达暴力级别。&gt;  厌恶自己对任何生活中感知到的错误和失败，都归咎到自己身上，并非常严苛地怪自己这里不好、那里不好。“我的存在没有任何意义和价值。我为自己感到愧疚。”&gt;  有尝试自残、自杀念头生活变得无望，时常在想人生的意义，有过想死的念头，心里很恐慌。美国精神分析学会有一个提醒，如果你出现：01 情绪每天都低落、空虚、没有价值感;02 疲劳、思维迟缓；03 你对周围一切事物都丧失了兴趣；这三项中出现任意两项，而持续两周以上，你就处在患抑郁症的高风险之中。很多人一开始对那些“隐藏的信号”并没有引起重视，或者说感到羞愧，害怕家人的不理解，选择了掩饰或沉默。我们总是“假装看不见它”，总想着自己调节调节，应该就好了，结果往往是一开始的抑郁情绪，成了重度抑郁，最后无奈走向自杀。16年前的4月1日，哥哥张国荣就这样做了。他从酒店高层纵身一跃，也以这样的方式，选择了“离开”。“Depression(沮丧、抑郁)，多谢各位朋友，多谢麦列菲菲教授。一年来很辛苦，不能再忍受，多谢唐先生，多谢家人，多谢肥姐。我一生没做坏事，为何这样？”据统计，每隔40秒，世界上就有一个人因抑郁症自杀，在“自杀大国”日本，60%的自杀起因是身体健康，和抑郁。而绝大多数人面对抑郁，常常都会有4种反应：①劝解自己说，想开一点就好了②担心自己得了抑郁症，恐慌害怕③感到羞耻和自责，不敢求助④试着调节但没有用，不知所措事实上，每多一份忽视，多一丝恐慌，多一些无助羞耻，都会让抑郁变本加厉，让我们在抑郁的泥塘里越陷越深，被无力感和压抑笼罩。还有大部分人在意识到自己需要求助的时候，也会面临同一个困惑：该找谁，帮助我？找心理医生？还是找心理咨询师？答案是：都找，因为医学和心理学这两个角度，都是不可或缺的。心理医生容易见病不见人，Ta们懂得如何利用药物调节我们的内分泌缓解症状，但却常常忽视了患者的情绪问题。而心理咨询师则是容易见人不见病，Ta们看得到来访者的情绪，愿意倾听，愿意帮助Ta们找出问题产生的根源，陪伴Ta们处理心理问题，但不能诊断抑郁症，也没有资格开具相关用药处方。两者的结合，会能更好地帮我们摆脱抑郁症、把潜藏在深处的抑郁情绪挖掘出来放在太阳底下消灭掉。谨以此，希望所有潜在的抑郁症患者都能被亲近的人发现，得到有效的治疗和疏导，摆脱黑暗，重回阳光之中。世界和我爱着你。壹心理更多专业的心理学文章和回答，请关注：壹心理 - 知乎谢谢一路有你，如果喜欢，记得点赞哦(〃&#39;▽&#39;〃) ,244,39
匿名用户,1.总会在深夜里关着灯听着歌发呆，忽然的就流泪了，却不知道怎么回事，想停下来却控制不住自己那就随心所欲吧，哭出来就好了吧2.总是会有很多奇奇怪怪的思想，想象力极其丰富，能够构思出任何东西3.能盯着一个东西发呆一天，什么也没动，但感觉脑袋里像是带了台电视机，还是能点播那种，处在一个只有自己明白的空间4.把房间门反锁拉上窗帘，很享受幽暗的没人的空间，这时候有人进来会很惊慌5.与别人相处融洽，但感觉身体里有另一个人冷漠的看着一切，觉得一切都极其幼稚，好像在说“智障?”6.别人和我打招呼第一时间很惊慌，但身体本能使我冷静下来微笑的回礼7.生活极其自卑，在路上走着不敢抬头8.身边人都认为我大大咧咧强心脏很坚强，对啊谁又知道只会笑的我在你们看不到的地方自责了多久9.看到高赞的答案发现自己也有的一个状态，平时看到一些乞丐会忍不住投钱，即使数目很小也要投，不然总感觉我做错了10.真的真的很喜欢发呆，别人和我说话都是连猜带蒙的，要么就是要别人重复很多遍11.平时很喜欢笑，但这真的只是我习惯了要笑而已12.情绪波动大，刚刚还在因为找到了一款合心意的游戏而开心，下一秒又想“这个游戏有什么意思？”这是最近我的状态。,559,91
姆尔维察察察,更像躁郁无缘无故的情绪超多每次高兴之后必有抑郁超嗨之后就是持续的超丧毫无原因  却控制不住少则几个小时  多则连续几天茶饭不思 无心学习 什么都不想干对周围事周围人一点兴趣都没有 只觉得一切都好烦我妈随口指出我一个很小的问题 根本连批评都算不上  忍不住的开始哭和朋友聊着天突然开始难过逛着淘宝突然开始难过上着课突然开始难过不知道什么时候会因为什么事情什么原因突然开始难过想法超级多  却不愿意说只想沉浸在自己的世界里心慌  头疼  失眠  嗜睡  厌食然而你说你抑郁却并没有人信还要承受一些“抑郁症都是矫情都是做作”的攻击希望所有的抑郁症都能被关心和善待,403,51
首席村姑,我没有得过抑郁症，但曾经很亲密的人得过。一起走过的那段时间，我也多次专门咨询过医生，对这个病有了一些认识。1，过度敏感。他们比正常人，要敏感很多。比如，外面吃饭，他对你说：“这面条太咸了。”你不说话，回之以笑，他们可能都觉得，你在嘲笑他们，嫌弃他们事多。2，爱哭。很多的事情，稍有情绪波动，就会哭。也许是和恋人吵架了，也许是恋人说了伤害自己的话，也许在看书看到感人的片段，也许是聊到少年时的伤心回忆，他们都会控制不住的哭！3，情绪波动大。随着天气的变化，他们的心情也会变化。尤其在春天，变动尤其大，春天，也是抑郁症患者自杀最多的季节。天气好时，他会很开心，天气不好，他就会陷入抑郁，啥也不想做，啥也不想思考。4，非常善良。绝大部分抑郁症患者，都很善良。不善良，估计也不会抑郁。出现问题，他们都会把责任揽在自己身上。5，记忆力下降，阅读能力下降，理解能力下降。以前，一目十行，现在，估计，一行十目。6，情欲低，性欲低。如果一个美女，身材曼妙，勾引抑郁症患者，他们不一定有这方面的冲动和想法，因为，跟你sex，还要出力，花精力，很麻烦。7，长时间不谈恋爱，谈恋爱也没什么好结果。去观察，周围那些几年不谈恋爱，或者分手后，几年不恋爱的，很大比例，可能就是抑郁症。因为，压根没有这方面的需求。即使，生活的安排，他们邂逅了一各方面都不错的美女，且刚好爱他们。他们也不会珍惜。因为，他不是心理因素，也不是性格不好。他是身体物理性出问题了。抑郁症患者，体内比正常人，少了2种物质。一种，控制对快乐感知，一种，控制对情感的感知。前一刻，他们还在跟你缠缠绵绵，海誓山盟，发誓要送你一颗大的钻戒。下一刻，他陷入抑郁，他就会觉得，你是累赘，跟你相处还要花时间经营，还要讨好你，实在是累，不如分手。所以，你会有错觉，他突然就不爱我了！所以，知乎遇到那些“男友突然就不爱我了，怎么办？”的问题，下面一堆的倒鸡汤，什么没有突然不爱，他只是计划了好久。你不知道他忍了你多久？之类的。真的，我的第一反应就是：哪那么多鸡汤，他可能就是抑郁了！8，凡事往坏的方向想。不管是恋爱，还是他的学业，还是他的工作。他们都会往坏的方向想，觉得当下恋人一定会分手，学业哪怕是当下最火的人工智能和区块链，他们也觉得没前途。婚姻，老婆再体贴，他也觉得累，看不到未来。9，喜欢一个人独处。抑郁症患者发作时，典型就是喜欢独处。恋人，配偶，亲人，能离我远点，离我远点，别来烦我。网上说的，求你抱抱我，都是扯淡。10，恋爱中，喜欢把矛盾无限放大。举例，你俩一起做饭，你淘米只淘了一遍。普通情侣，都觉得没什么，如果希望你淘2遍，直接说出来即可。抑郁症患者，不一样，他会无限放大这个矛盾，想很多很多，然后得出结论，你俩不是一个世界的人，三观不合，你俩不合适，往坏的方向想。这也是他们，恋爱通常没有结果的主要原因。11，过度追求完美。这只在一部分抑郁症身上看到，我不知道是否代表整体。比如，他对择偶要求是，漂亮，学历好，聪明，工作好，事业有前途，大胆，敢于冒险。一旦，真的有这个女生出现，他感慨，遇到你真的是太幸运了！终于遇到一个各方面满意的。但是很快，他就开始挑刺了，觉得你不锻炼，他受不了，不合适，觉得你太宅，周末不出去玩，不合适，觉得你看冰与火之歌，没共同话题，觉得你不爱吃肉松，生活方式不合适。很多很多，时不时都有新的刺出来。就像，玩，我们来找茬的游戏一样。12，也有网友反馈说，皮肤比一般人白一个度，总是很困。这个我不知道，是否具备普遍性。13，觉得自己很失败，偶有自杀想法。比如，他会觉得，我给自己定的目标是xxx，完成多少牛逼的工作，我觉得我自己可以。如果现实，没有做到。他们就会觉得自己对不起自己。自己是个弱鸡。自己很失败。一度想自杀。14，他们的睡眠质量很差！很多抑郁症患者，初期症状，都是因为睡眠质量差，才去医院的。睡不着，躺在床上，就是睡不着，即使睡着了，3个小时后就醒了。15，对很多东西，失去兴趣。比如，以前非常喜欢健身，现在觉得累，以前喜欢画画，现在觉得不想动，只想，躺着，什么也不干，什么也不想。16，抑郁症患者的恋爱。我可能不是真的爱你，我也可能不是真的不爱你了，这一切由我的状态决定。有些人说，我的抑郁症前任，和我分手后，火速和新的女友在一起了。我恐怕，他是燥郁症吧，也就是双向情感障碍。躁狂发作时，很容易喜欢上某个异性，正常时，发现自己没那么喜欢她，抑郁时，发现她真的很浪费我的精力，麻烦。而如果你本身很爱另一半，抑郁时，也会推开她。因为抑郁时，压根感受不到对她的爱。17.喜欢自责，和责怪他人。很多的抑郁症，通过吃药可以得到有效治疗。如果你，符合以上多条信息，我建议你，尽快去医院看看，别自己瞎猜。早诊断早治疗。挂号科室，精神科门诊。18.评论里，有人说，我情绪波动大，没有持续不开心。上一秒非常开心，下一秒就非常低沉。则，你有可能不是抑郁症，是燥郁症，学名 双向情感障碍。这种病，典型就是情绪波动大。上一刻，开心的不得鸟，做啥都牛逼哄哄的，冲劲大，充满自信。世界老子最大，其他人都是弱鸡。我要开公司，我要赚大钱，我要发很多论文，巴拉巴拉......下一刻，陷入抑郁，感觉自己很失败，做啥都没动力，感觉一切都没意思，开心不起来。事实，很多燥郁症患者，初期很长时间，都被诊断出抑郁症。....................分割线.......我想对你说..............这个世界，抑郁症患者有很多，尤其在博士，科研人员，投行，等高智商人群频发。很多的人，通过治疗，都能恢复到不错的状态，不影响日常生活。所以，大家不需要用异常眼光看他们，说不定哪天，你也被抑郁找上门。希望所有的抑郁症患者，吃好喝好睡好！保持平常心，对自己要求不要太严格了，人生在世，平凡一辈子，殊不知，已是幸运。要记住，不管如何，做一个快乐的小铁匠！注意⚠️不要自己猜，自己去医院诊断。三甲医院，精神科门诊！如果是轻度抑郁，没什么大不了的，配合治疗即可，放宽心。读到这里，推荐下我另一个回答：单身的人如何脱单？,5041,1112
菲菲苏苏,我自己的状态，复制节选的高赞回答。1，过度敏感。（特别特别）2，爱哭。3，情绪波动大。4，非常善良。8，凡事往坏的方向想。9，喜欢一个人独处。10，喜欢把矛盾无限扩大（特别特别）11，过度追求完美。12，总是很困13，觉得自己很失败，偶有自杀想法。17.喜欢自责，和责怪他人。（特别特别）18.情绪波动大，没有持续不开心。上一秒非常开心，下一秒就非常低沉       ～～～～                                                          除了以上还有特别在意跟别人聊天的内容，不管是现场聊天还是电话聊天，结束后不停地不停的不停的回忆，说话的内容，哪句说的不合适我会使劲懊悔，然后焦虑一整天甚至一整周。                                                                  没有看过病，应该有潜在，因为有小孩，看到另外一个回答说不知道教育孩子善良点还是不要像我这样真的有同感。                      目前唯一让我觉得我可能没病的就是我有明确的目标并在为之努力奋斗。希望这点执念能支持我走下。,1351,449
宋伟,崔永元，十年如一日的失眠，没错，他是一个严重的抑郁症患者。通过这个，我们能得出两个结论，一:抑郁症的后果是严重的、可怕的；二:抑郁症的治愈是艰难的。我曾经也是个抑郁症患者，我想通过我的故事，给大家启发和顿悟。花几分钟时间看我的文章，你终将感谢这次不期而遇。2005年夏天，一个再平常不过的晚上，我坐在沙发上看书，眼角瞟了一下厨房，突然一种巨大的恐惧扑面而来，就是那种心里被掏空了的恐惧。我到现在都还不知道为什么在那个时间那个地点那个场景，让我有了那样的一种强烈的巨大的鬼使神差的感受。然后，彻夜未眠.....第二天，整个白天我都没心思工作，一直试图回避那种感受。但是越这样，效果越差。那种压抑、恐惧、万念俱灰、挫折，所有负面的词汇用来形容当时的感受都不为过。第三天，更严重的情况出现了，更多的可怕的以前从未出现的念头都跑出来了，没有勇气面对任何人和事。这种状态持续了大约1个月的样子，我真的坚持不了了。但自从记事起，我就觉得我的生存欲望是很强的。有父母的陪伴，兄弟姐妹的相互关照，这种温暖的感觉让我强烈的意识到我是不能轻易走的，我无法舍弃这些已经融入我生命中的人。一地鸡毛的状态苦苦坚持了几个月，尝试了各种办法，都于事无补，我隐约的感觉到我真的是有病了。在一个星期五的下午，我请假到北大医院挂号，窗口问我挂什么科，我愣了半天，说”心情不好，你看挂什么科合适”，窗口透出很奇怪的目光说”看一下心理医生吧”。然后护士领我到了一个上面写了副主任的房间。我坐下来后，把过去几个月的感受讲了一遍，医生说了一句”抑郁症，典型的抑郁症”，非常肯定的语气。医生看了一下我的年龄，接着说&#34;按照经验以及我们遇到的这么多样本，你现在才发生是不合理的，你好好想想，之前是不是还出现过”。我当时猛然一惊，1993年，高二，那个不堪回首的一年。我把那一年遇到的情况讲给了医生，医生说”这就对了，抑郁症一般在青少年时期会触发，后面或许会复发。根本原因有心理上的，也有生理上的，给你开一些药吧。另外，你每周来三次，这里有一些和你一样的朋友，和他们交流交流，对你有好处。”我走出房间，带着失落和惊喜”既然是抑郁症，我为啥要吃药呢？我要搞清楚到底是怎么回事，我要争取自己搞定它。”这种天生不服输的性格一直伴随着我，质疑权威，充分自信，绝对独立:-)。我撕掉药方，空手而归。看到这里，你应该很想知道我高二到底发生了什么吧？十六七岁，青涩朦胧激情精力旺盛，我却出了问题，由来也是莫名其妙。记得高一那年，自己单纯到像一张白纸，教室寝室家里三点一线，轻松的学习过程，以及非常不错的学习结果，都来的太easy。高一结束的时候，趁暑假，在一个军工医院做了耳膜修补手术，住院1个多月。等我去上高二的时候，同学们都开学一个礼拜了。继续忙碌、紧张的上课考试上课考试。也就是从这个时候开始，我隐约的感觉到精力无法集中，脑袋里各种念头不断涌出，心里很着急，担心学习成绩下降，越是担心，注意力越无法集中，这种心态反而导致了另外一个后果”我对所有那些可能会影响到注意力的事情都非常在意，整个心思和能量都被耗进去了”。情况非常糟糕，中间不知哭过多少次，就是那种无助、绝望的哭。天空的颜色是灰暗的、周围的气氛是压抑的、一周七天没有区别，就连对我抱有很大期望的老师们也渐渐的对我淡忘了，这就是我连续两百多天的心境。高二快结束的时候，也许是高考迫在眉睫，这种巨大的不得不面对的压力让我从那种不正常的病态中稍微走出来了一些，情况慢慢好转。后来这个事情就慢慢淡忘了。继续说从北大医院回来的事情吧。 当了解到是的了抑郁症后，我从当当上买了十几本这方面的书，还记得看了其中一本前两个章节的那个心情，差点激动的跳起来，里面每一句话，我都觉得是在描述我自己。所有的感受、现象、痛苦，都和自己一模一样，也就基本确定医生的判断是正确的了。后面我就集中运用日本的一个作者写的”森田疗法”。大致意思就是说”抑郁主要来源于你对生活中某些缺憾的不能接受”。缺憾在所难免，或者换句话说，完美是不可能的，你期望去完成一个根本不可能的目标，这个矛盾形成了一种强烈的对抗，会让你的精神处于一种”抑郁的状态”。 我看了很多这方面的书，唯有这个道理根植于我的内心，我像见到了一束亮光。后面我就逐步的调整自己的心态，所有生活中不完美的地方，我都去观察、去体会、去接受，以至于我最后找到了一个根本：情绪的抑郁本身也是一种缺憾，为什么我不接受这种缺憾呢？。这样想的效果就是：我居然对自己本身的抑郁状态也不那么烦躁，那么抗拒了。或许哪一天我又因为什么事情开始抑郁了，因为这是一种精神特质，无法完全避免。但是我已经完全的适应了它的到来，用几分钟时间招待一下，它自然就走了。通过自己的经历，总结以下精华之精华：对待抑郁症的朋友，要给予充分的理解和关怀，那种痛苦是常人无法感受的。不完美是一种状态，它是这个世界的本质。生活中有很多美的东西，我们要善于发现、善于创造、善于享受。 和知心朋友喝点小酒；听一听自己喜欢的歌曲；毫无理由的请一天假；突然起个大早，看看早上5点这个世界的不同模样。等等等等，这些都会让你感恩周遭。内心要强大，任何人，任何事都是不值得不必要畏惧的。少想多做。劳动本身会释放多巴胺，会让身体愉悦。Follow your heart。嬉笑怒骂，一切随心，自由自在。祝我的朋友开心快乐，感恩生命，享受每一天！,544,121
桶桶er,对不起鸭因为高四的复读生 前段时间大家给我的私信都不能及时回复 和大家说声抱歉 希望大家不要对我失望 提前祝大家新年快乐哦都要开心~:)-------------------------------------------------------------------对不起大家 我把回答删掉了 因为我看到很多人都在对号入座 我真的希望你们可以开心 不要给自己过多的心理暗示 因为心理暗示真的很可怕 真的 不管是有问题还是想说说话都可以私信或者评论哦 以下是不完整的答案都说把栏杆拍遍 我真的要把黑板敲穿了不要!!!!根据!!!我所描述的判断自己是否抑郁因为本身不抑郁的人 经过长时间心理暗示 也会十分痛苦!!!如果担心 一定要就医啊就医 ------------------------------------------------------------------ 看到几位朋友的回复以下我使劲敲黑板!!!!!!!!!我还是想说不要通过网上多描述的一些症状 以及患者们所描述的来判断自己的情况 更不要从网上做一些测试题 以此认定自己患有抑郁 应去医院确诊 避免心理暗示带来的痛苦祝大家都开心 不要被痛苦打扰;emmm有问题的话可以私信我 聊天也可以~一一一一一再次分割一一一一一一一一一一大家私信的我都会回复哦评论有些多我可能没法很快很全面的回复希望谅解下有些杠精真的没必要抬杠 因为我说的是我的症状我的经历 我的感受 他不能代表所有人 我也没说抑郁症就一定要我这个样 每个人都有自己的症状想法感受 如果引起各位不适 在这里说声抱歉了|･ω･｀),546,320
楚念乔,说实话，学心理学这么久，潜在抑郁症这个概念我还是第一次听说，以我浅薄的心理学知识储备，想必题主问的应该是，轻度抑郁症的临床相吧。其实抑郁症不论轻重如何，必要特征必然包括心情低落，没有心情低落便根本不能称为抑郁。作为精神病例状态，抑郁的程度必须达到使心里功能下降或社会功能受损害。否则，心情低落便不能诊断为抑郁症。当然，持续时间的久暂也是抑郁症诊断的一个必要条件。通常，至少持续两周才够诊断标准。抑郁有以下六个主要的表现：1.兴趣减退甚至丧失。假定一位家庭妇女原来就没有什么爱好，但干起家务来可以是生气勃勃的，日子过得也有滋有味的，而一旦她感到对家庭生活没有兴趣，连天伦之乐也不能享受，可以说抑郁是明显的。2.对前途悲观失望。似乎生活、工作、学习都前景暗淡，事情已经无可挽回和不可收拾。严重者可感到绝望。3.无助感。感到对处境毫无办法，对自己的不幸和苦痛无能为力。抑郁更特征性的体验是，病人感到别人对他爱莫能助，尽管他完全能体会到别人的善意，看到别人再为他操心努力，但他感到无能为力。4.感到精神疲惫。似乎经历已经耗尽，想振作也振作不起来，至少无法持久。感觉缺乏动力，似乎没有别人催促或推他一把，他就什么也不想做，也动不起来。5.自我评价下降。自认什么知识和技术都没有，毫无用处，对实际上的成绩也不认为有任何价值，或者几乎只看到自己的错误和缺点，似乎什么长处和优点都没有，过去引以为豪或者可以自慰的品质也在心目中日渐消失。6.感到生活或生命本身没有意义。（抑郁症临床相的心理冲突已经开始变形，向抑郁神经症的方向发展。）活着还不如死了的好。常有自杀念头，甚至有自杀行为。需要注意的是⚠️不要自己猜，抑郁症的具象，因每个人心理冲突的常形与变形的不同，症状会有所偏差，一定不要根据笼统的描述给自己下定义，要去医院进行诊断。如果是轻度抑郁，没什么大不了的，配合心理医生进行治疗即可，一切都会好起来的。,202,67
乌丢丢Au,经常会走神，关键是走神走的特别奇怪，比如说刚刚在做一道数学题，过一会脑海里就会冒出为什么我会长得这么丑之类的问题，然后就停在那儿一愣楞半天，回过神来会十分责备自己为什么又走神了，会非常不舒服。感觉没人懂我。感觉好多人做的事都非常幼稚。觉得自己一眼就能看穿他们的心思。感觉自己这辈子不可能找到男朋友了。一天一个样子。可能昨天是个乐观的人，第二天又变成颓废的人。而且没有任何诱因。没有任何征兆。有思想强迫症。每次听到周围的人说一句话，我会努力不去听，不然我会强迫自己在脑海里重复他们的话并衍生出一系列想象。,87,22
