KnowingAI知智,关于抑郁症的几项重要事实抑郁症是一种常见的精神疾患。全球有超过3亿人患有抑郁症，遍布各个各年龄组。抑郁症是世界各地的首要致残原因，它是导致全球疾病负担的一个重大因素。抑郁症患者中女性居多。最严重时，抑郁症可以引致自杀。对抑郁症有有效的心理和药理治疗方法。为何确诊抑郁症比较困难？首先，患者无法认识到自己患有抑郁症，轻度抑郁被认为忍忍就过去了，常常被自己和身边人忽略，而且可能反复发作。其次，心理上存在动力障碍也成为阻碍抑郁症患者主动寻求帮助的因素之一。此外，客观条件来说，由于抑郁症的复杂性，医生诊断也存在一定的误诊几率。于是人们开始思考人工智能（AI）在确诊抑郁症方面是否能发挥用武之地。让 AI 辅助筛查抑郁症在美国，诊断抑郁症的方法之一，是使用患者健康问卷（英语：Patient Health Questionnaire 简写：PHQ）判断患者是否患有抑郁症。问卷基于精神障碍诊断和统计手册（DSM）IV 标准，由美国心理学协会设计，通过了解患者近期的日常活动、食欲、饮食习惯等生活状况的变化情况来辅助确诊。使用问卷的前提是患者有足够的配合度，如果患者本人希望隐瞒自己的抑郁事实，诊断就变得无从下手。麻省理工大学（MIT）计算机科学与人工智能实验室（CSAIL）的研究员 Tuka Alhanai 和他的同事们，希望通过语言状况判断患者是否有抑郁倾向，从而提高问卷筛查抑郁症的效率和可用性。研究小组在2018年9月发表的一篇论文 Detecting Depression with Audio/Text Sequence Modeling of Interviews 中，Tuka Alhanai 和她的团队尝试开发一种自动检测算法，研究小组利用被测者和虚拟代理（virtual agent）的访谈记录获取音频和文本数据，随后进行了三组不同的建模实验。结果显示，利用长短期记忆（LSTM）神经网络训练的模型效果最佳。该模型可以检测被测者的说话风格和单词顺序，并从中找到可能预示抑郁症状的元素，从而帮助医生更好的判断被测者是否患有抑郁症。Tuka Alhanai 的研究小组表示，AI 的优势在于可以被动监测用户的语音和文本数据，从而对患者的抑郁症状发出警报。这样可以更好的鼓励抑郁症患者寻求专业人员的帮助，这些研究可以为相关的移动应用程序（App）提供支持。三个月后，李飞飞团队发布了基于机器学习（machine learning）方法，测量抑郁症患者抑郁程度的研究成果。据论文介绍，在临床实践中，医生也会通过面对面的临床问诊来判断患者的抑郁程度。抑郁通常表现有发音单调、语速降低、音量较低、手势减少、总望向下方等等，若这些症状持续两周或以上，患者即被确诊为重度抑郁症发作。对此，李飞飞团队设想一种人工智能解决方案，通过智能手机上的多模态传感器（摄像头及麦克风等）和文本信息促进对抑郁症进行及时有效的筛查。团队通过对音频、含有面部关键点的三维视频以及临床采访中病人的转录文本数据进行处理，利用机器学习方法来识别多模态数据，随后模型将输出患者健康问卷（PHQ）的评分结果，或者给出抑郁症的分类标签。图：(a) 三维面部扫描视频 (b) 音频记录，可视化的 log-mel 谱图 (c) 病人谈话的转录文本。但需要注意的是，论文最后也提到了人工智能作为工具的优缺点，例如：相对于面对面的与人交流，患者与智能助理的交流恐惧感更低，因此能更好的体现情感强度。PHQ的问卷评分并非意味着抑郁症的正式诊断，人工智能只是拓展了现有的临床诊断方法，并非最后的确诊。由于部分潜在的训练数据存在偏差，可能导致结果存在问题。训练数据的准确性对于这一类疾病的诊断和治疗至关重要。总之，人工智能在未来或许会成为医生诊断抑郁症的必备工具之一。最后希望那些默默翻看此回答的抑郁症患者，能够看一下WHO制作的视频，如果你出现了视频中描述的情况，请鼓起勇气寻求专业人员的帮助吧！WHO抑郁症宣传视频https://www.zhihu.com/video/1097245138237095936更新，附患者健康问卷（PHQ）中文版，帮助进行初期的抑郁症筛查，若得分较高请尽快去预约医生检查。,670,200
彭于晏圈外女友,如果我不想让你辨认出来你可能一辈子都不会知道,224,13
匿名用户,看到有答主说抑郁症患者长相有邪气看着很不舒服之类的评论也都是赞同的声音是我点了反对抱歉啊我真的不太认同抑郁症只是没有那么大的精力去做出讨喜的表情罢了真的没有什么恶意真的不是故意让你们感到不适的我们也很不适也很想逃走很想自己待着的真的只是为了不让父母伤心难过担心才去做这些极其消耗精力的事情真的是不得已而为之如果让你们感到不适了那么抱歉了对了我的皮肤很白没有什么邪气所以不服来辩行吗实在不想您的回答让那些本已不敢照镜子的病友们更加讨厌自己的面容如果给您添堵了在此再次跟您说声抱歉,566,79
匿名用户,对不起 我最终还是匿名吧。私信我的人络绎不绝，每天都要被提醒一遍我精神有问题。 ————————分割线———————很多人从表面上看你很难去看出什么。他们在白天过得很好笑起来很完美也许还可以若无其事的跟大家开玩笑安慰人的话一大把可是夜深人静一个人的时候你不知道这样鲜活的面孔下藏着怎样的委屈，孤单和无助。可是这样的人，却在自己都快撑不下去的时候尽力去给别人温暖表现出来的阳光都让人羡慕他们内心的挣扎和疲惫别人都无法察觉。为什么抑郁。因为你不懂，也怕你懂。————————分割线————————很多人说“哎呀人缘不好都不好意思抑郁”。其实我觉得抑郁症也分为很多种吧，有些人去尽量融入朋友中间，有些人因为脾气被朋友疏远，还有些人主动远离社交。我属于远离社交的，不在意有没有朋友，也许也是因为这个原因，我真的一个好朋友都没有…要么是追我的男孩子（我前男友跟我在一起几个月分手了因为受不了我忽冷忽热的态度和脆弱的内心，当然我也挺内疚的。）要么是曾经关系很好的同学，毕业了就再也没有见过。还有一个原因就是我不愿意很亲近人，也许看起来关系很好，但是别人细想又觉得我们关系没有那么好。我发这篇回答的初衷是解除大家对这个群体的不理解和偏见，并不想带偏你们的认知。同时也谢谢大家看到这篇回答并且留下留言。,1305,197
匿名用户,"删除了，没有任何意义，过好自己的生活吧，找个喜欢的事情，药在时间里，活下去。2019/11/09又登上了这个号，有时候想一想，我是个叛徒呀，逃离了心理学，也不准备当咨询师啦。但我还是很感谢这些年在心理学专业里学到的东西，希望我的同学们能在这个助人育人的行业继续走下去，帮助更多的人，也希望看到有一天，每个人都能成为自己的咨询师。我现在要过好自己的每一天啦，因为不想以后的日子后悔。给大家一些积极的能量吧，分享一些笑的图片。因为下一次登录不知道是什么时候啦。来自这个我很喜欢的创意网站。LACKK 兰客创意 | 分享创意及美的一切真正的微笑有几个特征,第一个是嘴角肌上扬,第二个是颧骨肌上提,第三个是眼角肌收缩。——我们知道心情会影响我们的行为，但其实行为也会影响我们的心情。假装微笑能令你心情开朗，皱起眉头则具有相反的效果。",1816,306
袁小麦,美国精神疾病诊断标准 第四版重性抑郁发作 A在同一个2周时期内，出现与以往功能不同的明显改变，表现为下列5项以上，其中至少1项是（1）心境抑郁，或（2）丧失兴趣或乐趣。     注：不包括明显是由于一般躯体情况，或者与心境协调的妄想幻觉所致的症状。    （1）几乎每天的一天中大部分时间都心境抑郁，这或者是主观的体验（例如，感到悲伤或空虚），或者是他人的观察（例如，看来在流泪）；注：儿童或青少年，可能是心境激惹；    （2）几乎每天的一天中大部分时间，对于所有（或几乎所有）活动的兴趣都显著减低；    （3）显著的体重减轻（未节食）或体重增加（一月内体重变化超过原体重的5％），或几乎每天食欲减退或增加；注：儿童则为未达到应增体重；    （4）几乎每天失眠或嗜睡；    （5）几乎每天精神运动性激越或迟缓（由他人观察到的情况，不仅是主观体验到坐之不安或缓慢下来）；    （6）几乎每天疲倦乏力或缺乏精力；    （7）几乎每天感到生活没有价值，或过分的不合适的自责自罪（可以是妄想性的程度，不仅限于责备自己患了病）；    （8）几乎天天感到思考或集中思想的能力减退，或者犹豫不决（或为自我体验，或为他人观察）；    （9）反复想到死亡（不只是怕死），想到没有特殊计划的自杀意念，或者想到某种自杀企图或一种特殊计划以期实行自杀。     D.这些症状并不符合混合发作的标准。     C.这些症状产生了临床上明显的痛苦烦恼，或在社交、职业、或其他重要方面的功能缺损。     D.这些症状并非由于某种物质（例如某种滥用药物；某种治疗药品）或由于一般躯体性情况例如甲亢所致之直接生理性效应。     E这些症状不可能归于离丧；后者即，在失去所爱者后出现这些症状并持续2月以上，其特点为显著的功能缺损、病态地沉湎于生活无价值、自杀意念、精神病性症状、或精神运动性迟缓。 ,164,43
自信力成长师,对于一个从抑郁状态走出来，成功逆袭为一名称职的心理咨询师，我的成长经验可以跟你们分享一下。一、检测抑郁程度抑郁到什么程度，我这里有专业的抑郁诊断表-伯恩斯抑郁症清单( BDC )（关注我的知乎，有我的私人V），需要自检并且确认程度达到什么标准了。题主需要专业检测一下，然后认真客观面对现实。根据程度不同，方法也不同。没有专业检测，切忌妄下判断，也许你只是一种抑郁状态或心境，也许已经达到抑郁症严重程度。二、抑郁的症状有哪些？抑郁状态最典型的症状是情绪低落，生活中感受不到乐趣。1. 悲伤:你是否一直感到伤心或悲哀? 2. 泄气:你是否感到前景渺茫? 3.缺乏自尊:你是否觉得自己没有价值或自以为是一个 失败者?4.自卑:你是否觉得力不从心或自叹比不上别人?5.内疚:你是否对任何事都自责? 6.犹豫:你是否在做决定时犹豫不决? 7. 焦躁不安:这段时间你是否一直处于愤怒和不满的状态?8.对生活丧失兴趣:你是否对事业、家庭、爱好或朋友丧生心 9.丧失动机:你是否感到一蹶不振，做事情毫无动力 10.自我印象可怜:你是否以为自己已衰老或失去魅力? 11.食欲变化:你是否食欲不振?或情不自禁地暴饮暴食?12. 睡眠变化:你是否患有失眠症?或整天感到体力不支、昏雪欲睡? 13.丧失性欲:你是否丧失了对性的兴趣?14.臆想症:你是否经常担心自己的健康？ 15.自杀冲动:你是否认为生存没有价值，或生不如死?三、判断标准分类评判标准除了自我体验程度，还要根据工作效率、社交影响来判断。1.能够正常工作，社交，只是经常忧郁、情绪低沉，持续时间一个月左右属于轻度抑郁。2.社交轻度障碍，人际活动减少，工作效率下降，持续时间半年内，属于中度抑郁。3.回避交际，不愿社交，回避他人，不能坚持工作，觉得生活没有意义感、无价值感。属于重度抑郁。特别注意：需要监护人和亲人多加关注和陪伴。以上只是初略的估计，切忌不要轻易地对号入座，同时结合心理咨询师谈话来进行确诊。（关注我的知乎，有我的私人V）严重的抑郁症更需配合医院+咨询两方面来治疗。四、我的治愈之路治愈之路成为一名心理咨询师，我花了将近10年，拜了很多导师，而第一位导师，就是治愈抑郁状态的一位导师。我仍然记得他姓李，矮个，亲和。用了一种心理技术“意象对话”，让我在催眠状态下，呈现意象是这样的画面。灰色天空，乌云，地下有很多灰，有破烂的茅草房子····最后，在我睁开眼瞬间，导师瞬间拉开窗帘，打开眼那瞬间，明亮光线直接注进眼帘，也同时注进我心理。而神奇的是，我当再看外界，发现外面的世界万物明亮了很多。接下来，看待事物会比较客观，我能看到有好的一面，也有坏的一面。而以前同样的事物，我习惯地看到消极一面，觉得没什么意思。总之，看待事情是比较乐观角度，心情好转，能感受到轻松和快乐。因为亲身体会心理成长奥妙，于是乎，就喜欢上了，并且扎到这个行业了。拜访了很多大师，了解了什么是心理技术，然后如何帮助人。了解到自己以前呈现的意象：灰色、乌云、灰，都是抑郁状态的象征。而通过意象对话、绘画、沙盘····都可以快速改善抑郁状态，并且安全、不用透露隐私。我的治愈之路都是学习、拜访而来的。改善抑郁，需要一个更有力量的、懂你的、懂人性的导师来帮助你。靠自己走出来，不治本，容易复发。个人本身容易陷在自己的思维里，多一个人去支持、去关注你，就像你的一面镜子，照到和觉察更加客观的你，更有潜力的你。我是花儿开了，以心理咨询为专业背景的自信力训练师（心理师）。我会跟你一起去探索发现真实的自己，帮助你克服自卑、胆怯、抑郁心境，建立自尊、自信，提升你的勇气和活力，活出真实快乐的自己。回答问题，花了时间和精力，喜欢的点赞呗。@花儿开了  （知乎主页+个人V+伯恩斯抑郁量表）,68,9
向北唤醒芬芳,其实他们掩饰的很好 我去医院确诊的 当我告诉身边的至亲好友 他们都很诧异 你一直听开朗的啊 想让你知道你就知道 不想让你知道你就永远不会知道 心思深,91,26
壹心理,"想要识别抑郁症患者，一般来说，可以参考以下这12个信号，分别为：2个语言信号+10个生理&amp;心理状态信号。壹心理翻译社荣誉出品主编：张真Derek012个语言信号抑郁症和其他心理疾病患者，他们的语言用法和习惯上，是否和其他人有什么不同？答案是肯定的。英国的雷丁大学心理博士研究员 Mohammed Al-Mosaiwi 及其团队从 “语言” 入手，收集了 64 个 “心理健康” 网络论坛中、6400 名用户的所有文字数据，经过和他们的临床诊断信息交叉分析，得出了如下的结论：[1]① 患有抑郁症（或是有抑郁症状的人）会使用更多的 “单数第一人称”。所谓的 “单数第一人称”，就是 “我、我自己（I，me，myself）”。相比这下，他们很少使用 “复数第一人称、第二人称、第三人称”（如 we，you，he）。研究人员在报告中指出：这是因为抑郁者的注意力会更聚焦在自己身上。注意：这不是说他们自私，而是在说抑郁者和其他人之间的联系比较薄弱。② 患有抑郁症（或是有抑郁症状的人）会呈现更多的 “绝对化用语”。所谓的 “绝对化用语（absolutist words）”，就是 “总是、不存在、绝对是、完全地（always，nothing，absolutely，completely）” 这种表达绝对程度的词汇（不分正面负面或是褒义贬义）。研究人员解释道：这是因为抑郁人群，相比其他人，更会以 “非黑即白” 的两极视角来看待和理解这个世界。他们还提供了具体的分析数据：在抑郁人群聚集的网络论坛上，“绝对化用语” 的出现频率比其他论坛高出了 50%。若是在以 “自杀” 为主题的板块内，“绝对化用语” 的使用频率更是高出足足 80%（我们知道抑郁症患者一直是自杀的高危人群，比如本文开头提到的女孩 Maisie）。而当研究人员转而分析 “康复论坛（recovery forums，成功走出抑郁的人会聚集在这里分享自己与抑郁作斗争的经历）” 上的用词用语时，“绝对化用语” 的出现频率又显著下降，这再一次印证了他们的观点。（在英国，研究者们纳入数据收集和分析的那些论坛，是政府和医疗机构专为心理和精神疾患者开设的网络社区。专业人士通过这些网络社区，向患者提供专业帮助、也营造社会支持氛围。有些论坛还需要患者确诊后、通过 “邀请码” 才能注册加入。因此，研究者通过这些论坛入手，数据是具有有效性和代表性的。）在研究报告里，Al-Mosaiwi 特别指出了一点：“人称代词和绝对化词汇” 与抑郁症的关联度，比 “负面情绪词汇” 更为紧密、更为可靠。也就是说：从抑郁的角度而言，一个人多说几次 “绝对的、完全没可能” 和 “我、我、我”，比 ta 多说几次 “伤心、难过、哭泣”，更为危险。英国的心理学、语言学和电子工程的研究人员已经开始联动。他们下一步想要研发能够在大范围自动监测文字样本的人工智能（包括博客等线上渠道、还有线下渠道，如心理诊所收集来的患者日记），不仅能尽早地发现潜在的疾病威胁，还能通过文字来为可能的症状进行初步诊断和分类、辅助心理和精神科医生的专业判断。当然，光靠这些语言信号还远远不够，我们还要结合其他生理和心理上的信号一起判断。0210 个生理和心理信号以下 10 种生理和心理症状，在抑郁症被确诊前就很有可能出现，可以为你观察身边亲友可能出现的抑郁倾向提供科学参照。如果你怀疑自己可能进入了一种抑郁状态、并有向抑郁症发展的可能，这个症状列表也可以为你的自查提供专业依据。[2] [3] [4]请注意：这些症状的监测，需要和抑郁出现之前的正常状态进行比对。例如下面的第一条讲到 “比较容易产生攻击、好斗的情绪”，这不是说谁攻击性强就有抑郁倾向，而是要看这段时间和过去很长一段的 ta 相比，情绪上是否有较大的变化。&gt;01&gt;  Aggression &amp; Violence 攻击性与暴力和家人、朋友在交流和互动过程中，明显变得更容易生气、愤怒；忍让能力明显下降；语言和行为上也颇具攻击性、甚至到达暴力级别。（这里我们必须再一次认识到：“抑郁” ≠ “低能量”，不要以为一个语言和动作中能量很高的人就不可能抑郁。）&gt;02&gt;  Can&#39;t Focus 无法集中注意力在记忆、决策等和注意力相关的任务上出现困难。&gt;03&gt;  Fatigue 疲劳可能 “感觉身体被掏空”，也可能感觉身体很重，走几步路、做件再简单的小事都没精力。&gt;04&gt;  Sleep Disorders 睡眠异常过早凌晨就醒来然后再也睡不着了，或是过度嗜睡。&gt;05&gt;  Bodily Pains 身体疼痛头疼、背疼、肚子痛、肌肉疼痛…… 而且更关键的是，自己找不到任何可以解释这些身体疼痛的原因。&gt;06&gt; Appetite &amp; Weight Abnormalities 食欲和体重异常由于食欲和饮食的变化，导致体重剧烈变化：要么急剧变轻，要么急剧增重，且一个月内的体重变化超过 5%。&gt;07&gt;  Dangerous Behaviours 危险行为开始出现鲁莽和不理智的行为，比如无节制的赌博、违反交规的驾驶行为、滥用药物（甚至是吸食违禁毒品）、尝试不安全的体育运动（比如从没练习过就上手极限运动）。&gt;08&gt;  Disinterest 兴趣缺乏对平日生活中的一切事情都失去兴趣，哪怕是以前自己非常喜欢做的事情。不再期待社交活动、也不再享受性生活。总之，感受快乐的能力似乎消失了。&gt;09&gt;  Helplessness &amp; Hopelessness 无助无望觉得一切都是毫无希望、也不可能得到什么有效的帮助，未来不可能变得更好（看到这里的 “不可能” 吗？有没有想起上面提及的 “绝对化词汇”？这之间都是有关联的）。&gt;10&gt;  Self-Loathing 厌恶自己对任何生活中感知到的错误和失败，都归咎到自己身上，并非常严苛地怪自己这里不好、那里不好。“我的存在没有任何意义和价值。我为自己感到愧疚。”（再来联系下上下文：抑郁者对 “我” 这个第一人称的频繁使用，和轻生的念头，在这里能明显看出）。References / 参考资料：[1] Al-Mosaiwi, M., &amp; Johnstone, T. (2017). In an Absolute State: Elevated Use of Absolutist Words Is a Marker Specific to Anxiety, Depression, and Suicidal Ideation. Clinical Psychological Science, 2167702617747074.[2] National Institute of Mental Health (http://NIMH.NIH.gov). Depression.[3] HealthLine.com. Signs of Depression.[4] HelpGuide.org. Depression Symptoms and Warning Signs.壹心理翻译社更多专业的心理学文章和回答，请关注：壹心理 - 知乎谢谢一路有你，如果喜欢，记得点赞哦(〃&#39;▽&#39;〃) ",1084,217
酷炫脑,"每5~6个人就有一个人在一生当中会得抑郁症。这意味着，抑郁症是一个非常常见的精神疾病。无论在富有的国家还是在贫穷的国家，抑郁症的发病率都差不多，这说明抑郁症并不是一个因为贫穷，或者因为现代生活模式才会得的疾病。虽然社会和文化因素在一定程度上会影响抑郁症的发病率，但是总的来说，基因对抑郁症发病的影响还是最大的。抑郁症第一次发病的时间通常在青少年的中期到四十多岁。其中有接近一半的人在20岁之前就经历了第一次发病。抑郁症在不同的性别当中发病率不一样，女性的抑郁症发病率几乎是男性的两倍，两性的发病高峰通常都在20岁左右。接着下一个小高峰在四五十岁的时候。抑郁症是由很多症状组成的，其中没有任何一个症状是抑郁症独有的成分，一系列的症状构成了抑郁症，抑郁症与其说是一个疾病。更恰当的说法是，它是一种综合症。抑郁症的症状主要包括持续两周以上的消极情绪，兴趣缺失，感到自己没有价值或内疚，有自杀的想法计划甚至有自杀的尝试，感到疲乏缺乏能量，睡眠变多或者变少，体重和胃口发生明显变化，难以思考或者集中注意力难以做决策，心理因素导致的行动迟缓、焦躁不安等等。抑郁症和一般的情绪低落、伤心或者不开心的感觉是不一样的。一个人要符合抑郁症的标准，至少要有5项以上的前面说到的抑郁症状，并且持续两周以上的时间，才有可能是抑郁症。因为抑郁症会导致一些人负责记忆的海马体神经元有20%的凋亡，所以抑郁症病人中很大一部分人会出现认知损失，比如记忆力、注意力下降，难以作决策等等。很多抑郁症患者明显感觉思维变得比较模糊，不像得抑郁之前那么清楚了。差不多一半的抑郁或者双相情感障碍病人在痊愈后认知能力仍然得不到改善。抑郁还有一个典型体验是内疚和自责。抑郁症患者从内心深处觉得自己不够好甚至一无是处，抑郁期间内心“充满负能量”。想要向人倾吐他们内心的痛苦和无助，却又害怕给别人带来麻烦，对不起别人。他们希望自己可以做好工作，过好生活，但是抑郁期间因为缺乏心理能量，他们常常力有不逮，于是感到无助和后悔，甚至变得恨自己。我的微信公众号（酷炫脑）后台曾经收到过一个留言：“其实，如果能说得出来，抑郁症也不会到自杀的地步。有些时候对于抑郁症病人来说就是，说出来矫情，或者一直不断地重复着别人不以为然的痛苦，然后每次在要说出口时就又不想说了。”抑郁还会体现在行为的各个方面，比如呼吸的时候会有深深的“叹气样呼吸”，表情减少，肩膀下垂，步伐沉重等。有时，抑郁症患者还会出现一些明显不真实的消极念头或是出现幻觉。若干年前有一个远渡重洋去大洋洲留学的朋友，我们好几年没联系，有一天她突然在网上和我聊起来，告诉我她得了抑郁症。她说：“最近不知道为什么，洗澡的时候会听到有人说话，关了水之后又什么都没有了。”她一个人住，很害怕是不是出现了严重的问题。我告诉她，幻觉也是抑郁症患者可能出现的症状。抑郁症可以说是一个终身疾病，很多抑郁症患者在一生当中会经历抑郁症状的多次反复发作，因此很难用痊愈来定义他们康复的状态。所以很多时候，抑郁症的痊愈，其实说的是某一次抑郁症的发作之后，很长一段时间不再有症状，患者重新恢复了他们的日常生活和工作功能。在积极的治疗下，一次抑郁症通常会持续3~6个月，而大部分病人会在12个月之内康复。那么更长期来讲，有多少病人可以维持很多年都不再复发，甚至是永远痊愈呢？情况并不是很乐观。从两年的尺度来看，大约有60%的人可以维持康复的状态；时间放长到4年，大约只有40%的人维持在康复的状态，而如果6年后再观察，大约只有30%的人维持在康复的状态。而抑郁症的长期康复率这么低，焦虑在其中扮演了一个不容小觑的角色。换一个角度来看，抑郁症的复发风险非常高，大概80%的病人都会经历至少一次的复发。而每复发一次，再度复发的风险又会增加，并且预后也会变差。Ps：想要测自己心理/精神健康程度的，可以到酷炫脑gzh浏览界面最下方（下图最下方）找到我们的精神测评小程序入口，所有测验都是免费的。 ​​​参考文献：Gin S Malhi, J John Mann, Depression，The Lancet, 2018 Nov. ",457,75
