xi cui,最糟糕的时候大概是这样的：1.失去了活力和精神，也失去了对很多事物的兴趣。2.动作变得迟缓和呆滞，不想动，不想起床，不想洗脸刷牙开始一天的生活，什么都不想做，脑袋里会有一种可怕的念头，就是，“不如死掉算了。”虽然我知道我是绝对不会这么做的，但嘴上和心里却经常会悬浮着这样的想法挥之不去。3.过年的时候和家人在一起，因为不想发生无意义的争执，就在自己的房间门上贴张纸说自己不能交流无法沟通，然后就10天没有张开嘴说话。4.低价值感，觉得社交没有意义，去尝试美食也没有意义，生命更没有意义，不是为了父母自己还不如死掉算了。5.和家人去旅游，在桂林桃花江畔，大家都在赞叹桂林的秀丽时，我的脑海中想到的却是这水有多深啊，有人在这里自杀吗？死的时候痛苦吗？如果跳下去又被救起来会不会脑袋坏掉啊等等等等。6.总感觉时间在变慢，然后接近于停滞。7.心情起起伏伏，有时候感觉一天的心理状态跟坐过山车似的。8.无法审视自己的生活，感觉整个世界于我而言都在不停的下沉，和几乎所有的朋友们都断了联系，甚至不回复别人的留言，不是不想回复，而是不能回复。因为如果自己都无法直视自己的话，又怎么能够对别人描述自己的近况呢。9.我的心理咨询师，某以心理科著称的著名三甲医院的心理科室医生，那名一直要求我持续进行心理咨询的女医生，在最后一次心理咨询时直接被我激怒，然后抛弃了我。她说她再也不愿给我做心理咨询了。那个时候心情非常不好。10.有时候会感觉到我只是个空壳，无法思考无法投入感情更无法去充满活力的行动。那个时候我只能选择闭上眼睛，让时间静静的流淌。ps：今天是周一，时间匆匆流逝了两天。答这道题时正好是黑狗肆虐咆哮的时候，那时候完全被痛苦失控的情绪给控制住了，才匆匆写下这些文字。我参加过个体治疗，团体治疗以及正念治疗，效果各有不同。但此时此刻的我已经感觉好多了。大概间隔一两周黑狗会显现一次，那个时候，彷徨失措的心绪会将我淹没。但当黑狗远去后，我的生活又会恢复正常，该吃吃该喝喝，我喜欢的maltesers巧克力小球和重庆火锅还是那么的美味啊。所以在此刻，我想告诉大家，请不要放弃希望，也不要放弃自己，也许你只是像我一样生病了而已。不要责怪自己，不要为难自己，不要让自己陷入阴暗封闭的怪圈之中不可自拔，你抑郁并不是你的错，也许是时候去好好照顾一下你内心那个受委屈不开心的小孩子了。,2116,593
匿名用户,描述一下我自己的症状吧1.最大的感受就是“麻木”。无论是淘宝了新东西、被boss表扬，还是男朋友不搭理我、工作失误，带给我的情绪波动都会迅速在短时间內归于平静，就像往大海里扔了块石头，悄无声息。只有沉甸甸、想哭却哭不出来的压抑感陪伴着我。2.空虚。对任何事情都提不起兴趣，一个人的时候也不想玩游戏看书看剧看电影，除了感受时间的流逝，一遍又一遍刷新社交网站，无事可做。3.压抑.不只是醒着的时候感到窒息，连梦里也是无穷无尽的负面情绪：凶杀、争吵、背叛等等，每天醒来都觉得很恍惚。4.和人愉快地聊天、开玩笑的时候可能心里在对自己说“活着好没意思啊，不如去死算了”，整个人都处于伪装的状态。5.我很好，各方面都是“别人家的孩子”，但依旧对未来提不起希望，觉得生活没有意义。------10.06补充-----6.我已经很久很久，大概快一年，没有体会过“很想吃某个东西”的感觉了。我过去是很爱吃甜点的，一想到就会很开心，但是现在再也感受不到了。再好吃的食物，于我也不过是一个果腹的物品罢了。以上。,1168,247
匿名用户,,925,84
匿名用户,我才17岁。却感觉过完了一生。,705,146
Hu Yang,和这个世界之间永远隔着一道无法逾越的鸿沟。,471,72
平平,根据DSM-IV（美国精神疾病协会，1994），患抑郁症的人都会感觉失落和无助。他们没有一点精力，不能集中注意力，感觉不到一点快感，几乎不能再快乐起来，甚至不能够再想像快乐的感觉。实际上，相比于失落，快来感的缺失是抑郁症更加典型的症状。行为和脑活动都表明，抑郁症个体像其他人那样表现出失落和害怕，但是在观看喜剧片或开心的图片时不能想其他人一样真正地开怀大笑（(๑‾ ꇴ ‾๑)，出处好长）。另一项研究发现，抑郁症患者表现出更多的恐怖表情，同时表现出的愉快表情却越来越少（Monk et al.，2008）。抑郁症的发生呈片断性，持续时间不同。流行病学资料显示，抑郁症的终身患病率女性为25％，男性为12％，女性是男性的2倍。女性患者多表现为焦虑和睡眠障碍；男性则在迟滞、疑病和自知力缺乏等方面症状较为突出。女性患者首发年龄较男性早，病程更长，且复发几率更高（苏宝兰，孙福刚，云维生，等．抑郁症的性别差异[J]．临床精神医学杂志，2008；18：97—98）。1.症状和风险因子抑郁症病人的典型症状包括：抑郁心境、活动兴趣缺失、 注意力不集中、无价值或内疚感及自杀观念。不过，有些病人可报告非特异性症状。抑郁症的非特异性症状包括：腹痛、背痛、体质量或食欲变化、便秘、疲乏、头痛、失眠或睡眠过多、关节痛、颈痛、无力。有研究发现，世界范围内有 45％ 一95％的抑郁症病人仅报告躯体症状。抑郁症潜在原因呈多因子。评估可疑抑郁症病人时需考虑 风险因子。患抑郁症的风险因子包括 ：慢性病、慢性轻度日常应激、慢性疼痛综合征、抑郁症家族史、女性、低收入／失业、 低自尊、社会支持系统不足、既往抑郁症史、单身／离异／丧 偶、外伤性脑损伤、年纪较轻 。 2. 筛查抑郁症（嗯，筛一筛好了，酱紫比较清楚）简短筛查工具，如 PHQ一2(见表 1)可用于排除抑郁症 ， 但不能作为抑郁症的确诊依据。然而PHQ一2仅问有关心境和兴趣缺乏2个简单问题却很有效。PHQ一2与较长的筛查工具如贝克抑郁清单或Zung抑郁自评量表效果相同。已证实， PHQ一2用于成人筛查的敏感度为97％，特异度为67％；阳性 预测值为38％ ，阴性预测值为93％。有报告表明其用于青少年筛查的敏感度为74％，特异度为75％。表 1     PHQ一2：抑郁筛查工具过去两周，你有多长时间被下列问题所困扰     无    几天   大于半数     几乎每天没兴趣或不高兴做事情                                      0       1             2                3情绪低沉、抑郁或绝望                                      0       1             2                3注 ：如果病人对任一问题做出阳性反应，考虑用 PHQ一9或询问病人更多关于抑郁的问题；老年人考虑用 PHQ一9或 15项老年抑郁量 表；若对2个问题均做出阴性反应便可做出抑郁阴性结果 PHQ一9 (见表 2)是抑郁筛查 最常用的工具之一。虽然其本身就可以作为筛查检测或监测治疗，它用于阳性 PHQ一2 结果确诊也日益增多。PHQ一9为有效的、仅用2～5 min就可完成的问卷，已证实其作为心境障碍筛查：成人的敏感度为 61％ ，特异度为 94％ ；青少年的敏感度 为 89．5％ ，特异度为 77．5％ 。（这个图肿么这么大，好丑ヽ(｀⌒´メ)ノ）3 .抑郁症的诊断若筛查表明抑郁，需符合 DSM—IV抑郁标准方能确诊 (见表3)。不符合 DSM—IV抑郁标准的抑郁症状可因其他心理综合征所致 ，如心境恶劣障碍、循环情感性障碍、物质滥用 、哀伤或双相情感障碍。作为病人的抑郁表现关键要排除双相情感障碍。心境障碍问卷为双相情感障碍的有效筛查工具。 需排除可致假性抑郁症的疾病。若病人有甲状腺机能减退 的体征和症状 ，应做促甲状腺激素水平测定。同样，需做全血细胞计数检测以排除贫血。美国老年医学会建议，有抑郁症状的老年人需做促甲状腺激素、维生素 B12、钙及电解质水平测定；肝和肾功能检测；尿液分析；全血细胞计数检测 。表3      严重抑郁发作诊断标准（Douglas M．Maurer．Screening for depression[J]．American Family Physician，2012，85 (2)：139一l44．http：／／www．aafp．org／~fp／ 2012／01 15／p139．html．）A．连续 2周时间出现以下 5个(或更多)症状且出现功能变化；至少有(1)抑郁心境或(2)兴趣或快乐缺失1种症状 注：不包括明显因医学情况或心境不协调妄想或幻觉导致的症状 (1)由主观报告(感到忧伤或空虚)或他人观察(如流泪)表明，每天大部分时间、几乎每天都处于抑郁心境。注：儿童和青少年可表现为易激惹 (2)每天大部分时间或几乎每天，对所有、几乎所有活动的兴趣或快乐明显减少(由主观报告或他人观察表明) (3)不节食而体质量明显下降或体质量增加(如 1个月体质量变化5％)，几乎每天食欲减退或增加。注：儿童可：表现为预期体质量增加不足 (4)几乎每天失眠或睡眠过度  (5)精神运动亢进或迟缓(不仅主观感觉坐立不安或减慢，他人也可观察到) (6)几乎每天都感到疲乏或精力缺乏 (7)几乎每天都有无价值或过度或不相称内疚(可为妄想)感(不仅仅是对 自己抑郁状态感到自责或内疚) (8)几乎每天思考或集中注意力能力下降，或决策困难(主观报告或他人观察) (9)反复想到死、反复出现自杀观念但无具体计划、或企图自杀或有自杀计划B．症状不符合混合发作标准 C．症状导致临床明显痛苦或社会、职业或其他重要功能受损D．症状不因物质生理作用(如药物滥用或药物治疗)或全身医学情况(如甲状腺机能减退)所致 E．症状不能仅用哀伤做解释，即失去爱的人，症状持续 &gt;2个月或以明显功能受损、病态无价值观念、自杀观念、精神症状或精神运动阻滞为特性最后，要判断一个人是否得了抑郁症，还需要专业的医生来做出诊断，不要自己妄加猜测，妄下定论，以免贻误治疗，或杯弓蛇影，自己吓倒了自己，摸摸ヾ(＠⌒ー⌒＠)ノ。,278,120
熠杰,抑郁症患者亲自答一波。1.首先是心态消极，做事情动能不足，拖延，很想逃避，试图通过逃避来自我减压。在患抑郁症之前，我是一个干劲十足的人，每周阅读一本书，读完还会摘录总结，连玩游戏、看剧的时候都能深刻体悟故事精髓，主观能动性没得说。有抑郁症状之后，工作上必须强迫自己去做，总觉得背负了很大的担子，兴趣也有所减退；确诊之后已经很难工作下去了，整个人有点颓，内心的能量从满格降到半槽，再到几乎空槽，已经没有能力兼顾工作以外的任何琐事了，受到外界干扰之时，哪怕很轻微，也会觉得烦躁。2.睡眠不佳，嗜睡或者早醒都会存在，时有头昏脑胀，脑力明显衰退，难以集中注意力。在患抑郁症之前，我在朋友间以专注著称，做事很沉得下心，肯钻研，肯吃苦，心无旁骛。患上抑郁症之后，连玩游戏都走神，特别是展开剧情对白的时候，觉得太平淡、太拖沓、刻画太粗浅，容易产生嫌恶之感。最近通关了《刺客信条：奥德赛》，玩的时候各种惊叹，通关了就记得男主找妈认爸，规劝妹妹，帮助斯巴达迎接战争了，对苏格拉底这种重要角色的印象都很淡漠。《古剑奇谭三》更是没看懂故事在讲什么，对人物的印象特别模糊，就记得岑缨的考古情怀，北洛是缙云转世，同时拯救天鹿城和人间了。上网看了评论，重温一遍才看得清楚了些，和过去简直天壤之别。3.敏感，玻璃心，易受刺激，情绪起伏大。在患抑郁症之前，我内心是非常强大的，至少和目前对比是这样，患抑郁症之后，遇到不情愿的事情只想找个龟壳缩进去，或者竖起浑身尖刺，要么做乌龟，要么当刺猬。无论哪种，都属于强烈的自我保护，换而言之，我们的心经不起打击，甚至经不起轻微的刺痛。我曾两度创业，目前拥有两家公司，在以前，成功欲和对梦想的执着推着我迎难而上，现在我对名利没啥欲望，只想找个合适的时机退出，做一份没有压力，不用承担风险和责任的工作。我已经没有能力当一名老板或者高管了，只想安安静静地避开世事纷扰，做一个普通人，能写写小说，在网上连载连载，过悠然无虑的生活，便是最大的幸福。4.有自杀倾向，有避世倾向。我人生的前二十九年，从未有过一丝一毫的自杀念头，但最近半年，至少出现过三次，皆是因为难以调和的家庭矛盾，比如与父辈的沟通障碍，不被理解，得不到渴望已久的关怀。据我所知，抑郁症的根源往往在于家庭，患者自幼被严苛对待，缺失父爱或母爱，害怕被否定，因而产生了极高的自我追求。但现实残酷，竞争激烈，成功何其困难，这种心态伴随的必然是三番五次的挫败感，从而让人自我怀疑，信心崩塌，陷入难以自拔的泥沼之中。这个时候，来自亲人的关怀如同久旱后的甘霖，只要得到一些，患者也不至于选择极端的方式结束生命，但世人对抑郁的无知导致我们难以如愿，自杀也就是结束痛苦的最快，最便捷方式了。前年发生的翟欣欣事件，不知大家仍否记得，苏享茂为何那么容易被控住，就是因为重度抑郁，他在创业的过程中必定经历了太多起伏，导致内心十分脆弱，而身边最亲近之人的不理解，不关心，使得他频频发怒，还背负了一个脾气暴躁的罪名。在抑郁症患者的视角看来，苏的行为是完全可以理解的，他之所以狠狠砸钱，当然不是因为蠢，也不是传统观念作祟，只懂得花钱买女人心，而是唯有通过花钱才可以避免跟翟欣欣发生争吵。为了逃避争执，他一次又一次掏钱买单，女方却只知抱怨他阴晴不定的个性，认为跟他在一起是委屈了自己，要金钱补偿合情合理，因此导致了自杀的悲剧。这次事件的脉络，在我看来十分清晰，就是个抑郁症患者和完全不理解抑郁，又很虚荣的女人的错误结合，并非网传的骗婚骗财。避免受刺激是抑郁症患者的本能，苏的行为只是在谋求低压以及易于沟通的环境，而这正是抑郁患者最需要的。希望各位在找对象的时候，尽量找心地善良，情商高，懂得体谅人的男男女女，把形象、经济、学历什么的抛到一边，一切以合适为前提，但凡市侩、自私、自我之人，一定要敬而远之；与此同时，也希望与抑郁症患者相处的恋人，做好承受对方情绪起伏的心理准备，不要在患者发病的时候打击对方，流露厌烦和不悦，甚至要求对方付出来补偿，这是一种对患者不可弥补的伤害。自杀的结局不是一蹴而就的，是多年、长期积郁所致。最初通常只会产生类似的念想，但不会采取行动，对死亡的畏惧，对人世的留恋，都是促使患者活下来的理由，随着抑郁愈发深入，患者觉得活着很痛苦，唯有死亡是解脱的时候，自杀终将成为现实。患者的内心，犹如一张逐步拉上的帷幕，每一次伤害、挫折、沮丧，都令幕后世界更加灰暗，直到彻底拉上的那一刻，也就有勇气与世诀别了。5.亟待倾诉，急需倾吐对象。抑郁症患者需要宣泄口，宣泄并非发泄，不是骂人打人，只是想把内心的状况讲出来，有人倾听、理解和尊重，这是患者的基本诉求。但国人对精神类疾病的妖魔化和误解导致患者不敢诉苦，心里越憋越难受，时间一长，迟早崩溃。不是有句话叫“中国人总是在无声中崩溃”么？骑车逆行的小哥，跳杨浦大桥的孩子，创业明星茅侃侃，莫不如是。如果他们能接受心理治疗，勇于把内心深处的秘密讲出来，得到包容和接纳，恐怕就不会拥有如此惨痛的结局了。抑郁症、躁狂症、双向情感障碍、焦虑症、甚至受迫害妄想症，都是精神类疾病的一种。精神类疾病不等于精神病，民间所谓的精神病是骂人的粗鄙之语，类似神经病，那意味着对医学的误解和对人的恶意。心理和生理是密不可分的，精神类疾病是有生理变化的，正因如此，药物治疗才可以起效，千万不要认为患有精神类疾病多么见不得人，它跟糖尿病，高血压一样，是普遍得不能再普遍的病，但在上一辈的认知里，它往往被异化为神经病，如同疯癫，说出去有损颜面，这种错误的观念必须尽早纠正，否则误人误己。就我个人而言，毫不避讳在网上承认抑郁，现实中之所以不敢说，是因为牵扯了大量利益，绝对不能露怯示弱。不知大家是否跟我一样，选择的倾吐对象往往是异性，在我的认知里，女性更柔软，更细腻，更富有同情心，因此得到的回馈更能使自己满足，很多时候，我们仅仅需要一个现实之外可供交心的朋友，无关阶层，无关利益，彼此理解即是最好。据统计，男性有8%的人患有抑郁，女性则是15%，这个几乎倍数的差异，我想并非先天因素，更多是因为后天境遇不同，比如校园霸凌、性别歧视、强奸施暴、受害者往往是女性，她们自幼承受的压力和不公要高于男性，虽然年轻一代接受了同样的教育，三观与时俱进，男女平等的思想深入人心，但老一辈可不是这样，来自父母的苛责是催生抑郁最肥沃的土壤。以本人在豆瓣上阅读的经验，女性公开倾吐抑郁的大概是男性的五倍，抛开用户性别比例的差距，仍旧高于15：8，这说明男性更忌惮，更羞于谈论抑郁，这与传统文化的洗脑是分不开的。大多男性打小被灌输要顶天立地，勇往直前，以出人头地，功成名就为人生目标，所谓天将降大任于斯人也，必先苦其心志，劳其筋骨，饿其体肤，父辈奉行挫折教育，对孩子严格要求，肆意打骂，甚至刻意制造困难，让本该成为心灵港湾的家庭也变成了刀山火海，我们承受的苦难可见一斑。现在的我极富同理心，能深入别人的内心世界，看待问题的角度也和昔日有了巨大不同。抑郁症的经历并非一无是处，它给我们痛苦的同时，也有些许恩赐，我们一定要牢牢抓住，尽最大努力去面对。最后，希望患病的战友们抱团取暖，相互扶助，旁人的眼光并不重要，路人的冷漠也并不致命，一定要勇于诉说，把内心的积郁倾泄出来，对病情务必给予最大的重视，别在乎面子里子，别再追求功名利禄，认清现实，以治愈为首要考量，否则等到自杀那一步，一切将不可挽回。当下的心理咨询鱼龙混杂，骗子遍地，大家寻找时须得谨慎，否则人财两空，雪上加霜。除此之外，健身、散步、冥想、服药，都是公认的有效手段，能做就做，如果实在出不了门，就先靠药物缓和，再逐步开启健身计划。我有个朋友耻于诉苦，惧于抱怨，认为倾倒负能量会给人制造麻烦，遭人唾弃，以致积郁成疾，难以自拔。是的，世事多艰，不少人的确事不关己，高高挂起，更有甚者，在你表达心声之后站着说话不腰疼，乃至批斗一番。但千万别忘了，世上有不止10%的人群理解你，包容你，同情你，在背后默默支持着你，这个不幸的群体，一定要团结起来，共同战胜病魔，重新成为曾经那位积极乐观，生龙活虎的自己。黯淡的阳光终会灿烂，灰暗的阴云终将消散，我们千疮百孔的内心总有一天会弥合，绽放出耀眼的光彩。,371,133
执行机器人,抑郁症的症状有哪些？只看两件事即可。其他所有的症状都是由此延伸出来的。第一个判断标准是“睡眠时间和睡眠质量”。第二个判断标准是“大脑思维是否混乱以及有没有专注的时候”。在抑郁的世界里，睡眠是第一要素。睡眠的作用等同于一栋大楼的地基。大脑的思维等同于这栋大楼的框架。不管抑郁症有多少种表现形式和现象，“自卑心理，自贬心理，自愧心理，自恐心理，自恨心理”等等！表现的形式和现象可以有八万种。但它的起源点只有两个:“睡眠障碍和大脑思维混乱”。“睡眠障碍和大脑思维混乱”等同于太极的阴阳两极。相互促进，循环上升。直到让你精神崩溃发展成抑郁症。这是一个先有鸡还是先有蛋的问题。睡眠不足，白天没精打采，然后大脑胡思乱想出现思维失控。然后形成睡眠障碍，然后睡眠不足，然后……然后…然后…最后形成一个恶性循环。（一）睡眠障碍与身体的关系！（这里特指肉体，也就是你那一百多斤肉）。严格来说身体有两部分组成:肉体和精神。先把“人的精神放在一边”，只说说睡眠与肉体的关系。把一个人脱光了，放在磅秤上称称。一看表。“吆西，一百多斤！”针对肉体而言，每一个人都一样。并没有特别之处。这一百多斤肉的循环体系是完全一致的。通过吃饭喝水喘气完成这个生命过程。抛弃人的精神世界的不同。万人同一体。“睡眠”是维持这个肉体运转的重要一环。睡眠的原理和本质，在这里就不仔细研究了。只知道睡眠对于这一百多斤肉体的运转是非常重要。把睡眠拿掉，人根本活不了。睡眠障碍到底和什么有关呢？我的答案是睡眠障碍和人的大脑有关。我甚至有一个不成熟还没被验证的观点。人的睡眠就是为大脑服务的。（二）睡眠障碍和大脑的关系！我曾经做过一个实验。我上夜班。白天只睡三个小时。一晚上不睡觉。困了的时候。用“专注的方式”让大脑进入空白状态。从晚上十二点到早上八点这八个小时。不断的用专注控制大脑进入空白状态。这种情况，我连续撑了十天。那个月确实太忙了。没空睡觉。我的结论是:减少大脑思维活跃就等同于降低能量消耗。大脑思维需要消耗能量。身体运行也需要消耗能量。这是一个此消彼长的过程。能量是整体上守恒的！这是老祖宗说的“劳心者治人，劳力者治于人”。如果有了睡眠障碍，会直接导致大脑能量供应不足。紧接着就是大脑思维失控进入混乱状态。可以得出一个结论:思维敏捷，专注力高。是睡眠质量好的表现。反之就是思维混乱，走神无精打采是睡眠不足的表现。（三）抑郁情绪者的两种混乱形式！针对大脑而言就是“价值观混乱”。针对身体而言就是“生物钟混乱”。大脑思维混乱，乱成一锅粥。身体睡眠混乱，黑白颠倒睡不着。失眠多梦睡眠浅。该睡觉的时候大脑胡乱想，该思考的时候昏昏沉沉反应迟钝。分不清白天黑夜。分不清清醒还是云里雾里。（四）抑郁情绪的表现形式！天堂五层：    目光所及皆出路，心中所想皆喜悦。内心喜悦，外表坦然，面带微笑。自始至终神情怡然自得。人间四层：内心快乐，待人接物如沐春风。容易感染人，正能量十足。人间三层：内心开心表现在脸上。一举一动颇有魅   力。人间二层：内心有做某件事的冲动。精力充沛，兴趣十足。人间一层：  内心自爱，珍惜自己一切现有的。开始有自己的爱好和兴趣点。零零层：  内心有自知之明，知道那些事能做到，那些事做不到。开始在欲望和现实之间找平衡。地狱一层：  内心烦躁的饮食不规律。要么暴饮暴食，要么索然无味。地狱二层：  内心不安，导致注意力不集中。莫名其妙的担心这担心那。地狱三层：   内心焦急，做事没有耐心。患得患失。经常走神。地狱四层：       内心焦虑，总是翻来覆去的想一些有可能发生的事情。给自己制造一种紧张感。地狱五层：       内心悲观失望，对人对事总是用消极   的角度看问题，对未来总是悲观。地狱六层：      内心自怜，觉得自己很可怜，很无助，很倒霉。持续情绪低落，长时间的提不起兴趣。地狱七层：        内心自卑自负，自卑的时候觉得自己这不行，那不行。处处不如别人。自负的时候，又觉得自己这厉害，那厉害。看不起这个，看不起那个。地狱八层：        内心自贬，看不起自己，认为自己等同于畜牲。觉得自己很窝囊废物。觉得自己不争气没出息。地狱九层：       内心恨某个人某件事，有多个“痛点”。经常陷入这些“痛点”之中。总觉得自己现在过得不好，都是它造成的。地狱十层：       内心自恨自责到，每当想起以前做的一件“错事”就陷入痛苦之中，连扇自己几个耳光子才好受些。会用一些手段折磨自己，以图达到某种心理的平衡。地狱十一层：内心愧疚到，情绪失控。每当想起以前的某一件事，就会触发自己情绪失控。陷入深深的“痛点”之中，不能自拔。直到自己精疲力尽为止。地狱十二层：内心焦虑到，失眠多梦，一个接一个做梦。醒来之后感觉很累。大脑不停的思维混乱。无时无刻都在胡思乱想。根本控制不住。地狱十三层：内心害怕到怕见到熟人，怕被人问东问西。有人的地方就有麻烦。喜欢独处。地狱十四层：内心害怕到怕见人，唯恐不及躲着走。怕被人看穿自己的内心。总感觉有人监视自己。即使看到树上有一只猫头鹰，也觉得它是来监视自己的！地狱十五层：内心害怕导致行为能力迟缓，懒得洗脸吃饭换衣服。有时候一躺就是一整天。啥也干不了。地狱十六层：内心恐惧到失去行为能力，情绪控制力经常崩溃。即使简单的走路几十米，都需要巨大能量消耗。即使喝水吃饭，都要经过剧烈的思考斗争。地狱十七层： 内心恐惧到失去行为能力但有自我意识。地狱十八层 ：内心恐怖到失去自理能力和自我意识。第一步，先确定自己的心理状态在抑郁世界里的位置！任何事物都是分层级的。抑郁世界也是分轻重缓急的。第二步，根据自己当前的心理状态，制定对应的解决方案。这叫从实际出发，实事求是的解决问题。你的目标与计划只能与现实相差一到两个级别。你现在的位置是地狱十八层，你的一次解决方案只能到十七层或者十六层。饭要一口一口的吃，问题要一步一步的解决。尊重客观现实和物质运动规律。第三步，正确的反馈才有正确的修正。根据即时反馈不断的修正自己的解决方案。你的病情是不断在变化的，你的解决方案要随时跟进。只要过一段时间，你的病情或重或轻，都有可能，但你肯定不会停留在原地。核心要点:在一段时间内，只有一个主要矛盾起着主导作用，其他都是次要矛盾。你的解决方案在一段时间内，也只能针对这一个主要矛盾。解决完了一个主要矛盾，再解决下一个主要矛盾。波浪发展，螺旋上升，一级一级的向上爬。举个例子:如果是“十二层“这个级别。所有的解决方案都是围绕睡眠质量而展开。要先压缩睡眠时间，来保证睡眠质量。在这个阶段，质量优先数量在其后。压缩睡眠，首先要做到。不困的难受坚决不睡觉，要积累那种困乏感。睁开眼醒了之后。立马起床。别懒在床上。掐掉两头留中间，以此提高睡眠质量。如果在这个级别这个阶段追求睡眠数量，直接会导致一个恶果，那就是你的睡眠生物钟会被打乱。黑白颠倒。接下来你就会坠入十三层，甚至更下一层。不同的级别用不同的方法去解决。,164,32
匿名用户,我的2016新年愿望是：希望能得无法治愈程度的胃癌,337,191
匿名用户,在健身房跑完步感觉很轻松。力量训练的配重又增加了。晚上点的沙拉很好吃。试着买了新品种的啤酒，味道不错。有教授找我干活，对我还算满意。学习也还顺利。秋高气爽，天气很好。但我还是他妈想死。,140,22
