番茄哥,"讲一个大家没讲过，也容易忽略的点：就是为什么天气一变冷，我们就会变得伤感忧郁？是得了忧郁症吗？确实有些人一入秋，就觉得自己浑身无力，甚至莫名其妙地情绪低落，不想工作，胡思乱想，容易疲惫，工作进入不了状态。。我女票之前就这样，害我那几天一直提心吊胆，莫非我又做错什么事了？还是她矫情了？这时我们就会犯愁，是不是自己得 了忧郁症？其实，并不是你的问题，而是季节的原因。这种表现叫做【季节性情绪失调】季节性情绪失调 (Seasonal Affective Disorder,简称SAD),国外常把它称为“冬季忧郁症”,通常发生于秋季末和冬季的一种感情或情绪的失调症状。大多数的SAD患者在一年中的大部分时间都有良好的健康状态,但在白天越来越短,黑夜越来越长的季节会有忧郁的表现。通俗地说就是：所谓的“丧”与季节有很大的关系。季节性失调会使人在冬季几个月中产生循环性的忧郁，在11月—3月尤为明显。据估计，有20%的美国成年人深受季节性失调和亚季节性失调的困扰，有80%的SAD患者都是年龄在18至45岁之间的女性。在热带，SAD即便存在也很少见，但在北纬30度以北或者南纬30度以南，SAD普遍存在。现在的科学认为，季节性的情绪波动同阳光有很大关系。 究竟是什么原因导致的SAD？目前研究人员主要集中在褪黑素过高以及5-羟色胺的缺乏上。◆大脑对褪黑激素抑制不足褪黑激素是由松果腺分泌的，它会使人感到疲倦、嗜睡，通常在夜晚数小时黑暗后开始产生，天亮后褪黑素的分泌则会被抑制，分泌减少。而入秋后，白天时间变短，正常的日夜节奏被打乱，褪黑激素分泌相对增多，使人变得没有精神、容易疲倦，从而产生季节性情绪失调。◆5-羟色胺的缺乏 除了褪黑素，目前得到最多关注的假设是：光线不足将导致大脑血液中5-羟色胺的水平下降。该领域的一个著名研究者Norman Rosenthal，在《冬季抑郁》( Winter Blues)一书中写到：「他们（抑郁症患者）产生的5-羟色胺水平太低了。」Rosenthal及其他的研究者相信低水平的5-羟色胺是导致季节性失调症状的主要原因。怎么判断自己是否得了“SAD”？正在经历秋冬变迁的你是否出现以下症状呢？如果自己有上述的两到三种症状，那么你很可能就是季节性失调患者或者是这种失调的一种亚类型失调的患者。值得一提的是，季节性失调患者和抑郁症并不一样，有个明显的区别是，抑郁症患者经常失眠且没有食欲，与此不同的是，80%季节性情绪失调症患者睡得着而且吃得比较多。 如何缓解“季节性情绪失调”状况？即使我们对日照时间无可奈何，但不代表对SAD束手无策。原则上如果冬天能每天在户外活动一段时间，季节性失调症状就有可能减轻，如果不行你还能尝试以下方法。◆晒太阳凡是患有“季节性情绪失调症”的患者，体内的生物钟通常比正常人的生物钟要慢上几个小时。因此，必须早点起床，到户外去晒太阳，以加快体内生物钟的运转。◆通过某些光线的颜色或波长来影响人体的褪黑激素青蓝光对褪黑激素的灭活力最大，而红光或紫光则会轻微增加褪黑激素的产生。◆光线疗法光疗理论是利用多种室内发光设置以增加个体暴露在光线中的时间的办法。实验中，如果有规律的使用它，能够在一周之内帮助75%—80%的季节性失调患者，但在使用前还是应该咨询相关专家。除此之外就是做好「养生三连」：多做户外运动，多与人交往，保持规律饮食作息。我是怎么让女票摆脱“季节性情绪失调呢”？1、带她购物，抓娃娃，买刮刮乐，早起晒太阳，一些简单又快乐的事情；2、抱着她，哄着她，逗着她，做好吃的；3、一起看《蜡笔小新》；4、给她看我年少时的QQ空间状态，那些我恨不得打死自己的各种说说、文章、非主流自拍（就这个她笑得最开心）说了这么多，番茄哥认为拯救“季节性情绪失调”的最好方法就是早睡早起、用运动去拥抱阳光，不仅能燃烧卡路里还能调节心情。最后想想，“冬天来了，春天还会远吗？”还觉得抑郁？来找番茄哥，番茄哥做你的小太阳~微信搜索【番茄大爆炸】，即可获得一枚逗比又温暖的科普小王子哦~只科普不一样的女性健康小知识！——/ END /——参考文献[1] Peedicayil J. The relevance of epigenetics to seasonal affective disorder. Journal of Affective Disorders 2018;239:201.[2] 杨春宇,张志远,梁树英,马俊涛,冯凯,段然.光照与季节性抑郁情绪研究[J].灯与照明,2013,37(03):1-4.[3] 成义仁,王克勤,杜召云.医学生中季节性情绪行为变化的流行病学调查[J].山东精神医学,1998(04):29-30+24.[4] 高参.谨防“季节性情绪失调症”[J].今日科技,1998(01):29.",82,6
给我拥抱,没有朋友.没有工作.24小时窝在床上外卖勉强度日.出门的次数双手能数清！没任何事能让我感到开心包括钱.懒得交新的朋友要从头认识了解最后还不是落的分道扬镳.最痛苦的事对我来说应该是睡觉吧  只有熬到天朦朦亮才能睡着.睡眠又特别轻.别人看我一眼都能醒来的那种.更痛苦的事对我来说又是醒着.我害怕一个人.却又恶心跟任何人来往.即使只是喝个下午茶的时间也会让我累到身心疲惫.只要醒着就头疼.那种让你烦躁到想砸墙疼.离不开手机 就算头疼到看不下去手机 文章电视全部看完也不愿意放下手机 一遍又一遍. 脾气越来越暴躁.摔东西砸手机更是频繁.一件小事 能让我稍微好点的心情瞬间暴走.我懒得维护任何关系 有矛盾只会选择断绝联系. 越来越自卑.21岁症状维持2年多活着真累,273,210
抹茶粽子,1.是否持续性的；2.是否对任何事都不感兴趣、悲观；3.以前感兴趣的事情，现在是否都觉得厌烦抵触；4.是否有一系列并发症：如失眠、焦虑、感觉肠胃不舒服、经常觉得头疼各种难受等，影响到了日常生活；5.抑郁的情绪自己能否调节；6.有无自杀倾向…       以上都是一些参考吧，当然不准确、不全面。其实个人认为两者之间并没有清晰可辨的界限，而是一个发展的先后关系。抑郁症必然包含抑郁情绪，由抑郁情绪发展而来。       初高中的时候曾经进行过抑郁症的药物治疗（生病是初二到高三吧，当成抑郁症治疗已经是初三了，大学期间没有明显的抑郁发作情况）。只记得在药物治疗一段时间后的一次诊断结果是中度抑郁（医生问了些问题，然后进行了心理测评）。       当时最严重的状态是不想上学，感觉在学校每时每刻都在煎熬（真的是煎熬，那种感觉生不如死）；肠胃除了睡着状态下永远不舒服，便秘；夏天基本上天天中暑；晚上失眠担心影响他人（莫名其妙会担心自己影响他人，这是一种病，得治），大半夜会去厕所一待好久；午睡午休也没法休息，到没人的地方各种晃；在家的时候有过自杀念头，幻想自己各种被车撞死、跳楼摔死、被坏人杀死，写了张遗书（死后石榴树葬blabla），试过用跳绳勒脖子，当然技术上有难度，当时没有成功；差点吃了一瓶安眠药；每天都不肯上学和家里闹，印象较深的时候，有几次被老妈拿针扎、用扫把打；每次回家都要大哭一场…       现在想来像是在说别人的故事，事实上我并没有夸张，甚至比我描述的要难熬痛苦的多。感觉抑郁像是一个黑洞，越专注，越挣扎，越痛苦。大学后普通的抑郁情绪当然也会有，直到现在遇到一些事情我也是偏消极悲观的，只不过感觉现在平和了很多，大多数事情都不是那么看重了。       喜欢一句话，真正的成长不是变得越来越冷漠，而是越来越温柔。                                                         2014年9月8日----------------------------------------------两年前的回答偶尔会冒出评论，更一下现状与君共勉～记得高中看医生的时候，医生和我说过的一番话，大意是抑郁症并不是十恶不赦，很多生病的人都能够很专注的做某件事，反而在一些领域能够取得成绩。医生的话当然也是安慰，专注其实就是偏执、想太多、走不出来。家人也经常开导我，偶尔也会乐观的说抑郁症没什么大不了，很多名人也有抑郁症。高中边看病吃药边学习。我不清楚药物的作用机制是什么，但这个药确实让我有时候莫名其妙的兴奋，经常上课的时候在一些奇怪的点上笑出声来。高三，大家学习压力都很大，我却有迷之自信，虽然成绩从600名到100名跌宕起伏。高考当然没考好，那一年的浙江卷有点变态，理科重点线比前几年后几年都低50分，我压过重点线，和重点大学失之交臂，读了法律。大学入学后也有过迷茫、挣扎，但痛定思痛，我决定一心向学。我们学校虽然不是一本，但学风确实挺好。尤其是身边的同学、室友，都是很好的人。室友对我照顾很多，现在我们也是知心的好友。大学期间拿了国奖、过了司考。现在我能过得相对轻松独立，还要感谢那几年的自己。毕业后回家乡找了家律所，一直工作到现在也已经两年多了，现在已经执业，是半独立状态，平时比较清闲，接接案子开个庭。工资大半还车贷，小部分油费。业内的可能都知道，十家律所九家坑，我可能还算幸运吧，其实我大部分时间是得过且过，看的比较淡的，吃点亏也无所谓。目前的状态是打算考检察院或者法院，我觉得现在的我对有些事真的看的开，我考了连续三年，遇到了二次笔试的大神，一次面试的大神，所以面试被刷了三次，体检陪检了三次，但这些并没有打击到我。我能慢慢好起来，最离不开家人的付出。他们对我有十二分的耐心和包容，有时候我都会厌烦自己，但他们却能无怨无悔，给了我很多的关心和爱，给了我能力范围内最好的一切。有时候我会想，这辈子我都遇不到像爸爸那样对我这么好的人。现在弟弟住校，我住回家，父母工作之余种种蔬菜、烤烤蛋糕和面包。和同事相处的挺好。好友基本在外地，扯淡聊天，也经常聚一聚。周末组队爬山、露营、徒步，节假日出去旅游，天冷了看看电影。以上都是还好的方方面面吧。但其实对于很多事我都是偏悲观的，也可以说是懒。不愿意折腾，错过了更好的工作机会；对处理亲密关系不自信，至今单身。有时候我想，这样也不错。我想要的真的不多，一份稳定的工作，再攒个小房间的首付，我觉得我可以和自己过这辈子。----------------------------------------------关于抑郁症治疗，我觉得我绝对不是自己走出来的。当时我一直以为自己肠胃有毛病（确实有胃病、结肠冗长），陪着看了很多医院还是觉得各种不舒服，情绪暴躁、厌学厌世。无奈之下去看了心理医生。如果当时没进行药物干预，我可能真的熬不了高中三年。所以，有知友问治疗的事，我都是建议去专业医院接受专业治疗。前段时间因为一些热点事件，抑郁症又一次进入公众讨论的话题。抑郁症患者很大一部分是不会和自己相处，有时候没法和别人共处。其实人生而孤独，每个人都是一座孤岛。我这里可能海浪滔天、波涛汹涌，但你那里风平浪静、海阔天空。所以，不要想谁会理解自己的痛苦，就算他看到、同情，也没有办法感同身受，很多时候无心之失，并不针对谁。所以学会自处、恕己恕人，毕竟有阴影的地方就有阳光，还是把生命浪费在更美好的事物上吧～------------------------------------------------------------偶尔会冒泡的答案，自己又看了一遍，像是在说别人的故事。还是进了法院，工作压力会有，其他压力小了很多。日子过得还不错。答主恋爱了。这么多年，我一直活在自己的世界，以为自己会一直一个人。自得其乐，不觉孤单。遇到他以后，我看到了其他可能。就算这次不成，我也不会再画地为牢，我会尝试着去爱，去感知生活。在恋爱中，我看到了另一个自己。其实初中以前，我是很活泼很招人喜欢的性格。后来，越来越内敛，随和，对无意义的社交不感兴趣，更喜欢独处，外人看来就是内向。和他在一起以后，我更爱笑了，很多事物都有了色彩。现在想想，是因为初中学习压力大，作息不规律，身体吃不消，长期不适，进而引发心理问题。初中是重点中学，每天补课到九点，回家很多时候做作业，最后几道难题解完就一点了。偏偏我是一个较真的人。人的一生总会遇到低谷，那段时间，好似一个人行走在漫漫长夜中，耳边是呼啸而过的抓不住的风。但要知道，再难的日子终会过去。现在的我是一个简单、随和、有趣的人。性格上外柔内刚，处事原则是做好自己，不争。生活上、工作上，不再给自己压力，对不开心的事，阅过即忘。其实我是一个幸运的人，遇到的大多数人都对我很好，没有直面过真正的丑恶，没有吃过生活的苦。有很好很好的父母亲人，有很好很好的朋友，现在，也有了很好很好的恋人。再回头看，那段经历确实让我失去了很多，但也收获了很多。我喜欢现在的自己。希望看到这个答案的所有人，不要担心抑郁症会不会好，只要自己越来越好，一切都会变好。也不要所有压力都自己扛，接受专业治疗，该看病看病，该吃药吃药，不要担心后遗症和药物依赖。抑郁症患者的家属，坚持不下去的时候，再多一点耐心，不要把抑郁症看成很另类的疾病，也不要漠然视之。人生总会有意外，不要害怕。最后祝好～,134,38
Tina Sun,抑郁情绪：世界抛弃了我，我想自杀抑郁症：我抛弃了世界，我应该如何让自己不去自杀,131,38
[已重置],节选自wikiHow: 如何辨别你是否有抑郁症 （3种方法）抑郁症是常见的心理失调，会大大影响我们的日常功能。精神上和身体上的症状，很快就会变得势不可挡。幸好，只要对抑郁症有一点点认识，就很容易应对。方法 1: 识别症状1诊断心理症状。抑郁症从身体和心理上显露，因此，首先是识别你心理和感情上的变化。这可能包括以下任何方面：经常感到伤心对日常活动失去兴趣或缺乏喜悦自我轻视的想法缺乏注意力犹豫不决对别人愤怒或不悦反复咀嚼消极的想法过度担忧或焦虑2有自杀想法。虽然自杀的想法不是抑郁症的确定诊断，但这种想法是生病的症状。这可能或逐步升级为伪自杀。3诊断身体症状。抑郁症会导致你身体和行为上的一些变化。医生常常通过以下方面来辨识疾病导致的结果：嗜睡或疲劳睡眠的改变食欲和体重的改变普遍性缓慢，可加剧变成紧张性抑郁障碍。缺乏眼神接触普遍远离社交活动哭泣和表情上可辨认的忧伤4列出忧虑的清单。写下清单，给你的医生看，不仅帮助你组织自己的思维，而且协助医生做出正确诊断。列出你认为自己正在经受的所有症状，即使看起来似乎不太相关。写下你正在服用的所有药物，因为它们可能是这些症状的源头。如果可能，列出每种药物的副作用。附上你的家族精神疾病的简要概述。抑郁症跟基因也有关系，因此如果你的亲戚患有这种疾病，那么你也更加可能会有。提供实际的事件或经历，证明你为什么觉得可能是抑郁症所引起，一些创伤或产生焦虑的事件可以引发失调。方法 2: 抑郁症和忧郁之间的区别继续原文：3种方法来辨别你是否有抑郁症,108,22
简单心理,我们很开心地看到，随着各种科普的进行，「抑郁症」得到越来越多人的关注。但同时也发现，很多人都将抑郁症与抑郁情绪混淆。今天想和大家仔细地做个区分～我们先来看看抑郁症通常的表现：  情绪持续化低落。觉得空虚，没有价值感。人们对抑郁症有一点小小的误会，总是以为抑郁症的患者每天都是“难过”、“伤心”的。实则不然。有一些抑郁症患者，更准确的描述是：觉得空虚、毫无价值感。而“抑郁”的反义词也并非“高兴”，而是“有生命力”。这个“持续”，其意义更多的是，每天都是这个样子。对周围一切事物都失去兴趣。重点是，对一切事物都失去兴趣。我们一般会问来访者，说，你平时喜欢做什么？周末喜欢干嘛？典型的抑郁症来访者会说，我以前还去打球，现在提不起兴趣了……好像对什么都不感兴趣了。而我有些朋友，跟我叽喳许久，声泪俱下，说自己对什么都没什么兴趣了。收拾包时候，忽然两眼放光，说，我带你去吃雍和宫附近的泰国菜，超好吃！食欲激增/丧失，体重明显变化人的情绪总是跟食欲有关。更严格的诊断是，体重在一个月内有超过5%的变化。刻意减肥、增肥并不计入。更意外的是，有些抑郁症的来访者，在相当长一段时间里面，并不能感受到自己体重真的有变化。睡眠出现问题，失眠/嗜睡很多人最初来到咨询室，不会说“我抑郁了”，而常常会说“我最近晚上失眠”。有一个研究说，失眠有三个阶段。第一个是你很难入睡，而后会发展为夜里反复醒来，第三个阶段是早醒无法入睡，即你可以入眠，但凌晨3、4点钟醒来，但只能清醒至天明。行为发生改变（烦躁/行动缓慢）抑郁症的患者，往往行为会发生旁人可以观察到的行为变化：行动和思维变得迟缓。在这里强调的是，他人可见的“改变”。比如以前挺干净整齐的一个人，忽然变得邋里邋遢，蓬头垢面。以前挺机灵的一个人，最近思维特别混乱。疲劳，没精神抑郁症，粗鲁地说，它是种身体疾病。就像你得了肺炎会发烧一样。得了抑郁症，你身体里面的化学物质会发生改变，让你觉得疲劳，没力气。有些抑郁症的患者一天睡22个小时，仍然觉得很疲惫。也因此，跟抑郁症的来访者说，加油！去锻炼！去交朋友！要坚强！你可以的！这就像跟骨折的病人说，加油！去跑步！咬咬牙！你可以的！一模一样。自我评价低，消极思维这似乎也是不能控制的。没有人愿意消极思维，而且抑郁症的来访者，会努力地、想要更积极一些，甚至会因为自己的“消极”而不断自责。但这是抑郁症的症状，更宽泛一些说，这亦是身体里化学作用的结果。其实是超出抑郁症来访者自己控制的能力的。思维迟缓，注意力不集中。就像你加班加了三天三夜。你头晕、想东西特慢、注意力怎么也没办法集中，感觉一样。我听到更有趣的描述是，就像健康时候，你想事情能想一个圈，甚至两个圈，抑郁的时候，想一半，圈圈就卡住了，回头连刚才在想什么，都记不住。有死亡的念头。死亡的念头会反复出现。当你以上的症状都出现的时候，失去“生命力”，人很难再对生命有留恋和兴趣啊。持续两周以上。这是个更关键的标准。有时候女生生理期的时候，以上大部分症状都经历一遍。或者生活中遇到些事情，使得你有那么两三天滴水不进哭泣不止。但是，倘若你出现以上很多症状，每天如此，持续超过两周。请一定寻求专业的帮助。美国精神分析学会有一个提醒，如果你出现01 情绪每天都低落、空虚、没有价值感;02 你对周围一切事物都丧失了兴趣”，持续两周以上；世界卫生组织的提醒是，如果再加上03 疲劳、思维迟缓；这三项中出现任意两项，而持续两周以上，你就处在罹患抑郁症的高风险之中。请一定去专业医院寻求诊断和帮助。人们往往容易混淆抑郁，悲伤和忧伤这三种情感。悲伤是一种明确的反应。如果你失去了什么，你会感到很不开心，于是半年过去了，你依旧为此非常难过，但是你处理得好一些，它依然只是悲伤的情感，最终在某种程度上能够自愈。如果你遭遇了惨痛的损失，你感到很糟糕，半年后，你仍旧被包围在这种情绪中无能为力，那么很可能灾难性的境遇引发了抑郁。关于抑郁症，我们无法用一个直观单一的方式给予诊断，比如做一个血样测试（尽管有了新的研究但是仍需进一步的研究确认），或者把人放在一个什么机器里面，扫描便知其病情。时至今日，我们对于抑郁症的诊断仍然只能依赖于精神科医生对于患者症状的问诊。我在上面罗列了这样多的症状，也请千万不要认为，人只有严重到对生活完全丧失兴趣，才值得去寻求帮助。更常见、但确实不幸的事情是，抑郁症的患者往往很聪明亦很努力，他们常常在有初期症状的时候，咬牙坚持，认为自己大概只是矫情事儿妈，挺一挺就过去了。他们甚至更苛刻地要求自己像个健康人那样生活、工作。而更善待自己、善待生活的方式是：倘若当你感觉不适，请及早寻求专业的诊断和帮助。就像口渴了要喝水，骨折了要养伤，抑郁症作为一个生理、精神可见的疾病，它值得你认真地给它一剂药方。推荐抑郁自评量表给你~ 测测你的抑郁水平有多高？ - 简单心理 我们是简单心理咨询预约平台，拥有700+位海内外心理咨询师，只有约10%的申请咨询师能够通过面试考核；目前为止简单心理已为30万+人次提供了高质量心理咨询服务。  想寻找属于自己的心理咨询师，欢迎来简单心理咨询预约平台体验哦，戳这里「http://jdxinli.cn/2ukmmb」,574,77
匿名用户,"不久前拿到了纽约的Mental Health First Aid（精神健康急救）急救员的执照。参加培训的时候，抑郁症和焦虑症是重点章节，因为有一半以上的美国人都会有抑郁和焦虑的问题，而抑郁症好发于青年和中年人（32岁是一个高点）。培训中对抑郁症的定义我觉得很符合实际情况：如果抑郁情绪已经出现了2周以上，并且抑郁干扰到了4个L（即 live, love, laugh, learn)，也就是说抑郁干扰了生活、让人无法正常笑出来、让人的学习和感知能力下降，并影响到了去热爱周边的人和事，（这几点中占一点就算），这已经可以被界定为抑郁症。需要注意的是，抑郁症有轻重缓急，就像感冒一样，轻度抑郁完全可以自愈。但如果一直不好，需要去咨询医生和心理咨询师，避免因为拖延而加重病情。抑郁有可能因为某件事情而爆发，因为无法控制负面情绪而选择极端方式（自残，轻生）也并不罕见。以我自己的经验，向心理医生咨询是一个能有效控制抑郁症的手段。每次去和心理咨询师交流一个小时后，自己整个精神也会好很多。通过咨询师不断的提问和引导，想清楚自己抑郁成疾的原因，抑郁症才能被真正的治愈。没错，抑郁症可以被治愈，也许会有反复，但确实可以痊愈。我想提醒大家注意：对于一切网上的所谓“自测表”都要谨慎！不要对号入座！不要对号入座！不要对号入座！不能由这些自测表得出“我已经患抑郁症/焦虑症”的结论！！！抑郁/焦虑症的确诊应该由专业心理医生做，这些自测表中的表现只是一个现象的总结。",71,38
丁尧草,看了一篇德国网站的文章，说抑郁症和普通抑郁一个最大的特点之一是抑郁症的人是把自己与周围世界隔绝起来的，他不仅不能感受快乐，甚至连悲伤都无法感受，整个人深陷在黑暗里，是麻木的。我觉得这是一个很好的区别抑郁症和普通抑郁的特点。,147,57
莫也,只说一点，很重要的一点，普通抑郁情绪和抑郁症的自我调整“心法”有极大不同，很多时候可能截然相反。我自己的个人感悟：普通抑郁情绪的自我调整更接近儒家方式，抑郁症的自我调整更接近道家方式。普通抑郁情绪的调整“心法”，往往是这样的：我要积极面对人生，修身养性，陶冶情操，强身健体；要跳出个人的休戚悲欢，放眼世界，心怀天下，“风物长宜放眼量”，“先天下之忧而忧”，厚德载物，“天行健君子当自强不息”，叽里呱啦叽里呱啦。抑郁症的调整“心法”，很多应该这样：我要接受自己的不完美，就像水一样，水无常形，顺势而为，不与万物相争，万物也就伤害不了我。“知其荣守其辱，知其白守其黑”，我知道别人的优秀，但安守自己的落后，哔哩吧啦哔哩吧啦。心理治疗手段之一的森田疗法，其主要原则就是：顺其自然，为所当为——是不是很道家？所以，千万不要犯经验主义，用自己战胜普通抑郁情绪的经验劝导抑郁症病人，也许你让他“积极进取，振作起来”的时候，他可能最需要的是“消极无为，顺其自然”。,33,14
长腿君,自己想出来的让普通人理解的比喻  如果有不对的地方欢迎指正我们拿肚子（心理）来说有一天吃坏了东西（失恋了或者别的什么事）  肚子疼了（心理抑郁）  拉肚子一顿（自己开导开导）慢慢就好了（心情恢复）这是普通的抑郁情绪有一天醒来  发现肚子疼  可是既没有吃坏也没有着凉（某一天  发现自己不开心了  好像没有特定的事件发生  就是难过）拉了肚子  喝了热水  也揉了（自己百般开导  安慰）肚子还是疼（还是不开心）天天肚子疼（心情抑郁）  还影响到了胃口  睡眠这是抑郁症所以  遇到这样的病人  千万别跟他说“多喝热水  揉揉肚子”（找点事做  想开点）天天困扰你的肚子疼（抑郁）当然要看医生才能解决啦ʕ•̀ω•́ʔ✧这个成因呢  也很复杂  可能因为你总是吃坏肚子  又恢复不好  所以导致的慢性炎症（因为某件事积郁成疾）也可能是肿瘤（突发的心理疾病）情况很复杂  总之  信任医生吧！我们要做的呢  就是成为他们坚强的后盾  这样他们就不会想着“反正没人关心我让我肚子疼死算了(｡•ˇ‸ˇ•｡)”而是“快点治好肚子又可以幸福得吃吃吃了=͟͟͞͞  ( ๑╹ ꇴ╹) ”很困难  很不容易  但是还是要努力活着啊↖(^ω^)↗,93,12
