摩的司机,平时特别好强的人，突然变得柔和……平时很少主动和你联系，突然很急切地想见你，下一秒又交代你不用急着来，或者不用来也可以……,662,47
花火,"「把要自杀、抑郁之类的话说出来的人一般都不会出事」，这个说法不具客观性。有些人是会用自杀和抑郁作为博取关注，捉弄他人取乐的理由，让人白操心和忙活一场。但是这并不意味着有自杀企图和实施自杀行为的人，不会做出向外求助的行为。他们会向外界求助，甚至会采取强烈的方式来表达。在知乎的「抑郁症」和「自杀」话题下，就可以看到为数不少的知友在求助，或提到自己有自杀冲动、实施自杀行为前，曾向身边的亲友寻求帮助。据国外的研究显示，各国90%以上的自杀是由于罹患精神障碍造成。罹患精神障碍的人群中，患有抑郁症的人自杀率排第一位。患有双相情感障碍（呈现中到重度抑郁相的患者有自杀风险。非精神医疗和心理专业领域，双相情感障碍常被混同和归于抑郁症来谈）、创伤后应激障碍等精神障碍，也存在一定的自杀风险。一个人无论何时具备以下4-5项危险因素，可以认为这个人处于自杀的高危时期：有自杀家族史有自杀未遂史已经形成一个特别的自杀计划最近经历了心爱的人去世，离婚或分居最近由于经济损失或受虐待使得家庭不稳定陷入特别的创伤而难以自拔有精神疾病有药物或酒精滥用史最近有躯体或心理创伤有失败的医疗史独居，而且与他人失去联系有抑郁症，目前处于抑郁症的恢复期或抑郁发作正在住院治疗在分配个人财产或安排后事有特别的情绪和行为改变，如冷漠、退缩、隔离、易怒、恐慌、焦虑，或者社交、睡眠、饮食、学习、工作习惯发生改变有严重的绝望或无助感陷于曾经历过的躯体、心理或性虐待的情结中不能自拔有愤怒、攻击性、孤独、内疚、敌意、 悲伤或失望等情感表达从上述情况可以看出，很多人是处于人生的危机当中，自杀是一时之念。大多数犹豫不决或内心冲突的自杀求助者，不仅提供一些自杀线索，而且以某种方式请求帮助。这些线索可能是言语的，行为的，处于某种状态或综合征的线索。言语线索指口头或书面表明的，可能直接说“我不想活了”或非直接的说，“自己对任何人都没有用了”，“死了更好”，也可以是写遗书。行为线索可能是与人告别、安排后事，甚至割腕，以此作为一种自杀“实践”或自杀方式。这样的行为线索比真正相似更能说明在“寻求帮助”。状况线索包括配偶死亡、离婚、难以忍受的躯体疼痛或不能治愈的晚期疾病，突然破产，陷入心爱的人死亡忌日或陷入其他生活状况的急剧改变。综合症线索包括各种想自杀的症状，如严重的抑郁症、孤独、绝望、依赖及对生活的不满。几乎所有想自杀的求助者都提供了几种线索或呼救信号。有些线索和寻求帮助的信号易于识别，也有些是难以识别的。可以说，没有人100%的想自杀。常见的自杀求助讯号，有大致以下几种：说「不想活了」或「死了更好」。表示无助、绝望和自身没有价值表示陷入痛苦之中无法自拔，有中止痛苦的意愿嘱咐和安排身后事有道别的表示间接的危险讯息：浏览和询问自杀的办法购买自杀的物品（eg.大剂量的安眠药、含剧毒的药剂、绳索和刀具）把珍藏的心爱或昂贵的物品送人谈论很多死亡和自杀的话题，对于他人的自杀身亡表示羡慕或愿意效仿易怒、焦躁不安或情绪化有冲动的举动或破坏性的行为（eg.危险驾驶）持续的自残行为（eg.身上不断出现伤痕，有撞头、拿香烟烫自己、绝食等行为）长时间一个人发呆和哭泣安眠和止疼药物的滥用抑郁症、处于抑郁相的双相情感障碍和创伤后应激障碍等精神障碍患者，他们的抑郁情绪达到中到重度，以及在治疗恢复期都可能做出自杀行为。精神障碍患者的自杀倾向具有持续和反复性，需要额外的留意。「自杀求助讯号」中符合一项就有实施自杀可能性，「间接的危险讯息」中符合两项或两项以上，也会具有同样的危险性，需加强监督与防范。----自杀的干预和预防：发觉后，可以简单询问企图自杀者为什么想自杀。不是当即采取自杀行为（eg.准备跳楼）可以问下如果想自杀打算怎么做。如对方已有具体的自杀计划，这是可能实施自杀的高危讯号，需额外的留意。交流上以倾听为主，表示关心和支持。不要去评判和指责，更不能用辱骂和争吵等方式来刺激对方。不承诺替对方就自杀的情况保密。「企图自杀者是陌生人」见到有陌生人提有自杀冲动或行为的时候，线上遇到尽量劝说对方拨打危机干预热线。对方表示已有或立即准备施行自杀行动，立即通知社区管理，联系网警。线下见到可拨打110，如对方受了伤同时拨打120。110和120未到之前，不知该怎么拖住自杀者不自杀，可咨询心理危机干预热线。热线的工作人员能为企图自杀者及其亲友、目睹自杀的人做短暂的危机干预，也能教导来电者如何处理自杀者的紧急状况。「企图自杀者是普通朋友、同事或远亲」劝其立即拨打心理危机干预热线，设法通知其亲友或同事、室友等有密切联系和频繁接触的人，说明事情的严重性并建议他们通知其家属，陪同企图自杀者致电给心理危机干预热线、找所在学校或机构的心理咨询中心、当地的精神专科医院做评估排除继发的自杀风险。要是企图自杀者曾经或疑似罹患精神障碍（eg. 有强烈并持续的自杀冲动），立即通知其家属陪同去医院治疗。「企图自杀者是家属或好友」企图自杀者是一时冲动有自杀意愿或做出自杀行为，致电给心理危机干预热线、找所在学校或机构的心理咨询中心、当地的精神专科医院做评估排除继发的自杀风险。要是对方已处于治疗阶段，跟医生交流调整治疗方案。对方已采取过自杀行为或准备采取自杀行为，当即联系当地的精神专科医院陪同患者去做住院治疗。不是法定监护人无权给患者办入院手续，签署知情同意书。患者的好友或非婚恋人须通知其家属获得对方的许可才能办理。如有不明之处，优先询问医院的医护人员，其次才是心理危机干预热线。在家中护理，需做好以下几项：监护。无论白天或晚上都要寸步不离的看着。藏匿家中的危险物品（eg. 剪刀、刀等尖锐锋利的物品，农药、毒鼠强等含毒性的药剂和绳索、腰带、塑料袋等可以造成机械性窒息的物品）平时门窗锁紧和看好，防止患者夺门或窗而出或有跳楼的举动。窗子可以考虑装防护栏。在服药治疗期间，不让患者接触到大剂量的治疗药物。安眠药等可以引起危急状况的药物也需保管好。避免指责、争执和其他冲撞行为，凡事切记好言相劝。（在采取以上行动时，要显得自然和隐蔽、不要引起患者反感）----心理危机干预热线北京心理危机干预热线（24小时开通）：800 - 810 - 1117（座机）、010 - 82951332（手机、IP和分机用户）。开设在北京回龙观医院的北京心理危机研究与干预中心，国内目前获世界卫生组织心理危机预防研究中心认证的机构。杭州心理危机干预热线（24小时开通）：0571 - 85029595广州心理危机干预热线（24小时开通）： 020 - 81899120深圳心理危机干预热线：0755 - 25629459 （AM8:00 - PM10:00）武汉心理危机干预热线：027 - 85844666 （周一至周五 AM8:00-12:00 PM2:00-17:00）四川心理危机干预热线：028 - 87577510、87528604 （AM8:00 - PM10:00）提示：国内由精神卫生机构开办的心理危机干预热线，2013年有18条。民办的心理热线若干，管理和干预水准不明。心理危机干预热线开设至今存在一些问题：拨打不通。线路繁忙，热门的热线会出现长时间占线的情况。部分承诺24开通的热线无法接通（eg, 承诺24小时开通，实际上没这么操作；服务或使用的号码取消）。接线人员的水准不一。热线收入低，工作枯燥和压力大等原因引起的人员流动性大，外聘人员的管理问题等。个别热线的工作人员缺乏感情交流，处理危机的反应和能力不佳，遇到这种情况最好换个接线的工作人员或换个热线拨打，直到得到有用的帮助。违规操作。偶有热线外聘的工作人员，利用工作之便借机向来电者推销高价的心理咨询和培训课程，或有意图与来电者发展私人感情关系，请勿轻信。其他相关的讯息请浏览「医疗及公益方面的资源」中的「自杀」和「抑郁症」分类。如回答或提供的资讯有不足之处，请相关领域的专业人士指明，我会加以修正。----正文的部分内容引用自 《危机干预策略》作者：(美) B.E.Gilliland, R.K.James",2319,193
申清军,或者开始一点一点地抹掉自己存在过的痕迹========================05.09更新========================突然看着评论有些心疼就给一个大大的抱抱吧不管生活如何不堪，还是有些美好值得去体验的不管怎么样，别轻易放弃自己,456,95
vicky cancer,很多人用很奇怪的眼光来看待抑郁症，会觉得抑郁不过就是情绪病，何必夸张化。说说真实感受，抑郁的人，其实跟常人没太大不同，就是焦虑多了点，消极情绪多了点，其他都很正常。但这只是基于抑郁患者情绪稳定时。有几个自身感觉比较明显的情况吧，这里就说说：1.失眠，浅眠，不间断惊醒，神经绷得很紧，身边一丁点动静都会睁开眼睛。2.持续的心情低落，难受，对周遭事情无法产生兴趣，内心有强烈的恐惧以及空洞，在朋友面前很想体现出很坚强的样子，但实质软弱，无助，爱哭。精神会处于时好时坏的状态，好的时候你会觉得自己很阳光，很爱笑，很厉害很自信，坏的时候你会觉得自己就是个包袱，就是个负累，就是个废物。3.不会有强烈的欲望，基本不会觉得饿，不会很主动想要吃饭。4.会断断续续出现急性头痛的症状5.会出现自残的倾向，会进行割脉等行为「把要自杀、抑郁之类的话说出来的人一般都不会出事」这个说法，本来就是对于抑郁的不了解，抑郁患者自身负面情绪过于大，很消极很容易就会联想到要自杀。当把这些话说出来的时候，无论是不是带有玩笑成分，都应该要重视，因为这已经证明这念头已经存在于脑海中，当身边好友发现这些话越来越频繁出现时，就应该警惕，因为这代表这念头越来越多被考虑。●多注意抑郁患者的情绪，当其处于封闭的阶段的时候，变得沉默不语，这就代表情绪很不对劲。●少说教，少教训，越说越厌恶越厌世。●身边的人是做不到带动抑郁患者情绪的，但能注意其情绪动向，很多抑郁患者情绪说来就来，上一秒笑下一秒哭是常事。抑郁症是个病，不是感冒发烧吃个药就会好的病，复发率高，很多人以为情绪不是病，其实这点很应该重视,306,42
哈尼水果cup,要你放下手里事一定要陪她。特别那种你以为兴趣非常广泛，脾气很强硬或者才华很高的。 有人在不合适的时间坚持要打扰你。另外，眼神很空，下眼白多，眨眼很慢。跟你分析出人生无意义。,129,7
刘逆武,最明显的信号是对什么东西都不感兴趣或装作感兴趣。绝望的人是对什么都没愉悦感的，也发现不了美的。,119,15
匿名用户,我也好怕有一天我会去自杀的，但是其他人觉得我只是在撒娇要不觉得我小题大作，但是我已经3天都没心情吃饭了，每天紧张兮兮，像傻瓜一样，有时候希望给一个确切的答案给我，我每天强撑住对大家笑 ，我知道最近基本精神状态都和外界隔离了，心情变得冷漠极了，有时候想爸妈死了就不会为我的死伤心了 ， 但是就是太在乎他们了 ，一直让我狠不下心自杀，有时候觉得绝望得不得了  ，简直想从楼上跳下去解脱算了。之前有患抑郁症，后面没怎么发作 ，这一次有时候觉得熬不下去  ，最希望有无痛的死亡或者有个正当理由死去， ,107,60
沈阿毛,一般来说，抑郁症患者是很难发出求救信号的。“并不相信世界上有能够拯救自己的人”，或者说“并不相信自己值得被拯救”，这样的心态才是造成抑郁的原因之一。因为担忧被排斥、不被理解和拖累身边的人，抑郁症患者会把痛苦紧紧锁闭在心里，使自己处在隔绝而沉默的状态中。深陷泥潭中的他们根本没办法主动求救，甚至自己都放弃了自己。如果身边的人突然消失，或者长期排斥与外人交流、精神疲惫活力下降，这大概就是他们所发出的SOS。这样的信号，需要身边的人细心观察和理解认同，需要有人能够站在他身边一起承担，让他相信“你不是一个人”，也让他相信“你可以不完美，我依然爱你”。P.S「把要自杀、抑郁之类的话说出来的人一般都不会出事」的说法，我个人非常讨厌。这是一种粗暴而居高临下的旁观者判断方式。当有人说出自己很抑郁或要自杀时，就算不是抑郁症患者，也说明现在的心理状态是有问题的，希望能够得到别人的关心和爱护，而不是怀疑、审视、不屑和批判。痛苦是等值的，没有高下轻重之分，都需要治愈。爱是治愈一切的良方。更新一下：从写这个回答到现在两年了，抑郁症已经基本控制住啦，在维稳康复期。我是有点抗药的体质，试过好几种药，中间经历不少波折，有过完全想放弃的时候，最后还是挺过来了。在搜索这个问题的你一定正在难过吧，可能沉浸在绝望里，看不到尽头，觉得身边没有任何支持，一个人快要走不下去了。但是希望你能明白，这是生病，去看医生，去吃药。可以觉得医生也救不了我吧吃药也没用吧，但是把它做个聊胜于无的小尝试，就算没用，反正也不会更差了，不是吗？可能没人能帮到我们，所以自己要来勇敢治疗正在感受到的痛苦。不用每天都哭，不用一直噩梦，吃的东西有味道，能和周围的人顺畅聊天，走在阳光里觉得空气真好啊。当我突然意识到自己终于能够感觉到这些的时候，高兴的想哭。这些是很好很好很好的事，希望你也会在一天突然发现，原来我也做到了。,589,56
匿名用户,会笑 说拜拜啦 ,108,15
匿名用户,我吞药过很多次，但是天不绝人，最后都被人抢救了过来。有代表性的一次是我在一个小旅馆，打电话对男友说他若不来我就去死，他始终没来，我就吞药了，然后把自己东西整理好干干净净躺在床上，等待着死亡的来临。后来我就神智不清了，再后来我醒来就是躺在旅馆，男友在身旁，至于在医院洗胃以及他如何找到我的，我完全不记得了。另一次是我到了外地，找到一家偏僻的旅馆，之前和旅店老板谈话时还是非常平静正常笑面迎人的，随手关上房门我便吃药了，然后也是静静躺着，后来仍然没死成。最近一次是我整理好房间，然后装扮好自己，然后下楼奶吧里买了一份热牛奶，打算用热牛奶把药片喝下去。此外还买过木炭，妄图烧碳。在私人手中买过安眠药。我害怕疼痛和见血，可能自己真的不勇敢。一直寻求一种更安乐的方式结束自己的生命。但是，面对扬言要自杀的人，千万不要冷嘲热讽表达出你的怀疑态度，也不要火上浇油，而是应该认真倾听，引导对方说出他的苦恼，并表示出你完全理解他的感受，最好是说你也有类似的经历，这样他才会得到宣泄，才会感受到世界的温暖。否则，即使他这次是犹豫不决，但你的冷酷和忽视会让他感受到这个世界的敌意，即使他这次不自杀，也会加重抑郁病情，最终导致真的踏上亡命之路。我现在是想通了一点，如果自己命不该绝，想死也不是容易的。,82,84
