大鱼心理咨询工作室,抑郁症分轻重急缓，临床上的表现有共同之处，也会有所区别。（1）抑郁症者常常觉得自己没有活力，做什么事都提不起劲，没有办法开心，但还需要维持正常现实功能（工作、学习、社交）的他们常常会努力地假装什么事情都没有发生的样子，也就是题主说的假装开心。因为他们害怕别人发现自己的不对劲，和别人的不一样。这个时候抑郁症者一方面感觉到自己身心的耗竭、疲惫，一方面又担心别人发现自己的状态，这是非常煎熬的。例如在家人面前，一些父母是无法接受自己的孩子有抑郁症的，所以他们不敢在父母面前表现自己的不开心，或者情绪的波动，只能假装着开心。在同事或者上司面前，他们往往会担心因为自己的心理问题被另眼相待或者是上司因为自己的心理问题而对自己的业务能力表示质疑。（2）另一种情况是他们的抑郁情绪不会一直存在，状态好的时候是可以社交的，也会感到开心，只是往往会隐隐地担心自己好的状态不会持续太久，不知道什么时候又会陷入低落，这个时候他们的开心是真实的，虽然持续的时间会比较短。（3）重度抑郁症者，或者是轻中度抑郁在状态非常低落时是无法做到假装开心的。他们会感觉自己掉到了深渊或者黑洞里，没有什么感觉，甚至坐着发呆都可以发一天，感到自己和世界失去了联系，常常躺在床上度过一整天，没有力气爬起来，也没有动力做任何的事。公众号：大鱼心理咨询微博账号：大鱼心理咨询工作室喜马拉雅账号：大鱼心理咨询工作室预约咨询，请联系助理，微信号：dayuxinlizixun,168,41
山楂,自从我吃药后，经过三年多的努力调节到如今，情绪稳定很多。别的病友会不会假装开心我不知道，但我不会！！我也做不到！！不被抑郁完全冲昏的时候，我慢慢的变回了以往性格的自己。自从得了抑郁症真的是性情大变，我以为我的性格大概就只能这样了。我逐渐的明白，我为什么会得抑郁症，有很多潜在因素，包括我的性格。因为我没有办法把自己苦闷宣泄出来，在人群里我做着开心果，表面看起来很乐观，总是喜欢逗别人笑，伤心难过的事情总是藏起来，一副什么都想得很开得样子。或许，我是害怕吧。害怕别人觉得我实际上并不是真正乐观的人，害怕传递负能量影响别人，更怕…当我哭了，连一个人安慰我都没有。还记得小时候总是白天笑嘻嘻，晚上躺着就开始不自觉的哭。那时候我还没有得抑郁症，顶多就是个多愁善感消极悲观的小孩？我会为了开心，而去开心，我会为了让别人开心，假装自己开心，我当时就认为，快乐才是正确，痛苦是错的，所以应该开心，不应该悲伤。或许是我自己连允许自己悲伤的能力都彻底舍弃了，才会让我心坏掉吧。得了抑郁症之后，我发现我一直在悲伤，停不下来的悲伤…眼泪像坏掉的水龙头，一直流，一直…但我再也不能像曾经那样哭了之后，感觉到心情舒畅。而且不管我留了多少眼泪，那份“悲伤”一直在心窝里。是啊，这是病，所以这份“悲伤”导致了我无法感受到快乐。我现在已经不会被它一直折磨了，因为，已经没有什么能够让我不快乐的。还经常有人问我，“你开心吗？”“没什么不开心的啊”我都会这样回答，真的，已经没有什么能够让我不开心的。日记里写到：不管我笑还是哭，内心还是一片死寂，所以我还是笑吧，哈哈哈哈哈哈哈哈哈哈。我还深刻的记得得抑郁症的前一年，约了个挺好的朋友，我喝了非常多的酒，我以为喝醉我就会大哭一场，跟她狠狠的倾诉一下。没想到，我醉了只是静静的躺在沙发上，什么都说不出来，明明是一肚子郁闷，还是说不出口，就是说不出口。直到我回到家，躺下床，我哭了。那一刻我终于明白，我好像只有我一个人的时候才能真实。实际上还帮了我一点，我不需要再掩饰了，连装的力气都没有。甚至变得超级能表达，想说什么就咕噜噜的全吧啦的说出来，得了抑郁症之后，我慢慢的变成了一个完全不会假装开心的人。因为，我连活着都快累死了，我怎么可能有力气假装开心啊！人生太苦了，我都吃腻了。是的，真的腻了，包括“活着”这件事，我真的厌倦了。但我还在这里，是因为…我不能离开，我怕爱我的人哭。我还能笑，它不代表我快乐，而代表着我的脆弱，我的坚持，我的强忍，我的努力，我的恐惧，我的无畏，我对人生的一个态度！最后我想说抑郁症不过是我疾病里的一个病而已，它代表不了我。它使我不能快乐，但不代表我是不能快乐。它使我悲伤痛苦，但不代表我就要乖乖悲伤痛苦。“抱歉，我在人间生病了，也受伤了，现在过得也不好，但是，嘿嘿……你完全不用担心我啦！你看，我还笑的出来呢！我没事的！！你不要生病，也不要受伤！去爱吧！去拥抱一切你想拥抱的一切。”我知道我应该想哭想笑就毫无顾忌，但我做不到，我不是那样的人。人前嘻嘻哈哈笑，转身的我只想自杀。我不会装开心，但我能装没事。,545,137
河倾水,会的，毕竟笑只是表情，和心情无关。（对于很多患者来说，不假装开心就会受到歧视，不假装开心会勒令退学，不假装开心会失去工作）在这种情况下，有几个抑郁症患者不会假装开心呢？大家并不是真正的快乐，微笑不过是保护色。怎么识别一个人是不是有抑郁症？以及抑郁的程度？附上自己最高赞的回答，从抑郁症的角度看抑郁症。,161,12
心理咨询师菜菜,谢邀。抑郁症患者的核心体验是“无望”而非“不开心”，所以我们经常会看到假装开心或者真的（片刻）开心的抑郁症患者，但是他们内心依然鲜少体验到活下去的希望感。有些抑郁症患者，并不接受自己的疾病，坚持认为只要自己努力，就会从症状里挣脱出来，于是在面对外人的时候，就会越发表现出积极乐观，但是其实独处的时候，内心孤独痛苦无助，就像一片无尽的黑暗。有些抑郁症患者，客观理解自己的情况，但是为了不让父母、家人担心，会调动所有的力量，在亲人面前表现出开心、正常，而这些通常会消耗他们极大的心理能量，让他们更加在沮丧无望的浩劫中越陷越深。有些抑郁症患者，体验到自己不愿意跟外界交往，于是就会表现出“我都挺好的”的样子，客气、疏离，不出挑不出错，想要让大家不注意到自己，然后关起门和自己的失眠、抑郁、自残搏斗。有些抑郁症患者，因为职业的需要，需要将精神饱满的、可以沟通的、情绪良好的等状态展现给客户或同时，有点类似于微笑抑郁症，然而之后的情绪反差会更大。有些抑郁症患者，抑郁的情绪占了大比例，但是依然有小一部分比例，能够体会到平静的正常的情感，甚至感受到开心。这类患者通常治疗和预后较好。有些抑郁症患者，伴有另外的情况，例如轻躁狂，或者某类人格障碍，抑郁让他无望不快乐，而轻躁狂等确实可以让患者体会到开心。所以，综上，抑郁症患者会假装开心，也会真的开心。但抑郁依然需要得到关注和治疗。,99,7
金泽林,2012年的时候，有人发了这么一条微博：我有抑郁症，所以去死一死，没什么重要的原因，大家不必在意我的离开，拜拜啦。之后，经当地公安局证实，该账号主人已自杀。今天我们就来谈谈抑郁症。之前网上的一句正常人视角的抑郁症解读，你怎么不对有呼吸道疾病的人说，周围气很足啊，你为什么呼吸困难？抑郁症的患者生活不是灰白色，他们同样会谈笑风生，跟周围的人打趣，甚至有的人比你还幽默，有时候，他们的态度比你还乐观。 这就是最可怕的地方呀。他们的朋友圈里也会晒出游的照片，照片上是灿烂的笑脸他们的空间里也转一些搞笑的段子和漫画，让人忍俊不禁他们没有可怜兮兮的坐在那里呼吸困难。大部分努力的往阳光的方向生长，却总能在某个不经意的瞬间，重重跌入黑暗。这个时候想要倾诉，身边的人便会觉得奇怪，有意无意的质问：你怎么啦？你为什么不开心？不要问了，我也不知道为什么不经意的失落与孤独，抑郁症在一定程度上是一种生理上的病变，乐观的态度和开怀大笑对生理的病变不一定有效。抑郁的反义词不是高兴，而是活力就像爱的反义词不是恨，而是冷漠你这样问只会让我也觉得自己很奇怪时间久了，我便学会沉默算了于是孤独的人便永远孤独在黑暗里的人便觉得他们应当属于黑暗。有时候，觉得不开心不要去熬夜，喝酒，躺床上一天。尽管大部分快乐来自于放纵，但传统观念与潜意识里，我们将上述活动视为堕落。这样只会让状态更糟。不如像吃药那样吃点糖或者运动起来吧，让自己的身体分泌出让人快乐的物质。有时候我们觉得身体受自己控制，其实我们只是激素的奴隶。最后分享一点小美好https://www.zhihu.com/question/300413331/answer/520862886,107,19
低落你就听五月天,抑郁症患者往往会隐藏自己的糟糕的情况。嫌弃自己散发的负能量，生怕把它传给身边的人，也深深自卑着，害怕因为这个巨大的缺陷而剥夺自己被他人爱和接纳的机会。抑郁症好像一个难以启齿的隐疾，抑郁症患者常常会拼命的去掩盖它。她们会揣摩对方的想法，然后很“乐观”“积极”的去演下去。除非你能得到她的信任，可是得她的信任谈何容易。当你知道她到底怎么一回事想要帮助她，爱她，照顾她，她又开始对你产生了反感。不是对你的行为产生反感，更多的是对她自己反感，以及觉得不能把你的好同等反射回来，她对于自身病情的排斥和不接受。甚至是深深的羞耻和自责，而这种羞耻和自我厌恶的感觉快要让他们窒息了，她们告诉自己，我没有发病，我只是想多了罢了。可是这样就是一个恶性循环，因为更多的人对于她们是不理解，导致她要一直装一直装的装下去。这种其实不难理解，毕竟当今社会对于抑郁症还是挺有一些不了解的，她们会觉得自己是一个“怪人”是一个格格不入的人，她想跟你们一样避免自己的“缺陷”被发现，遭受进一步的打击，所以假装一个开心的人。最后的最后她甚至觉得这一切就是她的本能。然后等郁期发作。最后，亲爱的你如果看到这个答案你曾经说我的爱是全世界最好的你说我是你黑暗中抵抗昏暗人性的一束光你说我居然可以给你200%的安全感你现在对我爱不起来了，觉得我不吸引你了，只有了感恩可是亲爱的你的那些新男人们，他们现在只看到了你的“能力”“美貌”“热情”“乐观”他们只看到了你小心翼翼的过渡关注对方后的反应，看到你每次为了取悦对方，一次次让自己变得“更好”你还没有把你内心深层次的黑洞与不信任展现出来当然了，就跟你说我的一样，那是你的事，我一个前任没有权利开干涉我相信这个社会上还是拥有有大爱，有耐心，有责任感，爱你超过自己不难么珍惜自己的羽毛的人只是你我都知道这样的人是很少很少的所以请你知道我当然希望你一切都好，幸福美满，平安喜乐这是我发自内心的祝福可是当你受了伤，磕绊了你知道在哪里可以找到我我跟你说过，我给你准备了一个家在那里，你不用做的那么累，你不用一直在努力，你可以丧，你可以只做你自己我会在那里一直等你。,200,25
权志龙,2019/1/9坐标北京。严重焦虑症两年。疑病高血压今天是我的生日。其实打下这些字的时候。我都想哭。 语言很混乱。希望你们别介意。夜里又发作了。吃了好像八片艾司唑仑。感觉现在这个药吃了两年越来越不起作用了不知道还能撑多久。焦虑的时候血压瞬间飙高那种症状天天有知乎上的私信我都在看。每次看完莫名的想哭。真的。因为我知道就算我死了。还有人在关心我。这就好了。但是特想回复你们。又我害怕给你们回复。怕我的焦虑。我的胡言乱语给你们不好的情绪。谢谢知乎上的你们。其实好想有个人可以鼓励我。说说话。散散步好想等到春天有个伴一起去我喜欢的城市苏州。江南小镇我有点不想坚持下去了。不是抑郁那种。写给你们看看吧。病情更严重。心情不好的时候感觉心脏不舒服。焦虑疑病的时候一个说话的人都没有。也有完全放松的时候。但是越来越少了。一直心底有个想去的地方。苏州。江南小镇。严重焦虑症 疑病高血压。其实我到现在也分不清是焦虑症还是高血压了。焦虑发作的时候血压瞬间飙高。上个月看了中医的专家。说我血压再高心跳再快也不会死。医生也说没问题。可是每天焦虑太严重导致的血压瞬间飙高。手脚发麻啊。说不定哪天就走了呢经历过血压爆表到脑袋快炸了。经历过心跳加速快到直接倒在路上。经历过七天几乎没吃饭。经历过大大小小的症状。这两年基本两天一顿饭也不会觉得饿。两年基本没社交。一个说说真正心理话的朋友好像都没有。因为别人看来我就是闲的。想太多。呵呵。懒得说了。其实我好想有个人陪着哪怕什么话都不说。我就会很安心。艾司唑仑吃了两年。前几天一次20多片。也没什么。可能耐药性了吧。现在每天最少四片。就靠着它活着。想过吃大量安定。然后离开这个世界。我不知道这样的我活着还有什么意思。本来也没什么朋友。想想妈妈之类的话。我知道她很担心我。我都知道。但是感觉还有我想去的城市。其实好想等春天有个伴。 如果能撑得到那个时候一起去我想去的苏州。江南小镇。基本没什么社交。一个月基本没出门。刚才吃了，15片安眠药。现在药效对我来说越来越少。现在就想找个人一起去苏州。那是我梦想的城市。不过现在身体状况不太好。也不知道可不可以去了。其实真的想找个朋友聊聊天。胡言乱语也好10.30更新好久没上知乎了。谢谢大家的私信。最近很严重。已经一个月基本没出门了。食欲很少。基本每天一顿饭这样。低血糖发作好几次。有次突然心跳特快。直接摔倒在地上。我也没什么朋友。基本天天都在家。出门心跳就加速。好像惊恐发作更频繁了有时时候真的怀疑是不是心脏病之类的。也想过自杀。无所谓了。天天在想这个问题。觉得可能没什么想法。现在的我。除了妈妈会难过吧。别人可能觉得我软弱或者不坚强吧。人都是自私的。其实是想解脱。可能人类怕死的本能让我一直撑着吧。又或者可能还有遗憾。谁知道呢。五天没吃饭了。很混乱啊。 感觉不到活着的意义了。 那为什么我还不去死呢。也许想开了。 过两天吧。在等等。反正已经决定了不是吗。 没什么可留恋的了吧。对于现在的我。 好吵。整天都好吵。 那就让我来说说我自己吧。 证明我至少还存在过。不是吗。急性焦虑症一年。惊恐发作。高血压。疑病。第一次发作血压飚到180/110。手脚麻木。感觉脑袋里面的东西快炸出来了那种。急诊开了卡托普利。我自己吃了10片都没用当天晚上跟我妈说可能不行了。去年经历过好几次这种情况。没体会过的人真的不知道那种感觉（随时怀疑自己脑出血脑梗弄个半死不活。我不怕死。就怕弄个偏瘫。）从175 140斤到现在110斤。 基本没有朋友。说说话那种都没有。我好想找个人说说话。 现在出门都要吃安定。缓解焦虑情绪。 家里人漠不关心。我妈觉得我挺好。也就是食欲差。呵呵 去年想自杀。但不是抑郁。去年出现好几次头快炸了的时候。疑病。怀疑高血压脑出血脑梗。 三次脑ct。都没问题。血生化没问题 。 血压不稳定。年初去阜外医院想做个脑核磁。高血压恐惧症。当时血压心率飚到144/105心率143。我其实就想问医生我还能活多久。一年了。我受够了。但那个医生说我没生命危险。就是惊恐发作。焦虑症太严重去年想自杀。没好好保护牙齿。现在五颗下门牙自己快掉了。快吃流食了。怕牙医。怕到见牙医头晕脑胀。甚至怕拔牙脑出血。因为现在连门都出不去。更别提去见牙医。去人多的医院了。曾经半年没用过手机。自己把手机砸了。不想联系任何人。当然也没什么人可联系。现在五天没吃饭了。也没觉得怎么样。掉头发厉害。今年年初就一天一顿饭。很正常。我妈还找了两个自以为了解我这病的人。来跟我谈心。带我去小区溜达。我可是五天没吃饭了啊。哈哈哈哈哈哈哈哈。我他妈觉得好恶心啊。你们能明白吗。我他吗只想安静啊。我只想有个医生告诉我什么时候可以死。这样我就不焦虑了。可以想去做我喜欢的事儿了。 我不想让我妈找这些自以为了解我这病的人在我面前bbbbb说我不严重。说我能好。你们知道那种感觉吗。就好像在一刀一刀划我的灵魂似的。恶心！癌症或者别的病还能有个时间。现在的我算什么。每天靠大量艾司唑仑缓解焦虑和高血压。有时候我就想。我这种没朋友。没人说话的人。死了谁在乎。我不是对生活失去兴趣。我是不想这样焦虑。惊恐。疑病的活下去了。我好孤独啊。我有时候自己都能哭。是啊。我还有想去的城市。苏州江南小镇。我还有想吃的东西。可我现在吃不了饭了。我还有想学的吉他和钢琴。我想拖着我这恶心的身体去看看这恶心的世界。你们明白这种感觉吗。出不了门。出门要大量吃安定。疑病。高血压。没朋友。家里人不理解。我很喜欢相约星期二这本书。学会怎么去死。就学会怎么去活。还有超脱那段话。每一天都好吵啊。好吵。恶心。可以让我心里平静吗。就一天。好吗。我不想死的时候心理还这么吵啊。我好想有个人听我说话。听我哭。听我笑好想春天的时候有个伴去我心底的苏州。有时候真的很累很累。想歇歇了。走不动了。,2174,2418
太阳照常升起,一定会！！！“我只要还有一点力气，就会假装开心，去讨好别人。“只有实在没有力气了，一个人的时候，我才会让自己被抑郁淹没。“别人都说，你根本就是个开心果，全世界都抑郁了你也不会。”…………无数次听到上面的那些话。甚至有一种感觉，如果他们不去假装开心，抑郁就不会那么严重，严重到生不如死。有个女孩跟我说，她觉得自己的身体就像一个氢气球。氢气饱满的时候，就会有一种向上的力量，拽着自己向上走，积极，乐观，开朗，等等。以前刚刚抑郁的时候，还有挺多氢气的。很多时候还能感觉到那股向上的劲儿。因为自己要强装开心，不想被人看出来，那个气就一点一点的往外漏。最后，就剩下一个干瘪的皮，只能在地上趴着。人最好的状态就是真实的表达自我。（在抑郁以前就做自己，而不是去做一个“幻象”。）不开心了，就是不开心了。不用刻意的去假装开心。这里需要区别不开心和乱发脾气。在和别人相处之前，先学会和自己和平共处。很多人的假装开心，是连自己都骗的。,642,47
周梓缘,   当然会！难道带着悲伤且真实的自己在不能理解你的人群中游荡么？！-- 只要不到最后的绝望，还是愿意活下去的。要活下去就要会伪装抑郁症是一个逐渐消磨意志的心理问题，根本开心不起来。然而你要是想在社会中生存下去，你展示着抑郁症真实的一面，那么现实可能给你的不是温暖的拥抱和关怀，而是冰冷的面孔。     腿脚好好的，怎么可能没有力气做事情？     生活一帆风顺有什么好悲伤的？     谁的人生没点波折，这就夸了？谁想带着面具生活呢？只是伪装一下没那么辛苦。多少抑郁症假装好起来后得到了很多鼓励，夸奖赞许。。。。这些可能在抑郁症人看来很可笑，但是在他们身边的人看来是蜜汁珍贵。很多抑郁症者很反感这些鼓励，那怎么办，人家毕竟是好意，强颜欢笑呗，不然会被说不知好歹。我是只输出干货的 @周梓缘关注我的公众号“得见”有更多内容推出，参与公众号互动有惊喜。有偿投稿！其他相关文章：抑郁症的表现有什么？周梓缘：为什么越努力越焦虑！怎么理解「不懂抑郁症的家人是杀死患者的凶手」这句话？抑郁症的表现有什么？,41,6
匿名用户,开心的一瞬间是真的开心，开心过后是真的更孤独和失落……,84,8
