Doria Wu,(｡•ˇ‸ˇ•｡)写了好多突然觉得没意义就删了大概对于人生也是如此,403,42
美酒如刀,跳楼自杀，没死，高位截瘫。该说的话都有人说了，我讲几句废话吧。无论哪个年龄段得了抑郁症，都不要选择死亡，除非你能保证自己一死到底，百分之百地不会被救回来。不然迟早后悔。当然我不是说会后悔自杀，而是后悔没有成功作死自己。原本你可以和同龄人一样开心地考上理想的大学，去见识更广阔的世界，做一切自己想做的事，如果运气好也许还能找到一个可爱的异性来场带着年轻人特有的笨拙的恋爱。但是如果你在抑郁症的时候选择了自杀但又没成功销号，总归有一天会开始怨恨为什么承受这些的是你。武志红老师有句话说抑郁是本该投向外界的愤怒投向了自己，我觉得还是有道理的。说这些废话只是想告诉每个受抑郁症困扰的年轻人对抗抑郁症，一定，不要，放弃治疗。安全的活着本身已经是对抑郁症最好的恢复了。,257,66
恒变,15岁抑郁症。到现在已经21岁了。从开始的不接受现实，不肯承认自己抑郁症，到后来的接受这样的自己会被抑郁症困扰的现实。中间不知道蹉跎了多少时间。 因为抑郁症，和家里人的关系从崩坏，到现在的和平相处，吵过，打过，终于重新明白亲情和家人的可贵。 从因为抑郁症而失去一大票朋友，一个人在黑暗里摸索了太久，到现在重新能有一两个很好的朋友，这么简单的事，我也花了很久。 因为抑郁症，我从没像现在一样了解过自己，也才发现自己对于自己的了解实在是甚少。 如果说抑郁症最大的状况是什么，我觉得应该是逃避。 从痛苦逃避，从失败逃避，从自己逃避，成功了也觉得侥幸，幸福了也惴惴不安。 直到今天，我才明白，给自己找借口，是一件多么沉重的事。一时的失败也许情有可原。1年的失败也有可能是运气不好。可是失败了整整6年，我终于无法安慰自己，说这一切都是抑郁症的错。如果说每个人生来带有一个形状。那抑郁症就会把这个形状打砸得粉碎，从此你失去了自己，一切陷入混沌和未知，好像失去了视力，一片扭曲黑暗的光怪陆离。很痛苦。没有比质疑自己的存在更痛苦的事。没有比无法接受自己的形状更痛苦的事。没有比失去一切掌控力更痛苦的事。一点努力，马上被暴风雪淹没。一点光明，马上被黑暗碾得粉碎。如果说抑郁症有什么好处，可能每个抑郁症患者都会说操他妈你得抑郁症试试看？！你跟我说抑郁症有什么好处？？！！我的人生都被抑郁症毁了。可是我今天想要说，抑郁症摧毁了我们本身的样子。我们可能要花更多的时间，去重塑自己的形状。以前十几年的心血毁于一旦。但这一次，我们有选择，选择自己灵魂的真正形状。我的公众号：恒变的解忧杂货铺http://weixin.qq.com/r/nTnA2AjEHVVirUy792yP (二维码自动识别),502,160
匿名用户,深感仿佛人生已经结束了 但是生命却还没有 ,169,8
Linghein He,2016/9/20嗯 自己独立就好删了答案一切只要看开了 世界就明朗了是时候把自己拿到太阳下晒一晒了。,169,78
Beyond Lee,"2015.5.20--第四次更新再试最后一次，如果还是这样，我就彻底离开，谢谢各位的关心2015.5.18--第三次更新现在是05：56，窗外有商铺卷闸门拉起来的声响，还有鸟儿们的啼叫。又是一夜未眠。整个夜晚，我辗转反侧，眼泪让耳边的头发湿粘在脸颊，莫名的难过和焦躁，大脑一片混乱。我跪倒在地上，地板很凉，我睁着眼睛，默默地数，天，什么时候会亮呢。一直以来，我对天亮有一种奇怪的执着，也许黎明，代表着我终于又多活了一天吧。有时候我也在想，如果得了绝症的话，我的生活会不会有所改变，未知的才最可怕，至少我清楚了自己的末日，也许会更无畏吧。如果真的有那一天，就把我的骨灰撒在大海里，让每一条鱼都亲吻我的躯体，让每一个泡沫都附着我的骨殖消耗殆尽。我和抑郁症，是一辈子的战争啊。我挣扎，我反抗，我强迫自己去出门，去看书，去睡觉，可是没有一点用处，所有的一切，对于我都是负累，都可能是最后一根稻草。抑郁，让我的心一点一点变得僵硬，感情，无所谓，生死，无所谓。换句话说，我只是不主动去死罢了，而是像变态一般期待着意外死亡的发生。至于父母，我已经不再期望他们的理解了，只希望他们能够尊重抑郁症的我，所有的一切，让我一个人承担就好。虽然这样决绝地说了，可是，我还有很多想做的事没有完成啊，我想去外面看看，写一本讲述自己的书，爱一个同样爱我的人。有心无力。i hate loneliness，but it loves me没有人会喜欢死亡，只是比起孤独和绝望，以及冷热交替后的纵横来说，死亡，也许会更让人踏实吧。2015.5.9--更新关于失眠在刚刚过去的16岁生日上，我对着蜡烛，许下了这样三个愿望，健康，抑郁症尽早痊愈，以及最重要的，能够好好睡觉。好好睡觉，这算是个愿望吗，很多人不以为然。那是因为你从来没有感受过失眠的痛苦，当然，我希望你永远不要感受到这份无助。华妃说，你知道从天黑等到天亮的滋味吗我知道。无数个夜晚里，辗转反侧，我看着，还有多少时间，六个小时，五个小时，四个小时，三个小时，两个小时，一个小时，好了，爬起来直接去上学吧。又是一夜未眠。我还只是个孩子啊，我还有学业，为什么不能让我更好地去完成它呢，我的未来又该怎么办呢…真的太羡慕你们，哪怕只是能够好好睡觉这一点，都足以让我嫉妒。父母责骂我，你干嘛想那么多不睡觉。无言以对。不是我在想什么，而是它就是这样发生了，更多时候，我的大脑在药物的控制下其实是完全空白的，我也不明白自己在想什么，但就是说不上来的压抑和绝望，忠心耿耿陪伴我的，只有孤独。就像溺水。整个胸腔满满的无力，我知道水面就在上方，可是我怎样才能浮上去呢。无解。现在是凌晨5点43分天，要亮了2015.5.8--更新关于死亡的经历 另注: 很感谢在知乎上遇到这样一群可爱的人，哪怕是简单的一句加油，都足以让我感动，评论我会一一回复的，哪怕只是说一句谢谢…真的谢谢各位 !(手机版知乎不再提醒评论，请问是什么原因怎样解决，未回复的周末会在电脑版补上，请谅解 ! )初二，抑郁症的开始，也许应该说是之前积攒的负面情绪爆发，整个人万分颓败，此处暂且不提性格变化，只说“死亡”。这个话题对于一个十六岁的女孩子来说太大，但是我还是想表达自己浅显的想法，因为那段时光，是我最不想记起的黑暗绝望。晚上放学回到家，锁门，把作业摊在桌上，然后一直看着它发呆，几个小时，一片空白，不是不会，不是懒惰，只是觉得多动一下，都要浪费千钧的气力。夜深了，我坐在窗台边，脑子里只有一个声音:五楼跳下去会不会死。这种想法一直伴随着我，看到刀会想这把割腕的话够不够锋利，走在高处会想跳下去能不能死，在河边想跳河的话会怎么样。但凡是我见到的，第一时间联想到的都是死亡。不是看不开，而是看开了。所幸没有对自己有大的伤害的举动发生。没有人理解，他们都说，你要自己调节，你这是作的。夏虫不可语冰啊。时至今日，父母和朋友还是不能够理解，但是我已经觉得无所谓了，有些东西注定只能一个人去经历，再爱你的人也只能守在后方看着你淋着枪林弹雨。死亡，死亡。对于我来说是那么亲切。好像我和其他人的世界不一样，我们一起笑一起闹，但是从来没有开心过，真正的开心是什么样的味道，我早已忘记。2015.5.6--对结尾有了大幅度改动我接受我的命运，但是我要改变我的人生。以下这些文字，都是我非常非常不想叙述但是不得不强迫自己去面对的经历，现在是凌晨十二点半，愿所有人好梦。不匿。刚刚过了16岁生日，现在高一，抑郁症从我真正察觉至今，已经三年了。现在的情况，下一步需要电击治疗。小时候比较早熟，对人情世故有很通彻的了解，不敢表现真正的自己，在别人面前总是好孩子的形象，包括父母。有事从来不会和父母进行交流，因为无论是什么事，好的坏的，第一时间都是先挑我的错进行指责，恐惧之下性格也变得特别敏感，别人无意间的一句话可能就会让我受很大的伤害。到了小学，一直以来都是第一，全区第一，就只能更加伪装自己乖乖女的形象，很迷茫，不知道自己该做什么。终于，在初二爆发了，不想去学校，不想学习，不想参加任何活动，对什么事都没有兴趣，觉得即使是立即死掉也没有关系，想着一个人也许更好，还有抑制不住的想要杀人的想法，看到血会很兴奋，但是从来没有自残过因为初二以来基本没有听过课，所以中考只考上一个市级高中，现在吃药控制，至少不再那么渴望死亡的降临，也能勉强学习抑郁症，到底给我带来了什么呢有时候我也会想成绩一落千丈，易怒，自卑，迷茫，无助，失眠，焦虑，恐惧未来，整个人毫无生气，就像冬天的熊，宁愿一直呆在树洞里，而这个冬天，我也不知道有多长。父母对我的病症置之不理，当作丑事。im a loser深深的无力感以下文字摘自我给最好的朋友发过的简讯。-- 今天又没去学校，我觉得学习好像对我来说没有意义了，在家看了一早上的知乎，看到那么多人比我还严重比我还痛苦，觉得自己像变态一样觉得庆幸，原来我并不是最恶心的那一个啊。真是越来越讨厌现在的自己，什么都做不到，什么都做不好，也很羡慕你们，都是同龄人，为什么偏偏只有我这样呢。想了很多，觉得自己真是没用啊，一个连未来都没有的人，有什么资格活在这个世界上呢。你会说为了父母而活，他们太爱我，以至于把我逼上绝路，他们只是我的负累啊，我无数次想象他们在和我吵完架摔门而出的路上出了事故，我太恶心太变态了，对吧，可是我控制不住近乎疯狂的想象力，我幻想一切东西，尤其是死亡，我觉得人世间最无谓的东西就是它了，怕什么呢，怕的是有一天我开始畏惧它了。自从吃了药以后，我好像越来越怕死了，我讨厌这种感觉，这让我觉得自己唯一的特长都没有了。我就是荒漠中的旅人，死亡就是绿洲，它对我的诱惑有多大，我就有多渴望它，我希望自己能得个绝症什么的，让自己能够安静地利用完最后一点时间然后安静地死去。我想打一架，可是吃药的副作用让我不仅体重暴增，而且连发怒的情绪都失去了，我只能彻底像一个行尸走肉一般过活。所有人都说让我自我调解，我做不到，于是我去找医生，终于我发现医生也不过是普通人，还是没有人能够理解我，所有的希望也破灭了，只有死亡一直忠贞不渝地爱着我。夏虫不可语冰啊，没有经历过的人又怎么能懂得呢。记得有一次下午睡觉，到了晚上八九点才醒来，一睁眼，看见黑黑的窗外，只有自己孤零零躺在床上，开始哭，不知道为什么，觉得世界上好像只剩下自己一个人了，无力感孤独感，我 , 就是这么莫名其妙啊其实直到现在，我依旧与抑郁症角力着，我知道我们两个中一定有一个会死，必须死，而至少16岁的我，不想做输掉的那一个。说句夸张一点的话，虽然我现在是正值花季的16岁少女，但是内心已经如风烛残年的耄耋老人一般，平静如水。能够将自己的经历一字一句叙述出来，对我而言，已经是莫大的鼓励。以前，我一直认为自己是处在冬天的动物，假寐，在漫长的严寒中安慰自己，不是我做不到，只是我不想做。可是，心底里我比谁都明白，自己已经到了不可挽回的地步了，如果再不努力的话。自作自受。一直以来把抑郁症当作借口的我，对任何不如意的事的理由都是，我有病，我没办法改变。内心里的另一个我在耳边附和，你依旧是以前的王，不用怕，你只不过是没有觉醒罢了。哪怕对已经失去了所有的我说这句话吗全世界，只有我自己，深深地明白，我其实是一个头被360度旋转了的人，看上去还好好的，但是他已经完了，什么都完了。而16岁的我，想要改变现状，我像hunger games里的kateniss一样，自己一遍又一遍默念，我叫Lee beyond，抑郁症不是我的伙伴，他应该是敌人，他必须是敌人，我要杀了他，亲手扯出他的胃肠，当作花环，纪念曾经的肮脏。虽然很心累，但这是一个必须要走的过程。我用这些交代给过去画上一个完美的句号，我得在一次次告知他们 我有抑郁症 的这句话中提醒我自己这件事，以及深刻地认识到这件事带给我的挫败，这样我才能重新开始。而这个句号，我可能要画整整一个冬季。我不在乎我是不是不正常，哪怕有无穷个自己围着我喋喋不休，我也不怕了，就像《老男孩》的台词一样即使是禽兽，难道就没有活下去的权力吗我不再要求自己要达到一个怎样的高度，我只想要活下去，无论举步维艰，头破血流，也要结结实实地活下去，即使现在依旧是对我而言的严冬， 所以要等，所以要忍，一直要到冬天过去，到灿烂勃发，到雷霆把他们轻轻放过，到幸福不请自来，才笃定，才坦然，才能在街头淡淡一笑。冬有冬的好，冬天过去，有过去的好。 因为，活着，即是希望我接受我的命运。然后，活下去，打败它。最后的胜利。",1326,1227
匿名用户,我后天高考，今天晚上失眠很想自杀，在知乎写下自己的心情，趁我还在人世间就写写。女生，17岁。很多人不知道抑郁症是什么，我认为有些人是心理创伤，有些人是生理疾病，有些人是后天形成的，有些人是先天造物主的bug，遗传也是。我是心理创伤，到现在长期被舅舅性骚扰，童年丢在外婆家时被虐待。我才不会轻易告诉别人呢，这些我怎么会告诉别人呢，换取别人的同情得到特殊待遇吗？不，只会像祥林嫂一样被别人讨厌，聪明一点才不被边缘化。生长在一个农民家庭父母是在工地工作。农村不可怕，可怕的是农村的某些思想，是吃人的。高考，知道会考的很差。我从初中就开始有抑郁症了。高二休学了，因为是抑郁症，所以考虑到隐私就只对班主任说了，而且休学材料要写明，但是回学校上课的时候，一些老师看我的眼光都很奇怪，曾经有老师在上课的时候说，“有些学生呐就是这样啦，说自己抑郁症啊，就会给老师家长搞事情添麻烦啦。”，说完就走出教室门了，当时上课上到一半，同学们都不说话。我的班主任是个男美术老师，平时和男同学们关系好，所以，会从男同学和我相处的时候聊，“有人怎么会得抑郁症哦？是不是搞笑啊。”班主任会和我说“你就是想太多了，现在大家都很忙，没有时间去理你的。”我在学校一直很乖，不惹事上课认真听对老师有礼貌，因为抑郁，从重点班刷下来了，成绩下滑，我很绝望和害怕，因为环境是这样可怕，我知道别人没有义务理解我，但是我无法再相信别人了。人性啊。当我真的很难受时，有时候会想到知乎上还有明白人，还有明事理的人就觉得很美好，至少世界是靠这些人进步的啊。越长大越发现，眼泪是最没用的东西，情绪是不可以表露出来的。,497,1404
纠结焦虑狂,后记：2019年了，我的大学已经开学一个学期了，距离去年高考时我编辑回答时已经过去了8个月，我没发挥好，只是补录了省内的一个普通一本，不过也不算太差。上了大学以后大学心理老师建议我去看医生，已经吃药4个月了，身体和心理都好了很多，我马上要痊愈了，感谢没放弃的自己，感谢那些充满善意的人，我又看到了未来的希望。~~~~~~~~~~~~以下原回答~~~~~~~~明天高考。你体验过绝望么？那种因绝望而引发的胃痛呢？那种连续几个月都郁郁寡欢，难过的要死，什么也不想干，不知道自己在说什么在干什么，没有目标，没有理想，想死却又没有勇气一了百了的感觉呢？如果没有，那你很幸运。但同时你就根本无法理解抑郁患者，也根本无法从你的世界和你现有的认知去体验这种感觉。你只会认为这是矫情，是装的，是博同情，是无理取闹。如果你没经历过，请你不要随意下定论。子非鱼，安知鱼之乐乎？虽然世间尔虞我诈嫉妒使坏是常见的，但对于我们，这可能成为压倒生命的最后一根稻草。所以生而为人，请善良。我还去回忆什么呢？脾气暴躁随意侮辱学生看不起学生甚至暴力的数学老师？吃着十年前名誉现在是落毛凤凰却又自命不凡压榨学生的学校？视学生如粪土，乐趣在于肆意谈论官官相护的老师？刁横任性不安好心，嘴不积德的漂亮绿茶婊同学？还是心里着急却无力帮忙的家长？不，我什么都不要想，我会忘记这些破事，烂事，我要高考，我要改变命运，我要远离世间的恶俗，把恶臭丢尽黑暗。与其诅咒黑暗，不如点亮光明!我不会因为数学老师的不看好和侮辱而放弃数学。也不会因为所谓狗屁恶意而恶心自己，我期望考场上的勇敢，和对自己的宽容。不要吧本该发向外界的愤怒发向自己，要呐喊，要抗争，要解脱!祝愿所有高考考生金榜题名!摒弃黑暗，迎接光明!(๑•̀ㅂ•́) ✧加油!（还有我自己）,533,230
倒頭就睡,初二下初三上学期，抑郁症中度。几乎整年思想都在活下来还是死去之间摇摆。脑中就像开了一个黑洞，记着中午从食堂回寝室时，白的过分的阳光，眼中所有的东西都蒙上了一层黑影。14岁的我几乎失去了所有感情，除了悲痛。我见不得别人向自己笑，因为调动沉重的肌肉回复一个笑容是一件难上天的事。别人都在离自己很远的地方，向我这里抛掷出言语动作时都像彩色电视机在闪动。世上不过全是异景。我常在课堂上发病，一下子失去全部的力气。老师见怪不怪。同桌慢慢地当我神经病对我的捶桌子撕卷子视而不见，邻桌的同学都厌烦我的哭声扰邻（不过后期就不哭了）。手脚冰凉，从脚底传来的麻痹感逐渐占据大脑。我望着透着白白太阳光的窗户，充斥麻木的大脑中只有一个想法：跳下去。但我没有力气。我走不到那里。那么那么远。我什么都不做，就这样任凭麻木遍布自己的身体。我什么都不是，什么都没有。我只有痛苦。成绩一落千丈，从原来的数一数二的尖子变成老师眼中的钉子。一次班主任看见我哭，不耐烦的说你赶紧回家吧。我经常回家，因为学校有试卷和同学老师，我很痛苦。编理由，装病。我的家长全受不了，直到今天他们还认为我那时只是叛逆厌学。一次我回家，对妈妈装出笑容（今天一想简直是讨好形式的），妈妈坐着沙发，骂我，说你再这样就别念了。我爸爸经常打我。那天他用遥控器用力拍茶几，吼我。我以为会被打，被吓到了，又觉得被打死拉倒，就身子僵直在那，不管了。在家时，有心脏病的奶奶爷爷在我哭的时候会心难受，有时我想停但停不下来，觉得自己很没用。我爸爸经常对我生气，认为我“不孝”。学校老师经常讲些什么坚持、克制、坚强，对我全都是讽刺。那不是情绪低落，心境不顺，不是青少年反抗期，那是抑郁症，是疾病。而当时的我把罪责全都归到了自己头上，自己应该去死，只能去死，我考不上好的高中，对不起家庭还给父母添麻烦。每天晚上睡觉前我都希望自己就这样睡过去不醒来。早上上学我哭着不去，恳求父母，得到的是一顿骂喊。我第一次清清楚楚明白了自己的立场，在家里，我“不孝”，是个没有自主权利还言权利的弱者。在学校，我是个“精神病”。发作业本时，我从垃圾桶里捡回自己的本子；看见自己交上去的纸张被撕的稀里哗啦放在桌面上。趴在桌子上哭时，我听到走过的男生骂了一句，恶心。一次发表成绩后，我卧在桌子上哭，当时的历史老师走过来，叫我滚出去。我走到走廊里，俯视着脚下的楼梯，想着就这样摔下去，内心抽搐，胸腔颤抖着。但是我放弃了，我怕死不了。后期，有时我想哭，却哭不出来了。我觉得泪水在从心底酝酿时，便一下蒸发得一干二净。没有眼泪，我却更加痛苦。别人上课时，我思考着死亡，想着救赎，思想触及到某处，全身像一阵电流通过，心脏一瞬停止了，大脑倏地放空，睁大眼眶，眼前一片黑。我感到自己的喉咙被扼住了，思想被撕成碎片，漂浮在体内，碰到哪里都觉得痛苦无比。在学校里行走时，我觉得天压了下来。空气是沉重的，呼出来的是绝望，吸进来的是绝望。哪里，哪里都不存在救赎。我开始徘徊于三四楼之间的窗户，不知好歹地脑袋伸出窗外向下看，我认真地摸索着死亡，不断想象高速坠落时脑中的震荡以及脸碰到草坪里草的触感。疼痛跑到了考虑范围外，比起考试老师父母给我带来的打击，一次跳跃算得了什么。但是爬上窗台，这段克服重力的长长路途需要莫大的勇气。离开教室，这时我的内心深处所剩不多的理智不断拷问着自己，放弃我的天赋，我可能做到的，以及，生命本身。一来二去，不甘在我心中积累了起来，虽然内心深处还是觉得这些怎样都无所谓。我脸向下望着自己唯一的归路，泪水滴落下去没影没落。想着世上所有的生命终有一天是这样，又不应该是这样。如果不是这样的痛苦，我的自尊不允许我没落，我会努力让自己向上爬。抑郁症应该是我人生的转折，让我从天边带着愚蠢的骄傲坠落到了地狱。我的梦想被摔碎，自尊也被践踏。就是那样的其中一个日子，我手拄着窗台向下望，看着学校的道路想到外面的街道。一个想法窜过——我可以跑到街道上去吃狗屎。脑中电光一闪，惊讶发现新大陆一般地，我想到，只要我还活着，我还可以犯罪，把这所学校烧了，去偷钱，用他们想不到的方式逼父母送我出国。抱着无所谓的心态，那一刻的认真思考中，我鄙弃了自尊，鄙弃了道德，内心累积的痛苦和压抑早就超过失去这些带来的焦虑。我突然内心变得有点愉悦，我觉得我想跳舞，为了更加感受到活着的肢体带来的碰触感，我动了动全身，无视掉走廊路过的同学投来的奇怪的或耻笑的目光。那一刻，我决心要活下去，想着如今像野兽一样自由的我就这么死掉太不划算了。我要肉体安全地，精神无痛苦地活下去。于是我内心深处决心要抛弃感情，为了停止痛苦。寒假，妈妈提出了转学，我毫不犹豫地拒绝了。那之后的长一段时间，我的心就像冷冻的冰面，有时些微的恐惧一闪而过，却终究没有波澜越起。抑郁好转，直到今日已经变成轻度的了。初三下半学期，学习开始上升，中考，差9分满分，去了省里最好的高中。但是对学习方面有了感情障碍，注意力不集中，记忆力差，情绪开始不稳定，高中不是靠小聪明就能学好。我在班级现在是倒数。曾经想要在高中出国，家庭有能力承担费用，但家长不同意。（话说这成绩估计也出不去。）庆幸来到了现在的高中，同学们素质很高，我在班级下课只看书几乎从不和大家说话也没有人挑麻烦，老师说话时一般都是有注意尊敬学生。找了心理辅导，确认了自己是抑郁，虽然家人不认同但是同意继续辅导，但是不同意药物治疗。现在是准高三，接下来抑郁会加重是肯定的，接下来的一年或许又会很痛苦。然而为了迎合命运的舞步，我们都只能一步一步地接下去，被迫也好，无奈也好，相信总会有所收获的。第一次这么详述自己的经历，码字码得好爽快，哈哈。,179,77
魔法师,有些人十几岁的时候就死了，直到几十岁时才埋。,380,29
Cincinnatus,每天看见那么多人，他们身上都有光，只有我没有,145,5
