张翠花,不要相信网上的测评问卷！不要相信网上的测评问卷！不要相信网上的测评问卷！！！有什么问题请去医院精神科、心理科咨询医生医生会给你开相应的测评量表测出来也不一定准确因为和你当时的心理状态和心情相关最准确的是带家属或者了解你的朋友一起由第三方的角度来阐述你的情况这样对医生的诊断有很大帮助至于挂什么号建议找专家号价格高一些医生专业水平要好点不会像我一样出现误诊我是在上海精神卫生中心做的诊断后来发现吃药没用改善去了长海医院才发现是误诊也怪我当时不能陈述好自己的情况说多了反正就是这种专业的事情就交给专业的人去做就好自己不要瞎操心了祝好～,16,9
文鹿鹿,咦，说出来您可能不信，除了记忆力那条，其余的我和题主一模一样诶(◦˙▽˙◦)我现在一天吃两片盐酸舍曲林（抗抑郁和强迫症）和两片思瑞康（抗精神分裂症和双相情感障碍）用药三个月感觉情绪稳定多了，不会整日整日地感觉很爆炸很崩溃和世界格格不入，可以和朋友自在地交谈了（朋友也变多了嘿嘿嘿）不会觉得恍惚和突然昏倒了，也不会很累很累很累累到坐不住浑身发麻眼睛发黑等等等等，也不会心脏整日整日地疼痛疼到不知所措，虽然还是会疼，不过好多啦！副作用就是情感淡漠、食欲减退、性欲减退，比起寻死觅活的时候舒服多啦！！！我爱医生，快乐* (๑´∀`๑)ง*一定要找好医生。我在武汉市精神卫生中心就诊，先挂的是普诊号，那个医生咄咄逼人不说还刻意乱说您的病情想坑钱...因为我比较了解抑郁症这块儿所以知道她在瞎bb...后来见过的两位医生都是大名鼎鼎的主任医师，其中一位非常好，非常善解人意而且实事求是，对待病人真诚客观，就是总听不懂我的主诉...（可能是我语文太差了）另一位医生，对患者本身毫不关心，就想收您的钱...所以即使是专家，也不能尽信啊（摊手）就是这样，懂我意思了吧，小伙子( ͡° ͜ʖ ͡°)✧早日康复哟(￣▽￣)~*,21,20
夜泮,都说的太复杂了。失去爱事情，人，物的能力。,3,10
匿名用户,我也曾经这样了一段时间。我记得每天晚上哭一个小时，早上起来昏昏沉沉，不想上学，不想动，不想吃饭，不想说话，不想动脑。别人说什么我都无所谓，动不动就突然在课堂上哭的稀里哗啦，忍都忍不住。每天作业拖着写不完，拿着手机特别迷茫，无所事事，一写写一两点，父母也不知道拿我怎么办，整天和父母吵架，老是感觉心悸，或者脸在抽搐（可能因为睡眠不足）头发一直掉，啥都记不住，右脑经常有刺痛感。动不动流口水，手老出汗，觉得每个人都很讨厌，每个人都讨厌我，经常发呆，没有时间概念，吃饭没胃口，一口都吃不下，感觉没有力气，每天闲下来不拿手机只想哭。感觉自己被生活裹挟着往前走。啥都不想干，只想睡一会，可一拿手机又开始玩了。好的时候和别人没什么两样，只是性格阴晴不定，爱发脾气（不过我怂，不敢和别人发，父母我一回家就摊了懒得吵，只会自己心里窝火，但是别人感受的出来，只是我对打好关系还算可以）在以前那个学校，我本来不管在老师眼里还是同学眼里都是天才一样的存在，差点成为班花，什么都懂。然后我除了过去什么都没有了，我还忘了很多以前的事，直到现在都记不起来。我写的可能有些混乱，其实这段日子是几个月前。说实在，我觉得抑郁是最难熬的，你明明有意志，就是动不了（啥都不想干，不想动，不想吃饭，很痛苦，只想哭）有几个描述抑郁的，挺好。抑郁症的症状都有哪些？https://www.zhihu.com/question/267879501/answer/340669205潜在抑郁症在生活中的表现有哪些？在这之前我应该有点人格障碍，但具体是哪个我不知道，因为我感觉我都有。最可怕的不是抑郁症，而是你活该。嗯，我活该。我活该对别人掏心掏肺别人一个眼神我就仿佛堕入谷底，做事畏手畏脚。别人说的每一句我都以为再说我，被说是玻璃心（我们语文老师亲口说的，，因为他说我们班一位同学我呼吸明显不对劲，仿佛要窒息了），在课堂上捂着嘴怕吵到别人哭泣被前面女生嫌弃的瞪了一眼。可我从来对人那么好都是给谁看的，每次吃东西都是我掏的钱，说话小心翼翼就算有情绪也不外露，就算很难过也尽量不哭我觉得能看医生就去看吧，不能也没关系，把时间安排好，每天运动一会，就是最简单的。家庭条件好的话养只小动物。虽然我还是不能很好控制自己，但至少我没有那么颓丧了。。。日子是过出来的。我们年龄还小，日子还长。。。希望你能成为自己的坚强后盾，把每一天过好，变得强大，变得优秀，多与老者对话，不要理会别人的看法。不说了，我心悸,16,7
ZH YAO,"1. 我是否表里不一？做出来和内心想的不一样4. 我是否无条件吸纳一切？为了看起来很真诚？7. 我是否有无明烦恼？逃避痛苦，看起来很快乐？2. 我是否在压抑自身需求？只为了看起来对人有帮助5. 我是否在远离自身情感？看起来很有知识？8. 我是否否认自身软弱？看起来很强大？3. 我是否在追求大众认同？看起来很成功？6. 我是否在不停歇的寻找危险因素？看起来很忠诚？9. 我是否在自我麻痹觉得这也不要紧那也不要紧？看起来和和蔼？——————每个人应该都是符合其中1～3条上次编辑：2019 02 10更新, 请大致上无视之前的答案。看这两篇就够了MBTI背后的东西：金色魔王：2道题确定你的认知模式和认知过程，若要咨询请告诉我TaIb 等级E~A九型人格背后的东西：金色魔王：9个选项快速确定你的目的和整合以后的人生结构 若要咨询请告诉我1~9 ",15,4
匿名用户,关于人为什么活着的问题，说一下我自己的答案:为什么人要活着呢？因为不想活的人很多都死了啊，剩下来的人自然大多数都是不想死的，他们的后代也多数倾向于不想死。就好像长颈鹿的脖子为什么那么长一样——短的死得快，后代更容易获得长脖子基因变成长脖子。就我对意义这个词的理解而言，人活着这件事本身可没什么意义。大多数人活着，完全是靠基因里的本能而已。再加上一些多巴胺啥的时不时作为奖励，人就不想死了。一些人生的意义，人为什么活着的问题下，很多人都会说什么“还有那么多好吃的，爱自己的人，还有那么多没见过的景色，未曾体验过的美好的事物巴拉巴拉”，说到底，也不过是多巴胺之类的罢了，因为有快乐的可能，所以有盼头啊。反之，如果你看到有人说“还有那么多痛苦等着你，还有那么多恨你的人巴拉巴拉”，你怎么想？如果多巴胺啥的跑了，本能又不是强大到逆天，我们就自然而然需要找点别的来支撑自己活下去。（一些特殊情况，比如复仇之类的，这里就不作讨论了）（这个回答我有可能会回来更一下，因为还有没说完的一件重要的事，也可能不会，因为不知从何说起）去看看医生吧，找回你的多巴胺，找回你的快乐。（吃药有时候真的可以很管用）再挂个专栏，我觉得超级棒以至于忍不住分享（我把专栏里的文章几乎全看了一遍我会乱说？），个人建议倒着往前看，或者先看那些赞多的蚌病成珠↑对普通人也可以很有帮助，虽然我知道你们不会主动去看,8,1
匿名用户,我有很多想跟你们分享 可是我累的不想打字 ,8,4
李狗嗨同志,我以前也跟你一样被人活着为啥这个问题困扰。但是我都是自己憋着想，不敢问。后来找到很多相关的书看。什么都看，不挑食。从佛经道德经，看到死海古卷。从中世纪小道传说看到各类志怪故事。从人类起源看到时间简史看到宇宙大爆炸理论。后来么，发现自己装了满脑子稀奇古怪之后，出现一个情况，慢慢意识到，活着不仅仅是活着这么简单，随着这些书籍的阅读，出现了更多的问题需要思考。之后开始看黑格尔，叔本华，笛卡尔，福柯，亚里士多德，尼采，加缪等等等等最后明白了一个事儿人活着并不是为了自己的目的和利益，人是一个大种族，每一个看起来无意义的个体组合起来，就是人类。生而为人，成为地球上最高等的物种之一，几率很小，是莫大的幸运。后遗症就是，普通一般的八卦和快餐讯息，完全提不起兴趣了。就很喜欢钻到先贤和大牛们构筑的精神世界里窝着，不愿意出来。以上，解决了困扰我的关于生死的问题，但是，如果还有其他的精神上感觉不佳的状态，必须去医院看医生确定下原因。,20,4
匿名用户,很简单，因为我清楚地确定我自己有抑郁症。我知道我为什么焦躁我知道我为什么纠结我想改变，却改变不了改变不了，却无法释怀我不知道她是出于什么心里，在开始彼此互不了解的同学关系下能为我做这么多我以为她对我有意思以前也有人这样但这次不一样真的觉得，这是我余生另一半的样子我觉得我抑郁的壁垒要被打开了事与愿违可能是我冷酷的外表激起了她的同情心仅此而已她以为，这样我会好一些是，她在我身边的时候会很开心那她不在的时候呢？她不知道她可能是我一天中唯一的阳光但这终究不会长久我很讨厌自己感情受支配的状态我也害怕自己陷的太深爬不出来所以我提出了保持距离她没有惊讶，只是遗憾可我忘不掉她的好太暖了我不开心的时候就会想到她然后就恨她你为什么对我这么好却不是我的另一半不会的我内心中再也不会觉得比她还适合的人但我清楚的知道我们面前太多阻碍很久了没办法有的时候觉得真的走不动了也许活着真的很美好吧,10,2
冰冰冰冰糖,如何确定是否有抑郁症，只能去正规的精神专科医院或者三甲医院。关于人为什么而活，我可以理解为“人生的意义是什么”，我在小学的时候经常想到这个问题，那时候想着想着，就想通了——人生本来就是没有意义的。所谓意义也是人强行赋予的，比如各种追求功名利禄，追求幸福等等。整个社会世界的运转，商业、文化的存在，都是人们强行给自己生存找的理由或者说是借口，这一切本身是没有意义的。获得成功了能怎样？努力工作创造了价值能怎样？科学上有了新的发明能怎样？社会进步了能怎样？…总之，这一切并不能说明什么，只是它就存在罢了，在不断发生不断变化，是一个永不停止的、没有终点的过程。初中以后直到读研以前，我几乎没有想过人生的意义，大概是没时间吧。偶尔和同学谈到这个话题，我清晰的记得小学得到的结论，却有点不能理解了。这个想法很奇怪，人生怎么会没有意义？有那么多事情可以做可以尝试啊。我想成为xxxx，我想过一种平淡/刺激/充满挑战/的生活，诸如此类都是意义啊。。读研以后情绪跌落到谷底好久，又慢慢好转。这期间再次思考人生的意义。不断问自己，我为什么会来到这世界上走这一遭？我为什么要来经历这些…？（这些问题里包含了很多的后悔和无奈）可是，我已经来了。我就是要来这个世界上体验这一生。每个人体验到的生活都不一样。有的人悲苦一生，有的人光鲜靓丽一生，每个生命都不一样，但他所经历的独特一切，包括体会到的痛苦、快乐等等一切心路历程，无论是什么样子的，这就是他人生的意义，他就是要来体验一下，来这世界上走这一遭，而已。。,4,0
