匿名用户,我第一次走进精神科门诊的时候，医生叫了我三次我才反应过来，我什么也没说就扒开衣袖露出满手的伤口，医生立马逼我说出我爸妈的电话号码要求我强制住院。2016年10月确诊为重度抑郁症。2017年自杀未遂两次。第一次跳楼获救。第二次卧轨忘了关手机定位被闺蜜抓回来。2018年7月和我爸争吵，他醉酒后一冲动拿刀捅了自己两刀。我看着从门口洒到卧室的血，脑袋里无数只黑色蚂蚁开始爬行。我向医生讲述当时的情况时，她问了我四遍“是你爸自己捅的还是你捅的”。我开始在每个清晨大哭大闹不允许任何人和我说话，开始在深夜梦游，开始看到一只总是龇着牙凶神恶煞向我扑来的狸花猫，开始在睡梦中听到有人叫我的名字然后突然惊醒，开始在看电视的时候突然砸掉碍眼的花瓶然后回房间号啕大哭，开始频繁梦见杀人和我死去的狗。2018年7月确诊为躁郁症。2018年12月，精神完全崩溃。需要握着刀才能入睡。2019年1月割颈自杀，用的图中这把刀。抢救了两个小时，阎王爷让我回来了。睁开眼看见父母闺蜜哭红的眼，我突然想活下去了。2019年积极接受治疗，按时吃药。2019年6月开始配合医生减药。自我感觉已经恢复正常生活。2019年9月复诊，结果为中度抑郁症。父母闺蜜都很开心，只有我静静地在地板上坐了一个晚上。我以为我已经变成一个正常人了，我以为我终于摆脱抑郁症了。原来不是这样的，是我早已经忘记当一个正常人是什么感觉。2019.10.18今天二分之一的快乐来自温暖的评论区。2020.1.27新年快乐，保重身体。,33710,10609
匿名用户,评论里有些人和我回答里说的人一模一样嘛。针不扎在你身上你永远不知道痛。————————————————————————我知道这种病有药可医，有方可治。但没人愿意让我医、让我治。我知道抑郁症患者需要的是理解、陪伴和安慰（其实安慰是次要的，理解最重要）但没人愿意给你。我知道抑郁症患者最不喜欢讽刺、同情。但就是有人爱给你施加压力。即使你被抑郁症折磨得失眠、暴食或厌食、无故流泪、脱发、呼吸困难、胸口闷、记忆力下降、学习工作进度后退，甚至都准备好自杀了，即使这一切你身边的人都知道。但没人愿意帮你一把。我觉得抑郁症最可怕的就是他人的不理解、嘲笑、无动于衷、冷漠，让你的病情越来越重同时他们的不理解、嘲笑、无动于衷、冷漠也越来越强。一句话能改变一个人的一生，一句话能救一个人的命，我深信不疑。但同时一句话也能毁了一个人，更何况是来自身边最亲近人的多句带有厌恶情绪的话。我觉得抑郁症最大的好处，就是让人尝遍世间冷暖，知道被人伤害的感觉，所以不会轻易去伤害别人。抑郁症患者可从来没想过要去害人啊，即使是对那些造成他抑郁症的人。你说，这种病明明能治好啊，却没人让你去治，没人愿意帮你，眼睁睁看你去死都不理解你有多痛苦。这些难道不是最大的恶？这病还不可怕？,1274,232
松石绿,……有多可怕。我们都知道人有求生的本能，比如饿久了会饥不择食，比如溺水了手脚会扑腾甚至紧紧箍住救生者，比如地震时能爆发出巨大的力量掀翻沉重的石板。但是有这样一种疾病，它可以让人抵抗自己的本能，放弃活着的机会，不顾一切的求死。当一个人开始不择手段的以各种方式放弃自己的生命，卧轨，跳楼，吃安眠药，没有一个不是痛苦至极。当这个时候，你还不知道这是一种多么可怕的疾病吗…哦不不不Σ(°Д°;不要随便关注我啊我好恐慌Σ(°Д°;,1837,267
YZ.Bai,2020.3.2好好笑哦。2020.2.16终于终于再次解锁幻听了有什么问题可以来这里问我喔http://www.popiask.cn/cSx2Ra2020.2.5更新大家好好防疫，照顾好自己∠( ᐛ 」∠)＿可能，等我病好了，就要去挑战人类作死极限的世界纪录了（？）上星期把手术刀插手腕上，一边流血一边睡觉，结果我睡觉不老实，胳膊乱动，刀掉出去了…？？掉 出 去 了 砸 地 上 我 醒 了：）有在逼着自己过生病之前一样的日子，但是效果不是很好……也有得知长时间吃抗抑郁药物会导致英年早阿尔兹海默……不过没关系啦，降智又不是一两天的事，一年半以前就发现自己脑子不大好用了，且难以集中注意力。嗐。讲个很搞笑的事情。期末考前前后后二十天左右吧，情况比较不乐观，总是听到有人骂我，然后我就很烦躁很烦躁，就开始骂回去，结果那段时间就变成一边吵架一边学习惹。昨天发现一本那时候写的练习册，没对答案，遂快乐订正。批着批着发现我这写的都是什么玩意，脑袋里进太平洋了吧。噫，什么玩意。2019.10.23更新取匿啦。当初匿名其实是怕网络暴力什么的，后来发现大家都好可爱啊，不会说话的也就那么零星几个而已。很感谢大家，每一条评论我都有看，像各位这样善良的人一定会平安喜乐的❤️然后，这半年一直有看医生，一年半以前看过心理咨询，现在…大概就觉得反正也没啥用了，就这么过一天是一天吧。评论里有些小伙伴担心自己得了抑郁症，建议是，不要乱在网上弄什么测评，还是去医院吧，做一次正规的检查也不是很贵。————⬇️原答案前天：一次性吞下艾地苯醌X6，外加给自己两刀，一切都在一分钟内完成。（原图片被DY盗图且被知乎建议删除）————分割线十五岁生日那天：和朋友去饭店，他们俩去调料台的时候我吞了一盒阿立哌唑，吞完开始笑，笑得特别开心。洗胃的时候不让家人出去就不躺下，一边用哆嗦的胳膊支着身体一边喘着粗气。哦对了，那天是我拿到心心念念好久的、全省最好高中录取通知书的第四天。————分割线十四岁的时候：每次割腕不低于三十刀，大半年的日子每天割好几次，没地方下刀就往腿上或胳膊上划，再不行就把结痂的伤口划开。某天划开了静脉，直到现在（十五岁）还有两个明显的刀疤。中考英语听力出成绩那天看到满分以后心情跌落谷底，直到现在我都不明白自己是怎么在（幻听）听到两个音轨的情况下选对的。中考的时候因为药物副作用想吐，一边恶心一边答卷。一模语文的时候有大概半个小时断片。刚开始服药的三天里我瘦了七斤。出家门时会因为吹来阵风开始哭。————分割线十三岁的时候：某个下午讲数学压轴题的时候突然发现脑子变空了，老师说我作文和以前不一样，还有某天中午坐在卫生间窗台上往外探身子，被半个班的女同学拽了回来。下暴雨的时候要么在雨里站着要么在窗户前脑补怎么跳下去。睡前拉窗帘的时候幻听到有人叫我跳下去，看到楼下的马路有一瞬间变成了触手可及的草地。—————被折磨了这么久，我觉得我已经不是小时候人们眼里的那个聪明又热情善良的女孩子了。我是怪物。—————2019.10.26解释一下好了。活下去是因为有只半岁的猫，因为很喜欢很喜欢现在的同学，很在乎很在乎朋友们，还有外婆。没有必要私信或者评论道德绑架，什么为了父母活下去，什么自残发到网上作秀，并不是所有人都这么无聊这么闲。我放那张图是想说，抑郁情绪上来的时候，痛觉和理智基本都会归零。再说一下病因：【病因于2020.2.5被我删掉了】然后就，洗胃挺难受的，大家对自己好一点。而且，吃完药等死的那段时间不是最可怕的，后来一次又一次的揭伤疤才是最可怕的。【补充：做胃镜和洗胃差不太多（指不用麻药）】再就是，爱你的人永远守护着你，祝各位好运。——————2019.11.1新的一个月啦，也要拥有新的人生了。昨天在医院排队的时候，由于有两个熊孩子一直在嚎，嚎了四十几分钟，实在是控制不住了，真的很怕我一刀捅了他们，所以一刀割了自己。然后就，心理科转急诊外转骨科处置转住院部一顿折腾，并且由于穿着校服还在骨科认了校友（已经不能叫学长了吧2333）折腾完转回心理。做了个决定。不再开药不再看医生了。转眼两年了，一点不见起色，何必再难为自己呢。一直以来考医学院的梦想也可以收起来了，连自己都不愿意相信这些事情，怎么再拿去帮助别人呢。接下来就交给命运啦—————2019.11.8出成绩啦，语文校排名36/1440，英语23/1440但是别的好一般啊qwq分享一个夏小臭，莫名其妙不去猫砂盆：）https://www.zhihu.com/video/1176239753774735360反正推不开了不如录下来等它长大了有喜欢的猫了就给它看———2019.11.17最近一周没有伤害自己，最近一周有胃病，最近一周下雪啦，最近一周在看剧Patrick Melrose—————2019.11.23害（四声），我还是好好吃药吧，不吃药会有点精神错乱，有的时候会干一些莫名其妙的事而不自知，而且极度自我否定，非常自卑敏感。我居然在某个莫名其妙精神错乱的晚上去淘宝搜了尼古丁贴片hhhh控制自己控制自己莫要因为断药而碰了别的东西，我才十五啊不可以这样……然后就，今天晚上晕车的缘故，一直在吐…倒是没吐出来什么东西，就是胃酸返上来很多。突然卫生间的门被拉开，然后我妈突然出现并作嫌弃状：还没完啊都一个小时了。我关上房间的门依然能听到她在外面走动的声响和用力的放东西用力关门的声音。害，还能咋办呢，有点想哭，但是并不敢哭，并不想再像七月时那样因为悄悄哭最终被逼到吞药了。前两天发烧，但是因为舍曲林，体温失控，35.9-38.1反复横跳。打针的第二天血管很难找，于是就扎了六针，其中一针扎在手腕侧面，拇指下面那个位置，还有一针扎在了手腕的静脉。拜这两针所赐，左手有一天半不敢动。ummm挺好的，能活一天是一天呗，也没别的办法了哈哈哈哈哈哈哈哈。————2019.12.2低温症状有所改善，虽然还在发烧，但是在39.4到35.2反复横跳，好歹暖和了一点。量体温的时候不小心把体温计打碎了，捡碎玻璃摸到了Hg，舔了一口，嗐，有点难受x我想摸HF，想抱着一团石棉睡觉。【2020.1月初】因为长期服药不能做局部麻醉，我又不想全麻。所以做了普通胃镜。医生：这个管子到你喉咙啦，你……我：（吞）医生：……？对你吞一下………？我：（比了个ok）沉默是今早的检查室。,3260,1105
匿名用户,就是，当我变得正常的时候，我自己也会不能理解抑郁的自己。极度的敏感，无法驱散的想法。当我想要写下那些，现在，却发现自己什么都想不起。,730,77
式微待归,15年毕业后，为了爱情千里迢迢去了男朋友所在的城市，一时没有找到合适的工作，在家呆了几个月，男朋友每天上班（程序员，经常加班）。结果变得越来越害怕社交，尤其是看到同学们都在适应毕业后的工作，那么积极和美好，心理落差更大了。然后就越来越不想工作，经常就想要不自己就做个家庭主妇好了，或者找一份不用出门的工作。那段时间每天晚上都不想睡觉，不想面对白天，更不想男朋友起床去上班。熬到实在不行的时候才睡觉，一睡就不想醒来，不停给自己催眠，再多睡一会儿就能见到他了。这样的情况持续了2个多月之后，男友公司派他去很远的地方出差，我自然是不能跟着去的。男朋友怕我出事，咬牙辞掉了那一份工作，然后每天陪着我，想办法带我去外面散步，最后陪我一家家找工作。直到我步入正轨，他才开始工作。真的很感谢他，也认定了他。我现在很好，只是想起那段日子还是心有余悸。,562,97
李谊之帮抑郁互助,本文源自抑郁症救助公众号：“李谊之帮”（liyizhibang01）抑郁症有一个奇特之处，就是它既可以很可怕，也可以一点都不可怕！抑郁症有多可怕呢？它的致死率仅次于癌症；每年，中国都有20万人因为抑郁症自杀；它是导致中国青少年自杀率常年稳居世界第一的首要原因；预计2020年，抑郁症将成为困扰全球公共卫生问题的第二大疾病……而抑郁症的病因，目前尚不明确。目前能确定的是：抑郁症绝对不是一种单纯由于心理压力而导致的心理疾病。它是存在器官病变的！我们都知道，我们的神经系统由数以亿计的神经元组成。这些神经元内传递信息的方式，可不像电线导电那么简单。每个神经元内部，都如同一个中转站：上级神经发放传递介质，传递介质负责传递信息，下级神经接收好信息后，传递介质再回到上级神经，多余的介质就会被销毁。而“快乐”本身作为一种信息，在传递时，如果任何一个环节出现问题，都有可能导致抑郁症。所以，对于患者而言，抑郁症的可怕之处，在于它就是可怕本身。由于积极的信息无法通畅传导，患者在发病时，满脑子都是负面信息在不停循环。举个栗子：假如患者不小心打碎了一个玻璃杯。一般人对这件事情的想法，无非就是比较自责，然后把它收拾好，之后这件事情很快就会过去。但抑郁症患者的心路历程，则迥然不同：我居然连个杯子都拿不好！我怎么可以连这么简单地错误都会犯！爸妈又该说我了，怎么办？我真是没用，连这么简单的事情都做不好！连这么简单的事情都做不好，我简直就是个废物，一无是处！爸妈因为这个骂我，他们为什么要因为这么点小事骂我啊！我在他们心里连个杯子都不如吗？我不但是个一无是处的废物，在父母眼里连个杯子都不如，根本没人关心我、在乎我！这样的我，活着有什么意义？！简直就是在浪费粮食和空气，还给别人添堵。不如死掉……所以你看，由于无法拥有正面情绪，生活中的任何一点小事，都有可能让抑郁症患者产生非常大的情绪波动，陷入无限的自我否定中，无法自拔。这就是为什么抑郁症的自杀率可以这么高。因为患者几乎每时每刻，都无法停止对自己的否定、厌恶，同时却完全感受不到希望，也无法看到未来。但这却并不是抑郁症最可怕的地方。抑郁症最可怕的地方在于：作为一种精神科的情绪病，患者很难得到其他人的支持和理解。人们不是将患者看做“想太多”的做作、矫情，嗤之以鼻；就是将患者和“精神病”人群混为一谈，唯恐避之不及……这些行为，都给情绪本来就无法自持的患者，带来了无尽的压力。事实上，抑郁症患者所面临的主要压力，正是外界的不理解。这并不是空口无凭，在我的“李谊之帮抑郁互助群”中，这样的父母屡见不鲜：认为抑郁症只是精神疾病，不需要吃药，总是劝阻患者吃药；不承认患者病了，认为医生都是为了骗钱，而且将药物看做毒品，谈吃药色变；认为患者是魔鬼附身，需要的不是治疗，而是“驱魔辟邪”；将抑郁症等同于精神病，认为承认这个病，就相当于承认患者“疯了”，对患者的任何疾病症状都极度避讳、视而不见、讳疾忌医；将确诊的患者当做“疯子”，嫌患他们丢人，严密监视患者，不让患者出门、不让接受治疗，更不让患者接触病友；……更遑论那些将抑郁症患者视为“懦夫”、“弱者”、“博眼球”等等的社会键盘人士。他人的支持和理解，能极大地帮助抑郁症患者迅速康复。而现在这样的社会环境，抑郁症患者各个都有非常强烈的病耻感，将自己完全封闭起来。这就极大地延缓了患者的康复进程。作为一种让人时时刻刻感受绝望的疾病，如果其外部环境一直在不断加剧这种绝望，甚至阻止患者去缓解这种绝望，就只会让病灶更深地扎根在患者的体内，成为患者难以摆脱的“精神的癌症”。这是抑郁症的可怕之处。而抑郁症的不可怕之处就在于：患者的主观意愿，对治疗效果的影响非常巨大。只要患者治愈的意愿足够强烈，“精神的癌症”也可以只是“精神的感冒”。抑郁症是精神类疾病中，最容易治愈的疾病之一。也是愈后效果最好的疾病之一。治疗方法也相对并不复杂：药物疗法+非药物疗法。药物疗法稳定情绪，非药物疗法打开心结。只要找到适合自己的药物、没有半途而废、非药物疗法得当、治疗周期足够，抑郁症是很容易得到治愈的。但这一切的前提和关键都在于：患者的治愈意愿。如前所说，抑郁症患者很难产生和感受到积极情绪。所以能够主动产生治愈意愿的患者，并不很多。这就是为什么，家人、朋友的支持理解，能够对患者产生非常大的影响。因为只要让患者感受到自己是有人在乎、有人爱、有人欣赏的，他们就能产生相当的治愈意愿。所以，你问我抑郁症可怕么？我只能说：它是否可怕，关键在于你。如果你是患者，它的可怕与否，在于你是否愿意治愈它。如果你不是患者，它的可怕与否，在于你是否愿意支持和理解患者，让他们愿意去治愈它。-------------------------------------------抑郁症救助公众号：李谊之帮（liyizhibang01）科普抑郁知识，分享自救经验，郁友抱团取暖往期文章：抑郁症就医必备常识抑郁症药物治疗必备常识抑郁症非药物治疗必备常识,128,9
LINNAD,在我的抑郁症走到重度之前，我都没有意识到，抑郁症究竟有多可怕。第一次接受心理咨询是高三时候，失恋加上学习压力，我经常没有理由的大哭，崩溃，然后在主动要求下，妈妈带我进行了人生第一次心理咨询。咨询过程中数次大哭，但是咨询过后，我感觉心里前所未有的舒畅，好了，我以为这一关我过去了。第二次是大一入学，全体必须接受心理普查，普查过后我被辅导员通知，学校抽查我谈话。去了心理咨询中心，才被告知，这绝非抽查，而是根据测试结果，我有抑郁倾向，所以学校从当时开始会定期追踪我状况。当时我个人感觉，还好吧，确实如测试结果，可能有点抑郁情绪，但是在自己调节范围内。于是就这样又过了两年半，大三升大四的时候，我终于没能躲过这一劫。尽管之前情绪一直也反反复复，状况并不好，但是到了这个时候，我才第一次感受到害怕，因为那是一种完全脱离我自己控制的状态——在准备出国各项考试和申请的过程中，我还在在财政部实习，还要同时着手毕业论文开题，压力大是必然的，但是这绝不是一蹴而就的崩塌，而是三四年以来点点滴滴无法排解彻底的情绪，终于在一个时间点，在可能小到我自己都意识不到的诱因下，爆发了。因为太多事情容不得我喘息，我居然就那样挺着多项任务同时进行，直到寒假回家过春节，有种绷着的弦终于断了的感觉。我先是没日没夜昏睡了几天，然而那种疲惫感挥之不去。在我认为体力该恢复的时候，种种症状才让我意识到，这绝不仅仅是疲劳的问题了。我每天浑身没有一点力气，走路像在漂浮；整夜整夜睡不着觉连续十几天；学习效率极低，记不住任何东西，气的自己锤自己的头；没有理由的大哭，想要摔东西；甚至，我开始害怕见人，哪怕是网上和人聊天，我都会装作看不到，不回复消息，和人来往真实的让我产生了生理上的恐惧……大家可以想象一下，失眠整夜或者通宵一次后，身体的虚弱，如果是连续十几天这样……总的来说，我变成了一个废人。我在家躲了一个月，直到寒假结束，状态依然每况愈下。最可怕的是家人的不理解。我的父母都是60后，他们的观念里，我们90后从小物质条件从不缺乏，比起他们当年，有什么苦可言？一切都是因为“承受能力太差”“矫情”。大概只有抑郁症患者才知道不被理解的杀伤力，我是一个很怕死的人，但是后期，我真的，每一天，都想我怎么死才好呢？我很想现在就从楼上跳下去，也想割腕，可是万一死不了呢？后来我甚至开始讨厌自己，恨自己没用，觉得我是真的矫情，为什么生活里这点事情都扛不住，我是所有人的拖累，我做什么都不配。抑郁症严重了还有几个典型的症状，就是对任何事情都失去兴趣，没错，是任何。花钱购物，拍照，旅行，和人沟通，甚至美食这种人类最原始的多巴胺源头，对我都没有了作用。我恨自己为什么振作不起来，我一心求死。救了我命的，一般是自己，一般是我抑郁之前，身边已经抑郁的朋友。如果不是她给我讲述过她的心路历程以及当时的种种症状，我不会那么坚决的想到去自救。当我越来越意识到，我可能是生病了，这种自我认知救了我。后来我经常听到很多身边的案例，抑郁症而不自知最可怕，因为你甚至不会想到去求助、求医。我终于鼓起勇气跟妈妈说，我觉得自己可能真的生病了，而且应该已经不轻，我想要去医院，我想要得救，我，真的熬不下去了。当时我的父亲作为一个心大刚毅的铁血汉子，还是不能理解我的，但是他也察觉到我的反应变得迟钝，我的目光变得空洞而呆滞，他终于也害怕了。感谢我的妈妈，陪伴我，去了医院，进行了检查和会医。重度抑郁。当时的医生是个慈祥的老爷爷，我讲述完我的症状之后，他说：“孩子，你怎么才来啊，你一个人熬了这么久，该多难过啊。”当时我一下在医生办公室就嚎啕大哭出来，哭到浑身发抖无法站立……终于，有人告诉我，你是生病了，像感冒一样，治疗就会好，你不是脆弱，也不是不正常，你只是生病了。当时妈妈还是害怕抑郁症的精神类药物有副作用，想让我接受其它方式的治疗，一声说了一句话：“现在如果不服药，她收的折磨和身体受到的损害，远比那一点副作用严重太多。”我妈妈当时同意立刻服药。于是在医生的剂量嘱托下，我开始了抑郁症的治疗。我服用的药物是盐酸文拉法辛，前十天每天75mg，身体需要适应，之后增加到150mg每天。我当时满怀着希望，像是在泥潭和沼泽中下沉的人抓住了岸上的一只手，开始了服药，但是身体适应期的反应也是很明显的。我吃什么都会反胃或者吐出来，我的心脏跳得很快，我开始尿频，我肌肉无力。还好，短暂的十天过去，我发现了曙光。除了由于无法正常进食，我一个1米73的女生从102斤瘦到90斤，我开始能够十点就睡着了，早晨六点自然醒，我好想平静了许多，我不是那么沮丧了，虽然感觉还是麻木的，但是我可以接受偶尔出门吹吹风了。没错，就在我在家里躲了将近三个月，以为我要延毕的时候，在药物的作用下，我活过来了，在毕业预答辩前一天赶回了学校。其实我的生活也只是很平淡无奇，但是经历过那种黑暗，我仿佛死过一次，重生了一样，我终于可以像个正常人一样生活了！那是北京多么美好的4月啊，桃花开遍，天气转暖，我的大学时光要结束了，我要出国继续深造了，一切本该很美好的，我有时候甚至会在早晨散步时候听到小鸟叽叽喳喳的鸣叫就留下眼泪来——我真的，觉得很幸福，我还活着。在看医生前的七八个月里，我忍受着抑郁症各种症状的煎熬，心理的折磨，身体的消耗，由于失眠严重，我的头发大把大把的掉，因为心情总是很压抑，期间我痛经严重到有一个月，止疼药起效之前，我已经在床上疼到休克，再次苏醒过来已经过去三个小时了，浑身被汗水湿透。另外之后全面体检时候，还检查出了甲状腺结节，胸部多发结节，据医生讲这些问题的成因不是具体事件，但大多是由于情志方面，心情不畅，生气所致。我本是一个很活泼，爱交际的人，抑郁症期间，我的所有社交网络：朋友圈，微博，甚至别人给我发短信，我都一律不回，整个人消失状态，当我服药渐渐正常后，我发了一条微博：当时真的是哭着打完这些字，感觉很幸运。虽然现在还在服药，也会有不开心的时刻，可是生活本来就会有晴天和阴天啊，我可以接受这些，只是，再也不要让我回到极夜的状态了，永远在黑暗里，看不到尽头。我好感激我的爸爸妈妈，陪在我身边的朋友们，虽然我很抗拒的想要推开你们，你们还是牢牢抓住了我。太阳尚远，但必有太阳，服药一年半了，我会继续抗争下去，努力生活！——————————————————————————————————————小插曲：开始家里人很担心我的状态出国留学不适合，想让我gap一年，但是我觉得我可以的，所以带着医生诊断证明和一年的药孤身来到纽约。其实换了环境之后状态还是挺好的，虽然学习压力不小，但是心态是正常的，错在我来美国8个月后，擅自减少了药量。我真的，太想太想彻底痊愈了，我很害怕药物只是我的假肢，要一直伴随我我才可以运动，我希望它只是拐杖，借助它的力量，我还是会自己康复，自己奔跑的，总有一天我会丢下拐杖。减药开始身体都很正常，但是中途因为回国实习找工作，环境的变化和刺激下，我，复发了。我去北京安定医院复查，在还在服药的情况下，结果仍然是轻度抑郁。不知道当年萎缩的海马体有没有恢复好，记忆力倒是还行总的来说，是自己作死了，因为这次停药，我服药的时间又延长了。哎，所以说，和抑郁症斗争是个持久战，不能着急，我还是会继续遵医嘱的。,780,160
「已注销」,之前看到过一段话当时抄了下来（字迹有些潦草，看不清没关系，后面有翻译）不才的翻译：一开始，我只是挣扎于一些不足挂齿的小事儿，但我常常选择忽略它们。我告诉自己：“这只是暂时的，一切都会过去的。这只不过又是一个糟糕的日子罢了。”渐渐地，我习惯地戴上了社交的面具，我继续在令人窒息的社交生活中挣扎。我不得不这么做，换做别人，他们也会这么做的。我每天努力自导自演。那些曾让我欣然的小事，在我看来渐渐地变得毫无意义。恍惚间，我发觉世间的一切都慢了下来，像是一个无尽的慢镜头。我感觉快乐永远地离我而去了，永远。我继续躲在自己的蜗壳里，亲手毁掉了所有的社交关系。最后，我选择了这个蜗壳，在这里，没有人会问我任何问题。这就是抑郁的感觉吧。--------------分割线---------------感谢评论区@鱼书原视频网链接:http://m.v.qq.com/play/play.html?coverid=yh7zt4fjfck7afw&amp;vid=l0329w5emy9&amp;ptag=2_5.4.0.11652_copy,211,40
谭靖东,手痒，不邀也想答……以前看到过一个医生对抑郁症的一种归纳概括，大体意思是说：抑郁症患者缺少一种找到事情的“意义”的能力。对，就是意义。普通人做或者经历一件事情，都会知道这件事情导致什么结果，这里面有正面的也有负面的结果，这就是事情的“意义”。而一个乐观的人，是会更多的找到事情的正面的意义，从而反馈加强去做正面的事情，这可能是人类在生物进化中形成的一种思维机制。典型的例子：正常人学习的时候，会“联想”到自己在积累知识，将来能通过考试，能换来许多幸福等等，而一个乐观的人，比如一些革命前辈，被关进集中营了，还会觉得自己可以深入敌营开展独特的革命工作，将来还能为革命立功等等。这些联想到的“意义”，能激励人持续做或者承受当前的事情，但是对于抑郁症患者，他们无法发现任何事情的“意义”，因而全身都失去了做或者承受事情的力量。就像 @苟渝 提到的无意义的劳动一样，没有“意义”的事情非常令人焦躁。我们在日常生活当中，哪怕再枯燥的工作，比如搬砖，也至少具有赚钱或者增加另类体验的“意义”，哪怕是很多“无用功”，在做的时候起码是预期会有用的。比较类似的体验，可能是找东西。有时候我们为了找一样东西，会反复的查看我们以为会在的那个位置，但每一次查看我们都知道不会在那里，这时候我们内心中同样是没有找东西这件事情的“意义”的，这时候那种焦躁的感觉可能比较类似。再比如，当我们遭遇重大打击例如失恋的时候，我们走在大街上茫然不知要去哪里，因为此时对我们来说走到任何地方都是没有“意义”的，此时吃饭睡觉工作是没有意义的，甚至打架杀人被关进监狱也是没有意义的（所以我们不惧怕打架杀人被关进监狱）。对普通人来说，体验到没有“意义”只是偶尔发生的事情，而对抑郁症患者来说，这是常态甚至是所有。想像一下你每天都处于失恋时候的心理状态，或者你每一分钟都在找一件不存在的东西，那是多么可怕。抑郁症患者就是这样，对他们来说，工作、学习甚至是休闲娱乐都是没有意义的，我个人琢磨着，可能抑郁症患者脑袋里没有“未来”这个概念，一切行为都不通向“未来”，但是他们的理性思维又知道这些事不得不去做，所以抑郁症患者总是说“活得累”，你想总是做无意义的事情能不累吗？抑郁症患者会拒绝就医，因为在他们脑袋里就医并不通向康复的“未来”，所以就医是无意义的。更所以，抑郁症患者会选择自杀，虽然自杀同样是没有意义的，但是自杀至少能终结其他一切无意义的劳累。当然，一些轻度的抑郁症患者也并非完全感受不到“意义”，他们只是无法“创造”新的“意义”，所以他们会抱守着一些以前曾经拥有过的“意义”，例如，好好读书，将来能成博士；或者，好好抚养孩子，将来他能长大成人等等，这样的轻度抑郁症患者好一些，他们看到考试成绩或者孩子长高了，会笑一下。但是有限的意义就像有限的能量一样，如果你不能输入只能输出，终究是会用完的。如果因为某种原因使得这些意义不再具备实现的可能了，例如，孩子生病死了，这个时候抑郁症患者由于不能创造新的意义，抑郁症患者会陷入完全没有“意义”的世界，也就是重度抑郁中，比较常见的就是自杀。作为对比，如果是一个乐观的人，会从孩子生病死了这件事情之后发现或创造新的意义，例如可以自由的环游世界，可以重新组建家庭收养孩子，可以热心社会公益等等。所以我个人也并不认为，对于抑郁症患者，陪伴、支持之类的会对其大脑机能产生有益的影响。这些做法只能帮助其维护过去曾经拥有的“意义”，如家庭、友谊、安全感等等，但是并不能有效地使其重新获得创造或发现“意义”的能力。吃药大体也是治标不治本的，吃药能缓解无“意义”带来的情绪和生理反应，但是依然不能帮助他们创造和发现“意义”。抑郁症患者的痛苦，远远不是他们用语言告诉你的，某某事情想不开之类的那么简单。因为他们说出来的，只是每一天经历的亿万个瞬间当中，当中的一件可以对你说的事情而已。每一秒钟，他们都觉得世界是没有方向的、没有颜色的、没有韵律的，最重要的是，没有未来的。他们每一秒钟都在失恋，每一秒钟都在落榜，每一秒钟都在丧子、每一秒中都被困在迷宫里，每一秒钟都在等死。就是这么可怕。,996,140
