匿名用户,两年后的更新:题主修改描述了。这是原版问题2017.4.24————纵然题主这样的恶意充满生活中每个角落，我仍然要为所有抑郁症患者站出来说句公道话，不要以为把矫情懦弱装逼这些词往我们身上贴，就能证明你活得比我们坚强伟大，抑郁不等于低人一等，抑郁不等于尊严能让你随便踩。————————————————都散了吧，看了下题主的回复，她不是来问抑郁症去检查能不能假装的，单纯看不惯人家而已，就别贴上抑郁症的标签招黑了。————————————题主把抑郁症想的太简单了。我在去医院确诊并且告诉室友之前没人看得出来我抑郁，该吃吃该喝喝说说笑笑，毕竟谁也不可能满世界嚷嚷我心里难受。还有理智的时候就能维持正常社交活动，没有人喜欢别人把自己当异类的。尽管心里那种痛苦和绝望是真的随时快把我推下深渊。脸上挂着笑，心里把自己诅咒了一万遍，活着的每一天都在自我攻击。医生确诊抑郁症也不是根据患者说几句我失眠我想自杀来定的，有很多专业的检测，包括心理的和生理的，这些都是几十年来医疗技术研究的成果，不要把医学想的那么肤浅。心理检测题之所以专业和准确，就在于它是从最细微平常的地方挖掘出你的问题。没有那么容易伪造抑郁的答案。如果你不相信可以去查查资料，哪怕随便百度一下，总比主观臆断好。看到这个问题真的特别难过，可想而知多少患抑郁的人身处的是什么样的环境，周围的人是如何看待，多么无助。当一个个身边人说出“你就是脆弱”“你就是不够坚强“抑郁症吃药是为了寻求心里安慰吗？”这种话。心如刀割。我们不求外界给予多少理解温暖和关注，只求不被排挤指责嘲讽取笑，只求被当做一个正常人，感冒了发烧了的正常人。想了很多却无法写出来。我仍然希望所有抑郁症患者都能被世界温柔对待，没有人不想好好活下去，在鼓起勇气去医院之前他们一定一个人做了很多努力，自己已经无能为力，才会去寻求医生的帮助。真的不希望这种为了活下去而做出的努力被看做什么装逼矫情事多。无论她是不是装的，就当她是真的抑郁，希望题主，以及看到这个答案的每个人，在得知别人患了抑郁症的时候不要再去恶意的揣测什么。你一时兴起的一句嘲讽流传到抑郁的她的耳朵里，真的可能成为压倒她的最后一根稻草。你可以不相信，可以视而不见，但是请不要做将别人推下深渊的帮凶。————————如果不是真的痛苦万分，谁愿意把自己套上这种病，答主吃药一年半，抑郁已经基本痊愈，但代价是药物副作用带来的肥胖四十斤，记忆力减退。我才二十四岁，却成了个一百四十斤的胖子。可是如果回到当初再让我选择一次，我还是愿意吃药，我想活下去，好好活下去。______再更新一波，很多小伙伴私信评论问自己到底是不是有抑郁症，答主觉得第一去医院看，第二自己判断。如果你长时间的，持续的，觉得内心及其痛苦，无法面对生活，觉得维持不了一个正常的心态生活下去，而且不是因为某个因素一段时间的影响(比如失恋、亲人离世等)，这些事情会让你消沉一段时间，但不可能很久。那多半就是抑郁了。其实自己心理到底有没有出问题，自己最清楚，因为大家都正常过，都知道健康的人日常生活是什么感受呀！还有，回答这个问题是出于不爽题主这种没品的人恶意揣测别人，针对问题本身，究竟能不能诱导医生做出诊断，我认为其实是有可能的，就像你没病但是去医院跟医生说我心脏疼我喘不上气，医生还是会以你有心脏病为前提去给你检查，因为医生要尽量做到不漏诊不耽误病人可能的治疗时机，毕竟去医院看的人多数是真正的病人。而心理疾病又不像是生理性的病有很明确的病变能观察到，有时候你各项指标正常，但你跟医生说你确实感到及其痛苦，那医生还是可能会诊断抑郁的，不是每个人都符合所有判断标准，医学上对于抑郁症的研究也没有到很确切的地步，没病吃药治疗顶多有些副作用，真的有病医生没诊断出来，到时候自杀了算谁的锅呢是不。当然医生多半不会这么草率就是了，至少答主遇到的医生都很有耐心的跟我聊了很久，之后去复查有了好转，医生也为我开心。虽然不排除那种想获得别人关注而假装抑郁的个例，但是以我们国家的情况来说应该大多数人都会想着坚持一下自己熬过去了，实在撑不住了才会想到去看病吃药，去看精神科可是要被人有色眼镜看待的呢。,2431,291
正你不认识我,如果我告诉你，很多抑郁症患者表面看上去比正常人还要励志，完美，甚至无懈可击，你会怎么想?自我批判性完美主义者更容易抑郁，这类抑郁的根本在于，他们非常在意别人的看法，他们的自我跟自己能否完美的维持成就和保持他人的喜爱息息相关。而avoidance人格，让他们无法享受成功的喜悦，却对失败非常执念，也不肯不敢对人敞开心扉，自己扛，不想麻烦别人是他们咨询时常用的理由，他们认为自己的义务是让别人开心，而不是让别人倾听自己的难处。他们内心越是备受折磨时，他们表面上就更加努力，社交时就越是温暖开朗。他们生怕别人发现自己的秘密，知道自己是表里不一，不值得爱的人。他们拼命的试图得到别人的认可希望可以找回自己存在的意义，可是却正是因此越陷越深。抑郁症的样子并不是大众所想的那样，而且并不是所有抑郁症的表面现象都一样，相反，很大比例的抑郁症，包括其他心理疾病是悄然无声的。而正是因为题主和大众对于心理疾病戴着有色眼镜的人，导致更多人不敢承认自己是患者，默默忍受煎熬，直到无法挽回。国内应该使用的是WHO的诊断方法，我们按照APA DSMV，抑郁症就是常常很累，浑身无力，对往常的感兴趣的事情也提不起兴趣，无法起床，无法睡觉，失去动力和食欲，一直情绪低落，或者会有很开心和很伤心的短时间循环，自我否认，等等等等，维持两个星期以上。有没有可能误诊，是有可能的。因为本身这件事的“度”就不是非常明确的，两个星期这个时间限制只是一大堆专家为了一致性打成的协议，而每个案例有每个案例的特殊。所有人都在某种意义和程度上有心理问题，就像每个人是身体或多或少都有点不健康的地方一样。可是并不是所有的人都去看医生对不对? 而且每个人对这些问题的承受能力不一样，对其了解不深或者不重视。我们把心理问题换成身体上的问题大家就明白了。比如我在深呼吸时，后腰和胸腔有轻微的刺痛感，我会警觉而后去看医生，不是因为这个疼痛影响我生活，而是因为我知道这很可能是更大的疾病的前兆。但是我父亲绝对就不会，他甚至不会觉得有任何问题。又比如，我手指错位了，我会找医生接回来，我父亲会自己接回来，虽然导致他至今有一根手指受不住力。我父亲承受痛苦的能力比我强，又因为不了解所以不是很重视自己的身体健康。而且这里面还有时代变化的因素，最早人类注重传染疾病，因为它们导致了最多的死亡，而后人类开始注重心脏病和癌症，因为它们杀死最多人。再往后，我们开始注重糖尿病，高血压，等等影响生活质量的疾病 而发达国家已经非常注重心理健康，因为随着传统疾病的治疗和预防，它在逐渐成为新时代的“大杀器”并且极大的影响生活质量。我相信中国也会逐渐步入这个时代，只不过稍晚一点。如果把心理疾病想象成身体上的疾病，(心理疾病多半都有生理原因，所以严格来讲也是身体上的问题)想象一下，如果都是像题主一样的人，你去医院还要被说三道四，那么结果究竟如何。。。。。话再说回来，其实“误诊”本身的意思，在心理疾病方面，就是个很难定义的事情。大部分情况下医生决不会否认你有抑郁症，按照humanistic approach只要你自己认为这种状态影响了你的生活，你就有权利寻求帮助。有没有可能有人假装，导致误诊。如果这个人完全正常，那么可能性极小。虽然在填诊断表格的时候可以人为导致自己“抑郁”，但是除非你是演技派，并且事先学习了大量心理学知识，不然在咨询过程中一定会出现自我矛盾的地方。早起看到，匆忙回答。有空整理,848,68
神经喵,只能说有可能，但是抑郁症不是假装的，医生应该有判断标准……（评论里有说抑郁症检查需要测试心电图以及脑电波~）对于失忆症是有判断标准的。就是利用电击造成的条件反射来检测，如果的确是失忆就不会记得上一次电击，假装的话条件反射的会下意识的避开电击选项。期待专业人士的解答，我也很好奇。看了下其他答案。都觉得抑郁症不是病。不是病是吗？只是心情低落是吗？抑郁症自杀率高达30%，其中15%的人自杀成功。死亡率仅次于癌症。够了吗？还觉得不是病吗？请！不！要！把抑郁症和你们开玩笑说的那种鬼东西混为一谈好吗？！！！请认真对待抑郁症好吗？？？？？？持续两周以上并且一直情绪低落出现各种抑郁症症状的才是抑郁症！！！你特么抑郁了三个小时别人一个电话来「一起吃火锅啊」你「好啊好啊」开心的就去换衣服了的这特么叫抑郁症？？？肯定有人要说了，你是「微笑抑郁症」那你很棒棒哦！要不要把你亲亲抱抱举高高？你微笑就是在开心，抑郁症那完全是装笑好吗？？？抑郁症微笑很难受的好吗？？请不要拿心理疾病开玩笑了好吗？？？真觉得自己有病看病去！！到处跟人说我抑郁症我强迫症你是把所有人都当精神科医生是吗？嗯？,749,126
包安达,2019年7月到另外一家大医院检查被确诊为“双相障碍”，过去两年多按照单相抑郁治疗的效果不佳。还是得看医生水平如何，医生诊断除了面诊之外主要参考的检查内容有各种心理测量表，脑电图，近红外脑成像，超慢脑涨落分析（这里面有两部分数据，递质功率和相对递质功率，后者有一定参考价值，前者几乎没有）等。————2017.4.24————很多回答在批评题主，我对这些回答和题主的事件描述都不发表意见，我也不想描述身为抑郁者的心理活动，因为我认为每个抑郁者的病因不尽相同，感受也不尽相同，所以我仅仅通过自己的经验来简单回答一下标题中的问题，『假装抑郁去医院查会不会诊断为抑郁症？』。抑郁症的诊断我所知道的（或者说我经历过的）有两种，一种是SDS抑郁自评量表，这是我去学校的心理咨询室咨询前做过的，并且咨询师将表的内容和得分纳入参考，由于我的得分偏高咨询师建议我去医院检查。我认为自评表如果要作假应该是比较容易的，有意识地多选择一些负面选项就好了。但是咨询师也不是吃干饭的，会有目的性地跟你聊一些问题，越好的咨询师越不好骗。另一种具体我说不清，我去医院精神科检查，医生给我做了好几种类似脑电图的东西，我不记得那些检查的具体名字了，什么什么诱导之类的，最后检查出来的结果主要是脑电相关和脑内各类神经递质水平相关的数据，医生说诊断抑郁时主要参考的是5-羟色胺水平，5-羟色胺水平过低是比较常见的一种抑郁的直接原因，至于其他参考的数据我并不太清楚。所以从这个角度来看，抑郁症是有生理病理基础的，抑郁症的诊断也是要参考一些病理检查结果的，这一点上是没办法假装的。所以我的结论是『完全没有抑郁症的人假装抑郁去医院检查是不会被诊断为抑郁的』另一方面，即便当事人可能是假装的，我认为一个人不会无缘无故想要假装抑郁，肯定有一些令他痛苦的原因，而这个原因背后也很可能隐藏着更深的生理或心理的伤病。这一点上我想表达的是，『如果一个人假装抑郁，去医院检查却被诊断为抑郁症，那他很可能是真的抑郁，而他的抑郁很可能也是他假装抑郁的原因』,281,50
皮皮爪,题主，请你自重。当你用相对恶意的话语评论你知之甚少的领域时，你已经和喷子相去不远了。而且你很可能伤害一个本来就已经抑郁的同学。你并不是经历过她所经历的一切。抑郁症并不是随时随地能表现出来的。有的人害怕黑夜，对自己面对这世界无能为力的恐惧。有的人害怕孤独，在一个人的时候会有遗弃感。有的人甚至害怕热情……我算起来抑郁史有7年了，但在一年前陪另一个抑郁朋友去开药，开玩笑说查查看，才确认了自己的中度抑郁和社交障碍。我当时还有点小兴奋，这年头没有个什么病哪里正常啊，还是这么时髦的心理疾病。但我和身边的人说起来的时候，几乎都回复我：你社交障碍？骗鬼的吧。甚至我去学校教病历的时候，书记聊了会说：这么阳光的小伙子，你这病历不会是假的吧哈哈，开玩笑开玩笑……对，我不会诧异他们这样的评论，因为和他们相处的时候我自己都觉得自己很阳光，我可以很快的和新认识的朋友打成一片，朋友的忙也能帮就帮，这得益于家教和老师的教诲：让自己的存在使别人感到幸福。我努力在做，外在的形象似乎有些美好，但是抑郁这东西是从内心侵蚀你的。做梦几乎是噩梦，在半夜有时惊醒就睡不着，会胡思乱想一晚上，胸口闷的不行。怀念以前的事情，后悔之前的错误，反复折磨自己的内心，对未来失去了信心，什么也不想干，什么也不敢干。容易一触即怒，但在朋友的面前表现的很平静，不会表现给他人，让自己的情绪带坏别人。但内心总有伤害别人的欲望。我们都知道不对……但我们毫无办法。所以题主你明白了吗？并不是她假装抑郁，而是她假装坚强。请珍惜你身边每一个人。………………假装分页了………………我拉了一个收藏夹，小伙伴可以看一看哦https://www.zhihu.com/collection/447879164给信任的人分享一下你的感受哦，大家快点好起来哦。https://www.zhihu.com/video/1182928155886702592这两个小姐姐真的很给力哦，抖音@陈薏仁,178,44
哈里,根据题主的描述我不能确定对方是真抑郁症还是假抑郁症，但是题主内心阴暗、心理不健康是肯定的。建议题主去精神卫生中心去查一查，及时治疗。切忌讳疾忌医。,221,9
了不起的莴苣公主,你不喜欢她就算了，干什么非要扯上抑郁症呢？你以为她大哭大闹的和医生说我得了抑郁症，医生就赶紧点头哈腰的开个单子？？？哦那这样我也去当这样的医生好了。你以为心理医生学那么多年的知识都喂狗？我知道感冒发烧的症状，可能捂热脑袋，在腋下夹一个热水瓶，可以勉强在医务室开个假条。也都不敢真正去医院看。可是每个人抑郁的症状完全不一样啊。抑郁也不是心情低落。很多人食欲不振，我还总会暴饮暴食呢。我装的途径都没有，无从下手。最后，抑郁症不是每天不说话，或者除了哭什么都不会，一言不合就自杀。和感冒一样，抑郁症只是我们作为人类得得一种病，而不是取代人类这个属性的性质。我们依然可以社交旅游读书写字。我相信题主也不是真的恶意只是不了解抑郁症但是无知比恶意更为可笑也可怕所以麻烦您下次想清楚在提问题别他妈瞎逼逼,132,5
初之,如果你能在半个月内瘦10公斤，你去医院或许会有医生给你诊断为抑郁症。如果你能让你的眼神木僵，充满绝望，路人一眼就能看出你要么精神不正常要么遭受了非人的摧残，那或许会有医生给你诊断为抑郁症。如果你能超过两个星期不跟任何人接触，别人问你问题的时候你都很木僵的给出一些细微的回答，那或许会有医生给你诊断为抑郁症。如果你能超过两个星期不停的流眼泪，整个脸都是肿的，行动迟缓，抽血后有甲减状态，那或许会有医生给你诊断为抑郁症。如果你能对你所有喜欢的东西不感兴趣，是女生你不买化妆品，你每天蓬头垢面的蜷缩在被子里不睡觉不说话不玩手机不找男朋友，不吃自己爱吃的所有东西，甚至要人逼迫强行才能进食（因为我是女生所以我不太了解男孩子抑郁发作时的情况）那么或许会有医生给你诊断为抑郁症。如果你可以超过一个月把自己锁在房间里不说话不跟任何人接触，爸妈担心到拿钱求你出去逛街看电影买东西你都不为所动，甚至连表情交流都没有的话可能有医生给你诊断为抑郁症。如果你可以在人群密集的地方呕吐到血压下降，口水一直溢出来那么可能会有医生给你诊断为抑郁症。如果你可以突然全身脱力，沙发离你只有一步距离，上面就坐着一个你的亲人朋友或者爱人你都没办法呼救，只能一个踉跄扑在沙发上一声都哼不出来，或许会有医生把你诊断为抑郁症。如上所述，抑郁症不是单单的情绪不好。就算你可以看虐文天天哭，就算你真的可以绝食让自己半个月内瘦十公斤。就算你甚至可以控制甲功，让你的化验报告上写着甲减三个字。但发病时候得生命体征越来越虚弱，肉眼可见的肌肉痉挛，眼神涣散我认为不是常人能装出来的。如果以上所说你都能伪装。你装抑郁症干嘛？？？？奥斯卡奖下一个得主就是你了啊。,148,59
匿名用户,题主既然要这样揣测，何不自己去医院试试？真的骗过医生，那你就好好吃药，体会下抗抑郁药物的花式药物反应：恶心呕吐嗜睡乏力昏沉迟钝发胖...这不是矫情的人能承受的，这是勇者为了不放弃自己所进行的抗争。,90,17
万事屋的,这是精神科╱心理科医生被黑的最惨的一次,70,9
