nsym,心境,内心,心情,感受,心态,自觉,精神状态,,,,,,,,,,,
vdescription ,低落,低下,不济,欠佳,,每况愈下,不振,极差,很差,堪忧,,,,,,,,
nsym,情感,感情,内心,感性,人性,心灵,感受,内心深处,特质,理智,,,,,,,,
nsym,情绪,焦虑,情感,心理,意识,冲动,心态,恐惧,歇斯底里,精神状态,,,,,,,,
asym,抑郁,抑郁症,焦虑,忧郁症,忧郁,精神分裂症,精神病,癫痫,焦虑症,躁郁症,,,,,,,,
asym,悲观,乐观,沮丧,苦闷,平淡,软弱,冷漠,,,,,,,,,,,
isym,闷闷不乐,伤心,郁郁寡欢,,,,,,,,,,,,,,,
nsym,兴趣,浓厚兴趣,有兴趣,天份,爱好,热爱,天分,热情,好奇心,感兴趣,,,,,,,,
vdescription ,减退,消退,大不如前,,变差,急剧下降,,,,,,,,,,,,
isym,痛不欲生,弥留之际,愧疚,悲痛欲绝,,,,,,,,,,,,,,
asym,悲观,,沮丧,苦闷,平淡,软弱,冷漠,,,,,,,,,,,
vsym,绝望,恐惧,悲伤,悲惨,无助,迷茫,苦闷,孤独,悲哀,悔恨,,,,,,,,
vdescription  ,降低,减少,,减低,,减小,下降,,,减缓,,,,,,,,
vsym,自责,愧疚,内疚,难过,沮丧,后悔,悔恨,苦恼,懊悔,难堪,,,,,,,,
vsym,死去,病死,死,离世,死于,过世,病倒,亡故,身故,死掉,,,,,,,,
sym,罪恶,堕落,邪恶,丑恶,撒旦,恶行,恶人,,,,,,,,,,,
vsym,妄想,病态,自恋,无知,冲动,偏执,,,,,,,,,,,,
nsym,幻觉,梦境,错觉,潜意识,恐惧,无意识,噩梦,恍惚,,,,,,,,,,
nsym  ,希望,期望,想,愿意,想要,,,,期盼,渴望,,,,,,,,
nsym,思维,思考,理性,认知,观念,意识,本质,有意识,直觉,思路,,,,,,,,
vdescription ,迟缓,功能障碍,,,,,,,,,,,,,,,,
vdescription ,缓慢,较慢,很慢,,减慢,,平稳,,,比较慢,,,,,,,,
nsym,反应,化学反应,质子化,自由基,加成,反应会,催化,中间体,底物,重排,,,,,,,,
vdescription,迟钝,幼稚,笨拙,懒散,胆怯,,,,,,,,,,,,,
nsym,思路,想法,思维,设想,初衷,,,,,,,,,,,,,
vdescription,闭塞,道岔,,,,,,,,,,,,,,,,
nsym,脑子,,,,,,,,,,,,,,,,,
vsym  ,生锈,腐蚀,锈蚀,破损,,,,,,,,,,,,,,
